Time frequency,Yield curve,Maturity,Geopolitical entity (reporting)\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0
Annual,Par yield curve,Maturity: 1 year,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.097,4.692,4.022,3.4,2.235 p,2.170 p
Annual,Par yield curve,Maturity: 1 year,European Union - 15 countries (1995-2004),3.095,4.693,4.022,3.401,2.235 p,2.171 p
Annual,Par yield curve,Maturity: 1 year,European Union - 25 countries (2004-2006),:,:,:,:,2.223,:
Annual,Par yield curve,Maturity: 10 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.687,5.471,5.051,4.945,4.166 p,4.124 p
Annual,Par yield curve,Maturity: 10 years,European Union - 15 countries (1995-2004),4.688,5.475,5.051,4.945,4.166 p,4.124 p
Annual,Par yield curve,Maturity: 10 years,European Union - 25 countries (2004-2006),:,:,:,:,4.298,:
Annual,Par yield curve,Maturity: 11 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.774,5.511,5.121,5.011,4.266 p,4.217 p
Annual,Par yield curve,Maturity: 11 years,European Union - 15 countries (1995-2004),4.776,5.515,5.121,5.011,4.266 p,4.217 p
Annual,Par yield curve,Maturity: 11 years,European Union - 25 countries (2004-2006),:,:,:,:,4.392,:
Annual,Par yield curve,Maturity: 12 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.853,5.548,5.183,5.067,4.352 p,4.297 p
Annual,Par yield curve,Maturity: 12 years,European Union - 15 countries (1995-2004),4.854,5.551,5.183,5.067,4.352 p,4.297 p
Annual,Par yield curve,Maturity: 12 years,European Union - 25 countries (2004-2006),:,:,:,:,4.474,:
Annual,Par yield curve,Maturity: 13 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.923,5.581,5.237,5.114,4.428 p,4.366 p
Annual,Par yield curve,Maturity: 13 years,European Union - 15 countries (1995-2004),4.924,5.584,5.237,5.114,4.428 p,4.366 p
Annual,Par yield curve,Maturity: 13 years,European Union - 25 countries (2004-2006),:,:,:,:,4.546,:
Annual,Par yield curve,Maturity: 14 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",4.986,5.611,5.285,5.155,4.494 p,4.426 p
Annual,Par yield curve,Maturity: 14 years,European Union - 15 countries (1995-2004),4.987,5.613,5.285,5.155,4.494 p,4.426 p
Annual,Par yield curve,Maturity: 14 years,European Union - 25 countries (2004-2006),:,:,:,:,4.61,:
Annual,Par yield curve,Maturity: 15 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.043,5.638,5.327,5.189,4.552 p,4.480 p
Annual,Par yield curve,Maturity: 15 years,European Union - 15 countries (1995-2004),5.044,5.64,5.327,5.189,4.552 p,4.479 p
Annual,Par yield curve,Maturity: 15 years,European Union - 25 countries (2004-2006),:,:,:,:,4.666,:
Annual,Par yield curve,Maturity: 16 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.094,5.662,5.364,5.218,4.603 p,4.527 p
Annual,Par yield curve,Maturity: 16 years,European Union - 15 countries (1995-2004),5.095,5.663,5.364,5.218,4.603 p,4.527 p
Annual,Par yield curve,Maturity: 16 years,European Union - 25 countries (2004-2006),:,:,:,:,4.716,:
Annual,Par yield curve,Maturity: 17 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.14,5.683,5.398,5.243,4.648 p,4.568 p
Annual,Par yield curve,Maturity: 17 years,European Union - 15 countries (1995-2004),5.141,5.685,5.398,5.243,4.648 p,4.568 p
Annual,Par yield curve,Maturity: 17 years,European Union - 25 countries (2004-2006),:,:,:,:,4.76,:
Annual,Par yield curve,Maturity: 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.182,5.703,5.428,5.264,4.687 p,4.606 p
Annual,Par yield curve,Maturity: 18 years,European Union - 15 countries (1995-2004),5.182,5.703,5.427,5.264,4.687 p,4.606 p
Annual,Par yield curve,Maturity: 18 years,European Union - 25 countries (2004-2006),:,:,:,:,4.8,:
Annual,Par yield curve,Maturity: 19 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.219,5.72,5.454,5.281,4.723 p,4.639 p
Annual,Par yield curve,Maturity: 19 years,European Union - 15 countries (1995-2004),5.22,5.72,5.454,5.281,4.723 p,4.639 p
Annual,Par yield curve,Maturity: 19 years,European Union - 25 countries (2004-2006),:,:,:,:,4.835,:
Annual,Par yield curve,Maturity: 2 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.392,4.904,4.101,3.716,2.516 p,2.510 p
Annual,Par yield curve,Maturity: 2 years,European Union - 15 countries (1995-2004),3.391,4.904,4.101,3.716,2.516 p,2.510 p
Annual,Par yield curve,Maturity: 2 years,European Union - 25 countries (2004-2006),:,:,:,:,2.633,:
Annual,Par yield curve,Maturity: 20 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.253,5.735,5.478,5.296,4.754 p,4.669 p
Annual,Par yield curve,Maturity: 20 years,European Union - 15 countries (1995-2004),5.254,5.735,5.477,5.296,4.754 p,4.669 p
Annual,Par yield curve,Maturity: 20 years,European Union - 25 countries (2004-2006),:,:,:,:,4.866,:
Annual,Par yield curve,Maturity: 21 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.284,5.748,5.499,5.307,4.781 p,4.697 p
Annual,Par yield curve,Maturity: 21 years,European Union - 15 countries (1995-2004),5.284,5.748,5.499,5.307,4.781 p,4.697 p
