Time frequency,Environment indicator,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Marine area affected by eutrophication,Square kilometre,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Marine area affected by eutrophication,Square kilometre,Belgium,0.0,838.0,1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Bulgaria,21.0,9105.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Cyprus,108.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Marine area affected by eutrophication,Square kilometre,Germany,130.0,300.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,85.0,23.0,362.0,28.0,130.0,0.0,40.0,136.0,23.0,45.0,17.0,51.0,232.0
Annual,Marine area affected by eutrophication,Square kilometre,Denmark,5552.0,759.0,2602.0,21.0,0.0,0.0,95.0,10957.0,3645.0,137.0,0.0,9904.0,0.0,263.0,11.0,1349.0,116.0,53.0,11.0,0.0,11.0,780.0,0.0,221.0
Annual,Marine area affected by eutrophication,Square kilometre,Estonia,88.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,18.0,55.0,47.0,7.0,7.0,4.0,4.0,1427.0,7.0,4.0,0.0,4.0,18.0
Annual,Marine area affected by eutrophication,Square kilometre,Greece,773.0,628.0,290.0,387.0,0.0,0.0,48.0,48.0,0.0,97.0,145.0,145.0,0.0,48.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,10004.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Spain,4846.0,4543.0,2726.0,0.0,101.0,4342.0,707.0,30694.0,606.0,606.0,6866.0,0.0,2423.0,606.0,101.0,19789.0,1615.0,0.0,13227.0,5856.0,1414.0,7270.0,15145.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,European Union (aggregate changing according to the context),21056.0,129064.0,271598.0,58559.0,2533.0,21119.0,2440.0,65783.0,62184.0,5496.0,11472.0,12370.0,11174.0,3315.0,5747.0,34410.0,5751.0,912.0,20235.0,10647.0,5131.0,25003.0,29323.0,2632.0
Annual,Marine area affected by eutrophication,Square kilometre,Finland,255.0,1077.0,58.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,304.0,378.0,82.0,189.0,123.0,16.0,362.0,140.0,206.0,510.0,370.0,247.0
Annual,Marine area affected by eutrophication,Square kilometre,France,4434.0,9387.0,658.0,4364.0,2355.0,0.0,35.0,22827.0,8556.0,450.0,727.0,104.0,0.0,727.0,35.0,242.0,0.0,0.0,866.0,485.0,1663.0,104.0,312.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Croatia,61.0,144.0,94.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,206.0,106.0,6.0,44.0,28.0,17.0,6.0,11.0,0.0,17.0,11.0,6.0,6.0,44.0
Annual,Marine area affected by eutrophication,Square kilometre,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Marine area affected by eutrophication,Square kilometre,Ireland,769.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,43.0
Annual,Marine area affected by eutrophication,Square kilometre,Italy,376.0,590.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0.0,161.0,215.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Lithuania,7.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,1168.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Marine area affected by eutrophication,Square kilometre,Latvia,11.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,6339.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Malta,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Netherlands,0.0,4846.0,1861.0,25.0,68.0,0.0,0.0,738.0,43.0,0.0,81.0,0.0,6.0,205.0,0.0,0.0,0.0,0.0,552.0,0.0,37.0,1570.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Poland,63.0,39.0,6.0,0.0,0.0,0.0,0.0,0.0,13906.0,0.0,3.0,0.0,3.0,39.0,9.0,3.0,6.0,15.0,27.0,3.0,0.0,0.0,0.0,6.0
Annual,Marine area affected by eutrophication,Square kilometre,Portugal,1902.0,92831.0,261896.0,53762.0,0.0,16768.0,1556.0,519.0,173.0,3976.0,3285.0,1902.0,8298.0,173.0,5013.0,12274.0,3803.0,691.0,3285.0,3976.0,1383.0,4495.0,12274.0,1556.0
Annual,Marine area affected by eutrophication,Square kilometre,Romania,33.0,2164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Marine area affected by eutrophication,Square kilometre,Sweden,1623.0,1638.0,16.0,0.0,0.0,0.0,0.0,0.0,27742.0,0.0,16.0,16.0,47.0,234.0,94.0,125.0,78.0,78.0,312.0,140.0,359.0,250.0,1077.0,265.0
