Time frequency,Working time,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,From 1 to 9 hours,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.6
Annual,From 1 to 9 hours,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.4
Annual,From 1 to 9 hours,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.3
Annual,From 1 to 9 hours,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,6.4
Annual,From 1 to 9 hours,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.1
Annual,From 1 to 9 hours,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.3
Annual,From 1 to 9 hours,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.0
Annual,From 1 to 9 hours,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.2
Annual,From 1 to 9 hours,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.3
Annual,From 10 to 19 hours,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.1
Annual,From 10 to 19 hours,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.8
Annual,From 10 to 19 hours,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.1
Annual,From 10 to 19 hours,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.7
Annual,From 10 to 19 hours,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.1
Annual,From 10 to 19 hours,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.3
Annual,From 10 to 19 hours,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.4
Annual,From 10 to 19 hours,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.0
Annual,From 10 to 19 hours,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,3.2
Annual,From 20 to 29 hours,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.1
Annual,From 20 to 29 hours,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,From 20 to 29 hours,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.6
Annual,From 20 to 29 hours,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.8
Annual,From 20 to 29 hours,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.1
Annual,From 20 to 29 hours,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,2.2
Annual,From 20 to 29 hours,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,From 20 to 29 hours,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.8
Annual,From 20 to 29 hours,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.9
Annual,From 30 to 49 hours,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.1
Annual,From 30 to 49 hours,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,From 30 to 49 hours,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.6
