Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,9.4
Annual,Median equivalised income,Above 60%,Percentage,Austria,4.0
Annual,Median equivalised income,Above 60%,Percentage,Belgium,14.6
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,22.7
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,13.5
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,12.1
Annual,Median equivalised income,Above 60%,Percentage,Czechia,4.2
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,11.1
Annual,Median equivalised income,Above 60%,Percentage,Estonia,10.8
Annual,Median equivalised income,Above 60%,Percentage,Greece,41.2
Annual,Median equivalised income,Above 60%,Percentage,Spain,9.1
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),9.3 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,15.5
Annual,Median equivalised income,Above 60%,Percentage,France,5.6
Annual,Median equivalised income,Above 60%,Percentage,Croatia,25.5
Annual,Median equivalised income,Above 60%,Percentage,Hungary,14.2
Annual,Median equivalised income,Above 60%,Percentage,Ireland,17.1
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,9.1 u
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,1.4
Annual,Median equivalised income,Above 60%,Percentage,Latvia,17.0
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,35.4
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,20.6
Annual,Median equivalised income,Above 60%,Percentage,Malta,8.1
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,4.6
Annual,Median equivalised income,Above 60%,Percentage,Norway,4.7
Annual,Median equivalised income,Above 60%,Percentage,Poland,11.0
Annual,Median equivalised income,Above 60%,Percentage,Portugal,7.3
Annual,Median equivalised income,Above 60%,Percentage,Romania,7.9
Annual,Median equivalised income,Above 60%,Percentage,Serbia,33.7
Annual,Median equivalised income,Above 60%,Percentage,Sweden,4.5
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,3.6
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,6.7
Annual,Median equivalised income,Below 60%,Percentage,Albania,80.7
Annual,Median equivalised income,Below 60%,Percentage,Austria,8.0
Annual,Median equivalised income,Below 60%,Percentage,Belgium,16.7
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,55.5
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,34.5
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,14.5
Annual,Median equivalised income,Below 60%,Percentage,Czechia,21.9
