Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Percentage,Albania,37.7,:,:
Annual,Percentage,Austria,1.7,2.7,3.9
Annual,Percentage,Belgium,3.5,5.1,5.9
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,5.6,7.9,10.0
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,5.6,7.9,10.0
Annual,Percentage,Vlaams Gewest,1.9,2.2,2.3
Annual,Percentage,Prov. Antwerpen,2.3,2.0,2.5
Annual,Percentage,Prov. Limburg (BE),1.1,1.1,0.5
Annual,Percentage,Prov. Oost-Vlaanderen,1.4,1.9,2.5
Annual,Percentage,Prov. Vlaams-Brabant,2.1,2.7,3.1
Annual,Percentage,Prov. West-Vlaanderen,2.0,3.4,2.3
Annual,Percentage,Région wallonne,5.8,9.5,11.3
Annual,Percentage,Prov. Brabant wallon,4.8,9.5,14.5
Annual,Percentage,Prov. Hainaut,6.7,9.8,11.4
Annual,Percentage,Prov. Liège,5.9,9.4,10.6
Annual,Percentage,Prov. Luxembourg (BE),5.8,10.6,13.3
Annual,Percentage,Prov. Namur,4.4,7.9,8.8
Annual,Percentage,Bulgaria,23.7,22.5,20.7
Annual,Percentage,Severna i Yugoiztochna Bulgaria,23.3,21.1,20.2
Annual,Percentage,Severozapaden,23.9,22.9,21.1
Annual,Percentage,Severen tsentralen,24.3,23.1,22.8
Annual,Percentage,Severoiztochen,18.5,14.9,16.2
Annual,Percentage,Yugoiztochen,26.6,23.9,21.2
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,24.1,23.8,21.1
Annual,Percentage,Yugozapaden,25.1,24.6,22.8
Annual,Percentage,Yuzhen tsentralen,22.6,22.7,18.6
Annual,Percentage,Switzerland,0.5,0.4,0.5
Annual,Percentage,Région lémanique,0.9,1.0,0.7
Annual,Percentage,Espace Mittelland,0.9,0.3,0.5
Annual,Percentage,Nordwestschweiz,0.3,0.1,0.4
Annual,Percentage,Zürich,0.1,0.0 n,0.5
Annual,Percentage,Ostschweiz,0.1,0.8,0.2
Annual,Percentage,Zentralschweiz,0.0,0.0,0.1
Annual,Percentage,Ticino,0.9,1.8,1.8
Annual,Percentage,Cyprus,19.4,19.2,16.9
Annual,Percentage,Czechia,2.2,2.9,6.1
Annual,Percentage,Praha,3.3,4.0,6.6
Annual,Percentage,Střední Čechy,2.3,2.3,6.5
Annual,Percentage,Jihozápad,1.3,1.4,4.3
Annual,Percentage,Severozápad,2.5,3.6,8.3
Annual,Percentage,Severovýchod,1.3,1.8,5.2
Annual,Percentage,Jihovýchod,3.3,3.4,5.9
Annual,Percentage,Střední Morava,1.5,3.3,5.7
Annual,Percentage,Moravskoslezsko,1.9,3.2,6.9
Annual,Percentage,Germany,3.3,6.7,8.2
Annual,Percentage,Baden-Württemberg,2.4,5.6,8.0
Annual,Percentage,Stuttgart,1.8,5.3,7.9
Annual,Percentage,Karlsruhe,2.7,5.5,8.0
Annual,Percentage,Freiburg,2.4,4.7,7.8
Annual,Percentage,Tübingen,3.1,7.3,8.6
Annual,Percentage,Bayern,2.7,4.7,5.4
Annual,Percentage,Oberbayern,2.4,4.4,5.0
Annual,Percentage,Niederbayern,3.3,6.0,5.2
Annual,Percentage,Oberpfalz,2.7,3.5,3.6
Annual,Percentage,Oberfranken,2.4,3.6,7.1
Annual,Percentage,Mittelfranken,3.3,4.6,7.6
Annual,Percentage,Unterfranken,4.1,7.7,6.5
Annual,Percentage,Schwaben,2.2,4.0,4.0
Annual,Percentage,Berlin,3.1,3.6,8.2
Annual,Percentage,Berlin,3.1,3.6,8.2
Annual,Percentage,Brandenburg,2.1,7.2,7.7
Annual,Percentage,Brandenburg,2.1,7.2,7.7
Annual,Percentage,Bremen,6.7,7.3,12.7
Annual,Percentage,Bremen,6.7,7.3,12.7
Annual,Percentage,Hamburg,2.9,6.6,4.9
Annual,Percentage,Hamburg,2.9,6.6,4.9
Annual,Percentage,Hessen,4.8,8.3,8.8
Annual,Percentage,Darmstadt,4.3,7.2,7.7
Annual,Percentage,Gießen,4.7,7.6,9.1
Annual,Percentage,Kassel,6.6,12.4,11.9
Annual,Percentage,Mecklenburg-Vorpommern,3.8,8.9,7.6
Annual,Percentage,Mecklenburg-Vorpommern,3.8,8.9,7.6
Annual,Percentage,Niedersachsen,3.8,8.3,9.0
Annual,Percentage,Braunschweig,4.0,8.0,9.6
Annual,Percentage,Hannover,4.2,7.7,8.7
Annual,Percentage,Lüneburg,3.4,7.5,9.1
