Time frequency,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Too expensive or too far or waiting list,Percentage,Castilla y León,2.3,2.2,2.8
Annual,Too expensive or too far or waiting list,Percentage,Castilla-La Mancha,1.9,1.8,3.4
Annual,Too expensive or too far or waiting list,Percentage,Extremadura,1.6,1.1,2.1
Annual,Too expensive or too far or waiting list,Percentage,Este,2.0,1.9,2.8
Annual,Too expensive or too far or waiting list,Percentage,Cataluña,2.5,2.0,2.8
Annual,Too expensive or too far or waiting list,Percentage,Comunitat Valenciana,1.4,2.0,2.9
Annual,Too expensive or too far or waiting list,Percentage,Illes Balears,1.1,0.7,2.7
Annual,Too expensive or too far or waiting list,Percentage,Sur,1.9,2.0,2.4
Annual,Too expensive or too far or waiting list,Percentage,Andalucía,2.1,2.1,2.5
Annual,Too expensive or too far or waiting list,Percentage,Región de Murcia,0.9,1.7,1.9
Annual,Too expensive or too far or waiting list,Percentage,Ciudad de Ceuta,0.0,1.2,2.9
Annual,Too expensive or too far or waiting list,Percentage,Ciudad de Melilla,1.2,0.2,2.7
Annual,Too expensive or too far or waiting list,Percentage,Canarias,1.8,2.3,2.9
Annual,Too expensive or too far or waiting list,Percentage,Canarias,1.8,2.3,2.9
Annual,Too expensive or too far or waiting list,Percentage,Finland,6.6,9.6,11.6
Annual,Too expensive or too far or waiting list,Percentage,Manner-Suomi,6.6,9.6,11.6
Annual,Too expensive or too far or waiting list,Percentage,"Länsi-Suomi, Åland",7.0,7.5,9.7
Annual,Too expensive or too far or waiting list,Percentage,Helsinki-Uusimaa,7.3,10.8,12.5
Annual,Too expensive or too far or waiting list,Percentage,Etelä-Suomi,6.4,9.1,13.0
Annual,Too expensive or too far or waiting list,Percentage,Pohjois- ja Itä-Suomi,5.5,11.0,11.0
Annual,Too expensive or too far or waiting list,Percentage,France,3.2,3.7 b,4.1
Annual,Too expensive or too far or waiting list,Percentage,Ile de France,:,3.7,4.2
Annual,Too expensive or too far or waiting list,Percentage,Ile de France,:,3.7,4.2
Annual,Too expensive or too far or waiting list,Percentage,Centre — Val de Loire,:,4.0,3.8
Annual,Too expensive or too far or waiting list,Percentage,Centre — Val de Loire,:,4.0,3.8
Annual,Too expensive or too far or waiting list,Percentage,Bourgogne-Franche-Comté,:,3.9,4.0
Annual,Too expensive or too far or waiting list,Percentage,Bourgogne,:,4.0,4.0
Annual,Too expensive or too far or waiting list,Percentage,Franche-Comté,:,3.9,3.9
Annual,Too expensive or too far or waiting list,Percentage,Normandie,:,4.0,3.9
Annual,Too expensive or too far or waiting list,Percentage,Basse-Normandie,:,4.0,3.9
Annual,Too expensive or too far or waiting list,Percentage,Haute-Normandie,:,4.0,3.9
Annual,Too expensive or too far or waiting list,Percentage,Hauts-de-France,:,4.1,4.3
Annual,Too expensive or too far or waiting list,Percentage,Nord-Pas de Calais,:,4.1,4.4
Annual,Too expensive or too far or waiting list,Percentage,Picardie,:,4.1,4.1
Annual,Too expensive or too far or waiting list,Percentage,Grand Est,:,4.0,4.1
Annual,Too expensive or too far or waiting list,Percentage,Alsace,:,3.8,3.9
Annual,Too expensive or too far or waiting list,Percentage,Champagne-Ardenne,:,4.2,4.1
Annual,Too expensive or too far or waiting list,Percentage,Lorraine,:,4.0,4.2
Annual,Too expensive or too far or waiting list,Percentage,Pays de la Loire,:,3.8,3.9
Annual,Too expensive or too far or waiting list,Percentage,Pays de la Loire,:,3.8,3.9
Annual,Too expensive or too far or waiting list,Percentage,Bretagne,:,3.9,3.9
Annual,Too expensive or too far or waiting list,Percentage,Bretagne,:,3.9,3.9
Annual,Too expensive or too far or waiting list,Percentage,Nouvelle-Aquitaine,:,3.9,4.2
Annual,Too expensive or too far or waiting list,Percentage,Aquitaine,:,3.9,4.3
Annual,Too expensive or too far or waiting list,Percentage,Limousin,:,3.9,4.3
Annual,Too expensive or too far or waiting list,Percentage,Poitou-Charentes,:,3.8,3.9
Annual,Too expensive or too far or waiting list,Percentage,Occitanie,:,4.0,4.3
Annual,Too expensive or too far or waiting list,Percentage,Languedoc-Roussillon,:,4.1,4.2
Annual,Too expensive or too far or waiting list,Percentage,Midi-Pyrénées,:,4.0,4.3
Annual,Too expensive or too far or waiting list,Percentage,Auvergne-Rhône-Alpes,:,3.8,4.1
Annual,Too expensive or too far or waiting list,Percentage,Auvergne,:,4.0,4.0
Annual,Too expensive or too far or waiting list,Percentage,Rhône-Alpes,:,3.8,4.1
Annual,Too expensive or too far or waiting list,Percentage,Provence-Alpes-Côte d’Azur,:,3.7,4.0
Annual,Too expensive or too far or waiting list,Percentage,Provence-Alpes-Côte d’Azur,:,3.7,4.0
Annual,Too expensive or too far or waiting list,Percentage,Corse,:,4.2,4.0
Annual,Too expensive or too far or waiting list,Percentage,Corse,:,4.2,4.0
Annual,Too expensive or too far or waiting list,Percentage,RUP FR — Régions Ultrapériphériques Françaises,:,4.2,4.5
Annual,Too expensive or too far or waiting list,Percentage,Guadeloupe,:,4.0,4.6
Annual,Too expensive or too far or waiting list,Percentage,Martinique,:,4.2,4.4
Annual,Too expensive or too far or waiting list,Percentage,Guyane,:,4.6,4.0
Annual,Too expensive or too far or waiting list,Percentage,La Réunion,:,4.5,4.6
Annual,Too expensive or too far or waiting list,Percentage,Croatia,2.8,2.1,1.6 b
Annual,Too expensive or too far or waiting list,Percentage,Panonska Hrvatska,2.6,2.0,1.5 b
Annual,Too expensive or too far or waiting list,Percentage,Jadranska Hrvatska,2.1,1.4,1.8 b
Annual,Too expensive or too far or waiting list,Percentage,Grad Zagreb,4.2,3.3,1.5 b
Annual,Too expensive or too far or waiting list,Percentage,Sjeverna Hrvatska,3.0,2.5,1.7 b
Annual,Too expensive or too far or waiting list,Percentage,Hungary,2.1,2.2,1.6
Annual,Too expensive or too far or waiting list,Percentage,Közép-Magyarország,3.9,5.1,2.5
Annual,Too expensive or too far or waiting list,Percentage,Budapest,5.0,8.3,3.3
Annual,Too expensive or too far or waiting list,Percentage,Pest,2.6,1.8,1.7
Annual,Too expensive or too far or waiting list,Percentage,Dunántúl,1.3,0.8,0.8
Annual,Too expensive or too far or waiting list,Percentage,Közép-Dunántúl,0.8,1.2,1.0
Annual,Too expensive or too far or waiting list,Percentage,Nyugat-Dunántúl,2.6,0.5,0.9
Annual,Too expensive or too far or waiting list,Percentage,Dél-Dunántúl,0.7,0.8,0.6
Annual,Too expensive or too far or waiting list,Percentage,Alföld és Észak,1.5,1.1,1.6
Annual,Too expensive or too far or waiting list,Percentage,Észak-Magyarország,2.6,1.3,1.5
Annual,Too expensive or too far or waiting list,Percentage,Észak-Alföld,1.2,1.1,1.8
Annual,Too expensive or too far or waiting list,Percentage,Dél-Alföld,0.7,0.9,1.4
Annual,Too expensive or too far or waiting list,Percentage,Ireland,5.0,5.6,4.8
Annual,Too expensive or too far or waiting list,Percentage,Northern and Western,5.7,3.8,3.4
Annual,Too expensive or too far or waiting list,Percentage,Southern,6.8,7.8,5.1
Annual,Too expensive or too far or waiting list,Percentage,Eastern and Midland,3.6,4.8,5.0
Annual,Too expensive or too far or waiting list,Percentage,Italy,4.5,3.7,3.7
Annual,Too expensive or too far or waiting list,Percentage,Nord-Ovest,2.5,2.4,2.1
Annual,Too expensive or too far or waiting list,Percentage,Piemonte,3.1,4.2,2.8
Annual,Too expensive or too far or waiting list,Percentage,Valle d’Aosta/Vallée d’Aoste,2.9,0.0,2.8
Annual,Too expensive or too far or waiting list,Percentage,Liguria,4.1,1.4,1.3
Annual,Too expensive or too far or waiting list,Percentage,Lombardia,2.0,1.9,1.9
Annual,Too expensive or too far or waiting list,Percentage,Sud,6.4,6.7,6.5
Annual,Too expensive or too far or waiting list,Percentage,Abruzzo,3.2,2.9,3.8
Annual,Too expensive or too far or waiting list,Percentage,Molise,3.9,3.4,2.0
Annual,Too expensive or too far or waiting list,Percentage,Campania,6.2,7.3,6.2
