Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Decision,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2680.0,3160.0,5655.0,12590.0,24685.0,17800.0,10620.0,5620.0,5000.0,9500.0,11455.0,14705.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,3985.0,3910.0,6460.0,8825.0,11760.0,9655.0,7860.0,5555.0,4735.0,8280.0,10495.0,12040.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Bulgaria,20.0,180.0,5165.0,4705.0,765.0,800.0,315.0,140.0,105.0,145.0,100.0,105.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Switzerland,2455.0,3115.0,6140.0,6285.0,5850.0,6240.0,6190.0,5395.0,5260.0,5240.0,4715.0,5955.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Cyprus,80.0,35.0,55.0,195.0,210.0,220.0,195.0,150.0,150.0,310.0,335.0,750.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Czechia,50.0,90.0,75.0,55.0,140.0,25.0,40.0,50.0,40.0,190.0,70.0,50.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Germany,8765.0,10910.0,33310.0,137135.0,256135.0,123895.0,41370.0,45050.0,37820.0,32065.0,40910.0,42525.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Denmark,1035.0,1600.0,3765.0,7605.0,4275.0,1280.0,825.0,645.0,205.0,360.0,395.0,835.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,10.0,5.0,20.0,20.0,65.0,50.0,15.0,40.0,20.0,45.0,60.0,60.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Greece,30.0,255.0,1270.0,3665.0,2470.0,9420.0,12635.0,13515.0,26370.0,13035.0,18730.0,24360.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Spain,230.0,205.0,385.0,220.0,355.0,580.0,575.0,1640.0,4360.0,5355.0,6815.0,7325.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,European Union - 27 countries (from 2020),31430.0,42145.0,86375.0,217285.0,358060.0,211060.0,114585.0,109480.0,106750.0,113375.0,143950.0,152030.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Finland,545.0,570.0,490.0,1060.0,4320.0,2400.0,1765.0,1295.0,850.0,855.0,960.0,1085.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,France,7070.0,9140.0,11980.0,16790.0,18715.0,19005.0,21125.0,17360.0,11955.0,21340.0,29410.0,31525.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Croatia,10.0,5.0,15.0,35.0,85.0,120.0,115.0,55.0,35.0,70.0,20.0,45.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Hungary,70.0,175.0,240.0,145.0,155.0,105.0,70.0,20.0,85.0,20.0,10.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Ireland,65.0,130.0,130.0,150.0,445.0,640.0,630.0,585.0,620.0,800.0,1440.0,2460.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Iceland,5.0,5.0,15.0,30.0,50.0,50.0,85.0,90.0,80.0,50.0,75.0,90.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Italy,2050.0,3080.0,3640.0,3575.0,4800.0,5895.0,6490.0,10120.0,4580.0,7380.0,7610.0,4910.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Liechtenstein,20.0,0.0,0.0,0.0,20.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Lithuania,15.0,15.0,15.0,15.0,180.0,275.0,120.0,80.0,80.0,405.0,290.0,400.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Luxembourg,35.0,110.0,105.0,170.0,740.0,1085.0,950.0,635.0,720.0,725.0,775.0,645.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Latvia,5.0,5.0,5.0,5.0,45.0,35.0,25.0,30.0,5.0,65.0,210.0,80.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Montenegro,:,:,:,:,:,:,10.0,5.0,10.0,10.0,5.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Malta,35.0,45.0,190.0,265.0,165.0,165.0,150.0,50.0,75.0,20.0,15.0,20.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Netherlands,630.0,1150.0,2485.0,6660.0,9740.0,3030.0,1760.0,2455.0,4975.0,7825.0,9245.0,3290.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Norway,3675.0,4490.0,3590.0,5410.0,11565.0,3835.0,1335.0,1645.0,1010.0,925.0,1015.0,1980.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Poland,85.0,195.0,260.0,350.0,95.0,150.0,170.0,130.0,135.0,1020.0,300.0,600.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Portugal,15.0,20.0,20.0,35.0,105.0,120.0,220.0,60.0,75.0,225.0,615.0,290.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Romania,145.0,385.0,370.0,240.0,600.0,865.0,305.0,320.0,210.0,515.0,490.0,525.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Sweden,3745.0,6750.0,10245.0,12740.0,16875.0,13310.0,6140.0,3800.0,3450.0,2795.0,3145.0,3285.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Slovenia,20.0,25.0,30.0,35.0,140.0,140.0,100.0,80.0,85.0,15.0,40.0,75.0
