Time frequency,Level of perception,Unit of measure,Geopolitical entity (reporting)\Time,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Fairly bad,Percentage,Austria,13.0,14.0,7.0,8.0,7.0,7.0,8.0,8.0,10.0
Annual,Fairly bad,Percentage,Belgium,19.0,21.0,18.0,17.0,19.0,18.0,23.0,20.0,23.0
Annual,Fairly bad,Percentage,Bulgaria,35.0,37.0,31.0,35.0,31.0,33.0,30.0,31.0,31.0
Annual,Fairly bad,Percentage,Cyprus,19.0,14.0,18.0,15.0,20.0,21.0,25.0,22.0,25.0
Annual,Fairly bad,Percentage,Czechia,32.0,31.0,28.0,27.0,25.0,27.0,26.0,20.0,25.0
Annual,Fairly bad,Percentage,Germany,13.0,12.0,14.0,15.0,11.0,11.0,8.0,10.0,9.0
Annual,Fairly bad,Percentage,Denmark,6.0,5.0,7.0,5.0,6.0,8.0,6.0,7.0,7.0
Annual,Fairly bad,Percentage,Estonia,12.0,12.0,11.0,12.0,12.0,8.0,14.0,12.0,12.0
Annual,Fairly bad,Percentage,Greece,26.0,25.0,22.0,24.0,24.0,23.0,28.0,30.0,34.0
Annual,Fairly bad,Percentage,Spain,38.0,39.0,32.0,37.0,34.0,32.0,35.0,38.0,31.0
Annual,Fairly bad,Percentage,European Union - 27 countries (from 2020),26 e,25 e,23 e,24 e,23 e,23 b,23.0,24.0,24.0
Annual,Fairly bad,Percentage,European Union - 28 countries (2013-2020),24.0,23.0,22.0,22.0,:,:,:,:,:
Annual,Fairly bad,Percentage,Finland,10.0,11.0,9.0,9.0,7.0,11.0,7.0,8.0,10.0
Annual,Fairly bad,Percentage,France,29.0,26.0,23.0,23.0,22.0,21.0,21.0,23.0,25.0
Annual,Fairly bad,Percentage,Croatia,38.0,35.0,34.0,34.0,37.0,35.0,38.0,38.0,37.0
Annual,Fairly bad,Percentage,Hungary,22.0,21.0,22.0,21.0,24.0,24.0,24.0,20.0,26.0
Annual,Fairly bad,Percentage,Ireland,13.0,11.0,12.0,10.0,12.0,15.0,14.0,12.0,15.0
Annual,Fairly bad,Percentage,Italy,36.0,38.0,32.0,29.0,37.0,38.0,34.0,33.0,36.0
Annual,Fairly bad,Percentage,Lithuania,28.0,25.0,22.0,21.0,26.0,25.0,21.0,25.0,24.0
Annual,Fairly bad,Percentage,Luxembourg,6.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0
Annual,Fairly bad,Percentage,Latvia,38.0,36.0,34.0,35.0,31.0,30.0,28.0,21.0,20.0
Annual,Fairly bad,Percentage,Malta,22.0,23.0,18.0,18.0,20.0,18.0,20.0,20.0,20.0
Annual,Fairly bad,Percentage,Netherlands,9.0,8.0,7.0,11.0,7.0,8.0,10.0,12.0,13.0
Annual,Fairly bad,Percentage,Poland,32.0,26.0,29.0,30.0,31.0,33.0,34.0,36.0,39.0
Annual,Fairly bad,Percentage,Portugal,31.0,30.0,32.0,33.0,34.0,33.0,37.0,36.0,34.0
Annual,Fairly bad,Percentage,Romania,23.0,19.0,24.0,27.0,28.0,24.0,24.0,22.0,21.0
Annual,Fairly bad,Percentage,Sweden,10.0,12.0,11.0,10.0,8.0,13.0,13.0,9.0,11.0
Annual,Fairly bad,Percentage,Slovenia,32.0,30.0,32.0,28.0,31.0,25.0,28.0,24.0,29.0
Annual,Fairly bad,Percentage,Slovakia,36.0,35.0,39.0,36.0,38.0,41.0,46.0,42.0,42.0
Annual,Fairly bad,Percentage,United Kingdom,12.0,11.0,13.0,10.0,12.0,:,:,:,:
