Time frequency,Sector,Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0,2023.0
Annual,General government,Rate,Austria,:,:,1.4,1.8
Annual,General government,Rate,Belgium,:,:,1.6,1.9
Annual,General government,Rate,Bulgaria,:,:,1.9,2.4
Annual,General government,Rate,Cyprus,1.9,1.7,1.7,1.8
Annual,General government,Rate,Czechia,2.3,2.0,2.8,3.2
Annual,General government,Rate,Germany,1.0,0.9,1.1,1.4
Annual,General government,Rate,Denmark,:,:,2.4,1.8
Annual,General government,Rate,Estonia,:,:,0.7,2.5
Annual,General government,Rate,Spain,:,:,2.2,2.3
Annual,General government,Rate,Finland,:,:,0.6,1.8
Annual,General government,Rate,France,:,:,1.8,1.7
Annual,General government,Rate,Croatia,2.7,2.3,2.2,2.7
Annual,General government,Rate,Hungary,3.3,3.1,4.1,6.8
Annual,General government,Rate,Ireland,1.8,1.4,1.4,1.6
Annual,General government,Rate,Italy,2.4,2.5,3.2,2.9
Annual,General government,Rate,Lithuania,1.9,1.2,1.0,1.5
Annual,General government,Rate,Luxembourg,1.1,0.8,0.8,1.2
Annual,General government,Rate,Latvia,2.0,1.4,1.3,1.7
Annual,General government,Rate,Malta,2.7,2.2,1.9,2.3
Annual,General government,Rate,Netherlands,1.6,1.4,1.3,1.4
Annual,General government,Rate,Norway,1.5,1.1,1.5,2.6
Annual,General government,Rate,Poland,:,:,3.3,4.5
Annual,General government,Rate,Portugal,2.3,2.0,1.8,2.3
Annual,General government,Rate,Romania,3.5,3.3,3.4,4.5
Annual,General government,Rate,Sweden,0.7,0.6,1.5,2.3
Annual,General government,Rate,Slovenia,2.2,1.7,1.6,1.9
Annual,General government,Rate,Slovakia,2.3,2.0,1.9,2.2
Annual,Central government,Rate,Austria,:,:,1.4,1.7
Annual,Central government,Rate,Belgium,:,:,1.5,1.8
Annual,Central government,Rate,Bulgaria,:,:,1.8,2.4
Annual,Central government,Rate,Cyprus,1.5,1.3,1.4,2.4
Annual,Central government,Rate,Czechia,2.1,1.9,2.6,2.9
Annual,Central government,Rate,Germany,0.7,0.6,1.0,1.4
Annual,Central government,Rate,Denmark,:,:,2.6,1.9
Annual,Central government,Rate,Estonia,:,:,0.6,2.5
Annual,Central government,Rate,Greece,1.6,1.4,1.5,2.2
Annual,Central government,Rate,Spain,:,:,2.2,2.2
Annual,Central government,Rate,Finland,:,:,0.6,1.7
Annual,Central government,Rate,France,:,:,1.9,1.6
Annual,Central government,Rate,Croatia,2.7,2.3,2.2,2.7
Annual,Central government,Rate,Hungary,3.3,3.1,4.0,6.7
Annual,Central government,Rate,Ireland,1.8,1.4,1.4,1.5
Annual,Central government,Rate,Italy,2.4,2.5,3.2,2.8
Annual,Central government,Rate,Lithuania,1.9,1.2,1.0,1.5
Annual,Central government,Rate,Luxembourg,1.1,0.8,0.8,1.1
Annual,Central government,Rate,Latvia,1.6,1.1,1.0,1.4
Annual,Central government,Rate,Malta,2.7,2.2,1.9,2.3
Annual,Central government,Rate,Netherlands,1.4,1.1,1.1,1.6
Annual,Central government,Rate,Norway,1.2,0.8,1.2,2.0
Annual,Central government,Rate,Poland,:,:,3.0,4.3
Annual,Central government,Rate,Portugal,2.3,2.0,1.8,2.2
Annual,Central government,Rate,Romania,3.3,3.1,3.2,4.2
Annual,Central government,Rate,Sweden,0.8,0.7,1.9,2.2
Annual,Central government,Rate,Slovenia,2.2,1.7,1.6,1.8
Annual,Central government,Rate,Slovakia,2.3,1.9,1.9,2.1
