Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,5830.0,5830.0,6065.0,6180.0,6385.0,6495.0,6980.0,7405.0,7535.0,7610.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,5490.0,5545.0,5600.0,5690.0,5850.0,6020.0,6115.0,6200.0,6275.0,6340.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,2730.0,2810.0,3080.0,3340.0,3560.0,3710.0,3815.0,3915.0,4010.0,4090.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,5085.0,5115.0,5180.0,5200.0,5285.0,5325.0,5395.0,5440.0,5520.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,1155 d,1165 d,1170 d,1175 d,1190 d,1200 d,935 d,945 d,945 d,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,26910.0,25430.0,26050 d,26550.0,27820.0,28490.0,29180.0,29100.0,29240.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,101625 d,102750 d,103820 d,104810 d,85655 b,86760.0,87490.0,88450.0,89385.0,90075.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,2330.0,2385.0,2430.0,2530.0,2645.0,2745.0,2870.0,2960.0,3045.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,2560.0,2480.0,2560.0,2485.0,2590.0,2615.0,2700.0,2750.0,2770.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,1410 d,1430 d,1455 d,1480 d,1505 d,1525 d,1545 d,1560 d,1570 d,1585 d
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,12460 d,12580 d,12440 d,12555 d,12730 d,12895 d,13085 d,13260 d,13320 d,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,4195.0,4245.0,4300.0,4405.0,4560.0,4675.0,4765.0,4845.0,4905.0,4975.0
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,40 d,40 d,45 d,50 d,45 d,45 d,50 d,50 d,55 d,55 d
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,1465.0,1480.0,1495.0,1515.0,1545.0,1565.0,1575.0,1585.0,1590.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,7245.0,7290.0,7355.0,7410.0,7525.0,7585.0,7635.0,7710.0,7765.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,160.0,165.0,170.0,170.0,180.0,180.0,170.0,180.0,180.0,:
