Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Year,Females,Healthy life years in absolute value at 65,Austria,8.3,9.5,8.8,7.7,7.7,7.4,7.5,7.4,7.7,8.3,9.7,9.5
Annual,Year,Females,Healthy life years in absolute value at 65,Belgium,10.3,11.0,10.9,11.0,11.0,11.4,11.7,11.4,10.7 b,11.0,11.3,10.8
Annual,Year,Females,Healthy life years in absolute value at 65,Bulgaria,9.7,9.5,9.9,9.6,9.5,10.1 b,9.2,10.2,10.4,9.9,9.0,10.9 b
Annual,Year,Females,Healthy life years in absolute value at 65,Switzerland,12.8,14.2,10.4 b,9.4,9.7,9.8,10.2,10.2,10.5,11.1,10.9,10.1
Annual,Year,Females,Healthy life years in absolute value at 65,Cyprus,5.9,7.7,8.7,8.7,7.3,10.3,8.5,6.9,7.1,7.0,9.3,8.6
Annual,Year,Females,Healthy life years in absolute value at 65,Czechia,8.7,8.9,8.9,9.3,8.6,8.9,8.5,8.5,8.2,7.9,8.2,7.7
Annual,Year,Females,Healthy life years in absolute value at 65,Germany,7.2,6.8,7.0,6.7,12.3 b,12.4,12.4,12.2,12.8,11.7 b,11.4,8.6 bu
Annual,Year,Females,Healthy life years in absolute value at 65,Denmark,13.0,12.8,12.8,12.8,11.9,11.9,12.0,11.8,11.8,11.9 b,10.2,10.4
Annual,Year,Females,Healthy life years in absolute value at 65,Estonia,5.7,5.5,5.7,6.0,5.3,7.0,6.1,5.8,7.2,7.7,7.6,8.1
Annual,Year,Females,Healthy life years in absolute value at 65,Greece,7.9,7.3,6.8,7.1,7.5,7.8,7.8,7.2,7.7,7.6,7.7,9.0
Annual,Year,Females,Healthy life years in absolute value at 65,Spain,9.2,9.0,9.0,9.4,8.9,10.4,12.4,11.3,12.3,11.5,10.3,9.5
Annual,Year,Females,Healthy life years in absolute value at 65,European Union - 27 countries (from 2020),8.2,8.2,8.3,8.3,9.3 b,10.0,10.0,10.0,10.4,10.1,9.9,9.2 b
Annual,Year,Females,Healthy life years in absolute value at 65,European Union - 28 countries (2013-2020),8.6,8.5,8.5,8.6,9.4 b,10.1,10.2,10.0,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at 65,Finland,8.6,9.0,:,9.3,9.0,8.9,9.4,9.4,9.6,10.3,11.4,9.1
Annual,Year,Females,Healthy life years in absolute value at 65,France,9.9,10.4,10.6,10.7,10.7,10.6,10.9,11.3,11.6,11.8 b,12.6,11.7 bp
Annual,Year,Females,Healthy life years in absolute value at 65,Croatia,7.3,7.9 b,5.9 b,5.8,4.5,4.9,4.8,5.0,4.9,5.2,5.2,5.6 b
Annual,Year,Females,Healthy life years in absolute value at 65,Hungary,6.0,6.4,6.1,6.0,5.9,6.4,6.7,7.4,7.4,7.9,7.8,7.5 b
Annual,Year,Females,Healthy life years in absolute value at 65,Ireland,11.8,12.1,12.1,12.3,12.1,13.2,13.4,13.8,14.1,12.5 b,13.0,11.9
Annual,Year,Females,Healthy life years in absolute value at 65,Iceland,13.7,14.3,15.1,15.1,15.1,13.7,13.1,11.8,:,:,:,:
Annual,Year,Females,Healthy life years in absolute value at 65,Italy,7.0,7.0,7.2,7.3,7.5,10.1 b,9.8,9.2,10.2,10.6,10.7,9.9
Annual,Year,Females,Healthy life years in absolute value at 65,Lithuania,6.7,6.1,6.3,6.1,5.5,5.6,5.6,6.3,6.4,6.0,6.6,7.7
Annual,Year,Females,Healthy life years in absolute value at 65,Luxembourg,11.8,11.9,10.6,10.8,8.7,8.0 b,8.5,8.8,10.6,11.4 b,11.2 b,9.8 b
Annual,Year,Females,Healthy life years in absolute value at 65,Latvia,5.0,6.4,4.2 b,4.6,4.0,4.5,4.2,4.7,4.8,4.4,5.0,4.4
Annual,Year,Females,Healthy life years in absolute value at 65,Malta,11.0,12.3,12.7,13.8,13.9,12.9,14.2,14.5,15.1,13.0,11.6,12.0 p
Annual,Year,Females,Healthy life years in absolute value at 65,Netherlands,9.9,10.1,9.2,10.2,9.4,9.9 b,9.7,9.5,9.6,9.8,9.7,8.9
Annual,Year,Females,Healthy life years in absolute value at 65,Norway,17.4,16.0,14.8,15.9,15.3,15.2,15.8,15.6,15.8,14.9,:,14.2
Annual,Year,Females,Healthy life years in absolute value at 65,Poland,8.3,7.8,7.8,8.1,8.4,8.9,8.6,8.8,9.0,8.7,8.9,8.6 b
Annual,Year,Females,Healthy life years in absolute value at 65,Portugal,6.3,9.0 b,9.3,5.6 b,5.4,6.4,6.7,6.9,6.9,7.1,7.4,7.3 bp
Annual,Year,Females,Healthy life years in absolute value at 65,Romania,4.8,5.2,5.3,5.7,5.7,5.6,5.1,5.9,6.5,6.0,4.0,3.8 e
Annual,Year,Females,Healthy life years in absolute value at 65,Sweden,12.9,:,13.6,16.6 b,16.5,16.6,15.8,15.8,16.6,16.4,14.8,14.3
Annual,Year,Females,Healthy life years in absolute value at 65,Slovenia,6.9,6.9,7.6,8.6,7.6,8.2,7.2,7.4,8.6,11.0,11.4,12.2
Annual,Year,Females,Healthy life years in absolute value at 65,Slovakia,2.9,3.1,3.7,3.6,3.8,4.2,4.1,4.6,4.7,4.7,5.1,4.9
Annual,Year,Females,Healthy life years in absolute value at 65,United Kingdom,11.9,10.5,10.7,10.6,10.4,11.1,11.1,10.6,:,:,:,:
