Time frequency,Live animals,Month,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Dairy cows,December,Thousand heads (animals),Albania,:,:,357.78,357.52,353.05,346.41,339.94,313.89,287.17,275.58,260.96,230.68
Annual,Dairy cows,December,Thousand heads (animals),Austria,523.37,529.56,537.74,534.1,539.87,543.42,532.87,524.07,524.78,526.46,550.55,543.03
Annual,Dairy cows,December,Thousand heads (animals),Bosnia and Herzegovina,217.00 e,222.00 e,216.00 e,217.00 e,215.00 e,206.00 e,200.00 e,193.00 e,191.00 e,147.44,148.52,147.47
Annual,Dairy cows,December,Thousand heads (animals),Belgium,503.54,515.99,519.09,528.78,530.59,519.16,529.25,537.96,537.94,537.25,543.68,535.55
Annual,Dairy cows,December,Thousand heads (animals),Bulgaria,294.49,313.25,301.71,282.96,278.92,260.78,244.36,226.69,241.94,230.34,212.84,202.41
Annual,Dairy cows,December,Thousand heads (animals),Switzerland,:,:,:,579.88,572.34,567.38,557.36,551.76,541.75,540.72,533.03,524.36
Annual,Dairy cows,December,Thousand heads (animals),Cyprus,24.2,24.55,25.33,26.19,28.46,30.16,31.88,35.02,39.49,38.92,38.22,38.66
Annual,Dairy cows,December,Thousand heads (animals),Czechia,367.07,375.33,372.39,369.06,367.31,365.46,358.6,361.43,357.01,362.35,356.65,357.66
Annual,Dairy cows,December,Thousand heads (animals),Germany,4190.49,4267.61,4295.68,4284.64,4217.7,4199.01,4100.86,4011.67,3921.41,3832.72,3809.72,3712.82
Annual,Dairy cows,December,Thousand heads (animals),Denmark,579.0,567.0,547.0,570.0,565.0,575.0,570.0,563.0,565.0,559.0,556.0,546.83
Annual,Dairy cows,December,Thousand heads (animals),Estonia,96.8,97.9,95.6,90.6,86.1,86.4,85.2,85.0,84.3,83.7,83.74,83.35
