Time frequency,Unit of measure,Meat product,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Bovine meat,Algeria,:,:,:,315.7 d,345.7 d,381.6 d,419.5 d,439.8 d,467.2 d,145.7,155.0,164.2,166.3,529.0 d,527.6 d,144.2,142.5,:
Annual,Thousand tonnes,Bovine meat,Egypt,706.4,726.9,762.8,804.9,858.6,855.7,850.3,849.5,824.5,801.0,837.0,826.0,755.0,779.0,:,:,:,:
Annual,Thousand tonnes,Bovine meat,Israel,89.9,108.3,105.2,116.6,104.0,108.1,116.7,116.9,132.2,120.0,132.2,126.5,133.6,123.2,141.1,138.7,153.1,160.2
Annual,Thousand tonnes,Bovine meat,Jordan,7.5,14.8,13.8,19.1,13.3,12.3,17.8,19.6,23.5,19.5,27.5,29.6,30.8,:,:,:,:,:
Annual,Thousand tonnes,Bovine meat,Lebanon,16.5,15.1,14.9,18.8,16.2,:,:,:,:,:,7.2 e,6.9 e,7.4 e,:,:,:,15.3 e,:
Annual,Thousand tonnes,Bovine meat,Libya,:,:,1177.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Bovine meat,Morocco,174.0,176.0,170.0,180.0,186.0,191.0,203.0,216.0,239.6,259.1,245.5,313.3 e,260.7,260.7,183.5 e,180.4,220.6,241.0 p
Annual,Thousand tonnes,Bovine meat,Palestine*,5.2 e,5.4 e,4.9 e,5.1 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Bovine meat,Tunisia,45.8,48.8,52.4,54.0,51.9,54.4,54.3,54.7,56.0,58.0 e,58.3,:,:,:,:,:,:,:
Annual,Thousand tonnes,Pigmeat,Egypt,2.3,2.5,2.5,2.0,0.5,:,:,:,:,:,:,:,:,:,771.0,842.0,:,:
Annual,Thousand tonnes,Pigmeat,Israel,18.7,17.5,18.9,18.2,19.6,18.9,19.2,19.4,16.3,15.7,15.8,16.1,16.3,14.7,13.6,15.1,13.4,11.4
Annual,Thousand tonnes,Pigmeat,Lebanon,1.1,1.0,0.9,0.9,0.5,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Sheepmeat,Algeria,:,:,:,:,:,:,:,:,:,290.6,318.0,322.0,325.1,:,:,334.9,342.1,:
Annual,Thousand tonnes,Sheepmeat,Egypt,83.4,85.0,86.0,86.2,85.2,75.1,73.6,74.5,75.9,75.4,74.3,76.0,62.0,51.0,:,:,:,:
Annual,Thousand tonnes,Sheepmeat,Israel,29.0,30.0,30.0,28.7,28.7,29.6,32.5,37.1,38.6,40.0,36.4,34.0,36.1,35.5,38.6,39.4,39.4,39.9
Annual,Thousand tonnes,Sheepmeat,Jordan,13.3,12.6,19.5,15.4,20.3,13.7,12.1,17.6,11.2,15.1,19.6,18.4,15.6,:,:,:,:,:
Annual,Thousand tonnes,Sheepmeat,Lebanon,5.4,3.5,6.6,7.5,8.2,:,:,:,:,:,7.0 e,7.5 e,6.8 e,:,:,:,5.1 e,:
Annual,Thousand tonnes,Sheepmeat,Morocco,120.0,123.0,120.0,121.0,136.0,135.0,142.0,138.0,125.4,120.4,157.0,200.4 e,175.2,40.1,40.7,41.3,49.9,54.0 p
Annual,Thousand tonnes,Sheepmeat,Palestine*,22.9 e,22.6 e,21.2 e,19.6 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Sheepmeat,Tunisia,46.4,48.4,49.5,51.0,49.1,50.0,50.0,47.7,48.7,50.1 e,50.2,:,:,:,:,:,:,:
Annual,Thousand tonnes,Goat meat,Algeria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,37.0,38.3,:
Annual,Thousand tonnes,Goat meat,Egypt,54.7,55.0,60.8,62.0,59.3,52.7,53.5,54.5,51.8,53.0,51.0,53.0,33.0,23.0,:,:,:,:
Annual,Thousand tonnes,Goat meat,Israel,3.4,3.6,3.7,3.7,3.8,3.9,4.5,4.1,4.1,4.4,4.2,3.9,4.1,3.4,3.3,3.4,3.4,4.4
Annual,Thousand tonnes,Goat meat,Jordan,2.0,1.5,3.1,4.2,5.0,3.5,5.1,7.2,7.7,6.0,15.8,13.9,9.5,:,:,:,:,:
Annual,Thousand tonnes,Goat meat,Lebanon,6.6,5.2,8.2,6.7,6.1,:,:,:,:,:,5.2 e,6.4 e,5.3 e,:,:,:,3.2 e,:
Annual,Thousand tonnes,Goat meat,Morocco,22.0,22.4,22.0,22.0,23.0,23.0,24.0,22.0,19.8,26.5,28.4,36.3 e,29.5,30.3,13.8,11.5,13.4,12.0 p
Annual,Thousand tonnes,Goat meat,Palestine*,7.7 e,8.0 e,7.1 e,6.7 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Goat meat,Tunisia,9.2,9.6,9.6,10.0,9.8,9.4,9.4,9.0,9.2,9.6 e,9.2,:,:,:,:,:,:,:
Annual,Thousand tonnes,Poultry meat,Algeria,:,:,:,305.7,209.1,281.6,336.1,365.4,418.4,463.4,505.2,504.9,529.8,540.3,560.2,541.6,430.8,:
Annual,Thousand tonnes,Poultry meat,Egypt,924.9,695.3,879.0,834.0,878.0,949.3,1000.6,1037.0,1187.1,1287.2,1293.1,1007.0,1303.0,1594.0,1751.0,2160.0,:,:
Annual,Thousand tonnes,Poultry meat,Israel,486.4,508.5,524.3,537.0,528.0,540.0,570.0,574.3,516.8,549.3,597.8,635.4,658.7,650.4,611.5,659.5,627.0,641.0
Annual,Thousand tonnes,Poultry meat,Lebanon,130.6,140.2,143.7,135.9,130.7,:,:,:,:,:,122.4 e,125.2 e,131.1 e,:,:,:,101.5 de,:
Annual,Thousand tonnes,Poultry meat,Morocco,388.0,370.0,420.0,490.0,490.0,560.0,590.0,560.0,545.0,584.0,660.0,610.0,690.0,720.0,782.0,635.0,690.0,:
Annual,Thousand tonnes,Poultry meat,Palestine*,69.7,54.4,45.9,47.7,:,:,:,:,87.7,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Poultry meat,Tunisia,132.0,106.0,134.7,138.9,143.6,155.1,150.0,186.7,207.0,211.8 e,219.6,:,:,:,:,:,:,:
Annual,Thousand tonnes,Broiler,Algeria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,489.6,392.2,:
Annual,Thousand tonnes,Broiler,Egypt,72.5,42.8,29.5,37.2,33.9,48.8,:,32.1,44.3,45.0,43.0,40.0,47.0,50.0,:,:,:,:
Annual,Thousand tonnes,Broiler,Israel,370.0,402.5,420.3,440.0,436.0,450.0,450.0,482.3,443.2,482.0,498.8,536.2,565.6,546.7,517.1,578.2,541.3,553.1
Annual,Thousand tonnes,Broiler,Jordan,132.6,115.8,133.8,140.5,152.8,187.5,190.5,190.3,182.3,192.1,181.8,216.1,209.3,:,:,:,:,:
Annual,Thousand tonnes,Broiler,Lebanon,122.4,132.1,135.2,127.5,122.4,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Broiler,Morocco,350.0,340.0,380.0,440.0,430.0,490.0,510.0,490.0,470.0,506.0,570.0,520.0,600.0,620.0,675.0,:,:,:
Annual,Thousand tonnes,Broiler,Palestine*,69.1 e,53.6 e,45.2 e,47.1 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Broiler,Tunisia,100.5,78.8,96.1,100.3,103.0,112.8,108.0,126.6,138.8,144.5 e,150.0,:,:,:,:,:,:,:
