Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Austria,:,:,:,:,:,:,:,:,635.5,635.3,705.2,1095.1 b,1386.0,1460.7,1466.6,2047.1,:,:
Annual,Million euro,Belgium,:,:,:,:,:,:,:,:,1647.0,1684.1,1701.6,2010.2,2294.6,2467.4,2417.8,2399.9,:,:
Annual,Million euro,Bulgaria,:,:,:,:,:,:,:,:,833 be,941.8 e,282.1 e,235.2 e,255.1 e,232.5 e,336.5 e,360.2 e,:,:
Annual,Million euro,Switzerland,:,:,:,:,:,:,:,:,1898.3 e,2136.2 e,2116.5,2036.6 e,1916.8,2087.8 e,2325.4,2349.7 e,2534.4 ep,:
Annual,Million euro,Cyprus,:,:,:,:,169.0,130.9,117.1,114.5,:,76.1,58.1,61.6,31.0,102.8,24.0,53.5,:,:
Annual,Million euro,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,1697.5,1681.4,1675.2,1685.4,:,:
Annual,Million euro,Germany,:,:,:,:,10279.5,11415.3,11700.8,11331.4,12079.8,11314.0,11730.0,12142.0,13448.9,13882.3,14531.7,14416.1 p,:,:
Annual,Million euro,Denmark,:,:,:,:,:,:,:,:,881.7,1489.1,1417.8,1595.3,1223.8,1260.2,1555.0,1547.9,:,:
Annual,Million euro,Estonia,: @C,:,:,:,: @C,:,:,:,231.6,234.3,104.1,129.7,182.8,110.9,140.1,129.2,:,:
Annual,Million euro,Greece,:,:,:,:,:,:,:,:,767.4,685.3,383.6,276.2,381.3,361.9,376.0,357.8 p,:,:
Annual,Million euro,Spain,:,:,:,:,4677.3,3157.3,2780.9,2309.6,2234.8,2369.1,2219.2,2427.4,2633.5,2831.3,2639.9,3315.8,3859.4,:
Annual,Million euro,European Union - 27 countries (from 2020),51562 i,52892 i,54560.1 i,52105.3 i,51695.9 i,50865.5 i,51027.6 i,49104.1 i,50600 i,53900 i,45100 i,47100 i,52243.7 i,55316 i,54523.2 i,59870.1 i,65510 i,66608.7 i
Annual,Million euro,Finland,:,:,:,:,:,:,:,:,:,:,:,654.8,695.4,542.3,560.8,805.7 p,:,:
Annual,Million euro,France,:,:,:,:,:,:,:,:,8681.7,8373.7,8172.6,8788.2,9521.5,10497.1,9393.1,10569.6,:,:
Annual,Million euro,Croatia,:,:,:,:,:,:,:,:,252.8,243.4,269.5,250.5,249.8,299.0,353.9,368.0,:,:
Annual,Million euro,Hungary,:,:,:,:,:,:,:,:,1347.6,1690.0,428.6,481.0,638.0,988.3,883.7,817.7,:,:
Annual,Million euro,Ireland,:,:,:,:,:,:,:,:,707 e,580 e,527.1 e,576.1 e,689.2 e,791.2 e,782.9 e,818.2 e,:,:
Annual,Million euro,Italy,:,:,:,:,:,:,:,:,:,:,6390.5,6359.9 b,6254.6,6481.5,6083.8,8062.1,:,:
Annual,Million euro,Lithuania,:,:,:,:,425.0,376.2,373.2,252.3,303.5,219.0,186.3,122.6,140.9,194.6,206.9,297.1,:,:
Annual,Million euro,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,82.4,120.8,114.9,150.1,:,:
Annual,Million euro,Malta,:,:,:,:,:,:,:,11.9,23.9,74.8,13.7,18.1,40.5,52.6,57.8,48.7,:,:
Annual,Million euro,Netherlands,:,:,:,:,:,:,:,3678.5,4088.7,4567.4,3055.7,2753.6,3324.9,3426.1,3452.0,3795.2,:,:
Annual,Million euro,Poland,:,:,:,:,2718.4,2930.5,2707.8,2585.2,3405.2,3623.3 b,1493.7,1604.0,2438.5 b,2844.3,2605.9,2711.1 b,:,:
Annual,Million euro,Portugal,:,:,:,:,:,:,:,:,456.8,577.1,432.4,543.0,614.6,663.1,730.7,775.4,:,:
Annual,Million euro,Romania,554.8,738.3,908.1,875.9,1087.4,1211.9,965.9,1051.8,1131.6,1656.5,609.2,456.8,700.3,733.5,670.8,728.4,819.7,:
Annual,Million euro,Sweden,970.5,1054.0,1171.6,952.5,1179.2,1429.3,1592.5,1561.1,:,:,:,:,2355.7,2322.6,2440.1,2640.1,:,:
Annual,Million euro,Slovenia,:,:,405.1,372.2,278.9,331.9,404.5,367.2,496.0,509.6,273.0,222.0,300.3,304.1,475.9,418.3,:,:
Annual,Million euro,Slovakia,:,:,:,:,:,:,:,:,:,:,335.5,416.2,420.6,419.2,286.3,262.6 p,:,:
Annual,Percentage of gross domestic product (GDP),Austria,:,:,:,:,:,:,:,:,0.2,0.2,0.2,0.3 b,0.4,0.4,0.4,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Belgium,:,:,:,:,:,:,:,:,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Bulgaria,:,:,:,:,:,:,:,:,1.9 be,2.1 e,0.6 e,0.4 e,0.5 e,0.4 e,0.5 e,0.5 e,:,:
Annual,Percentage of gross domestic product (GDP),Switzerland,:,:,:,:,:,:,:,:,0.3 e,0.3 e,0.3,0.3 e,0.3,0.3 e,0.4,0.3 e,0.3 ep,:
Annual,Percentage of gross domestic product (GDP),Cyprus,:,:,:,:,0.9,0.7,0.6,0.6,:,0.4,0.3,0.3,0.1,0.4,0.1,0.2,:,:
Annual,Percentage of gross domestic product (GDP),Czechia,:,:,:,:,:,:,:,:,:,:,:,:,0.8,0.7,0.8,0.7,:,:
Annual,Percentage of gross domestic product (GDP),Germany,:,:,:,:,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4 p,:,:
Annual,Percentage of gross domestic product (GDP),Denmark,:,:,:,:,:,:,:,:,0.3,0.5,0.5,0.5,0.4,0.4,0.5,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Estonia,: @C,:,:,:,: @C,:,:,:,1.1,1.1,0.5,0.5,0.7,0.4,0.5,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Greece,:,:,:,:,:,:,:,:,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2 p,:,:
Annual,Percentage of gross domestic product (GDP),Spain,:,:,:,:,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,:
Annual,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.5 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i,0.4 i
Annual,Percentage of gross domestic product (GDP),Finland,:,:,:,:,:,:,:,:,:,:,:,0.3,0.3,0.2,0.2,0.3 p,:,:
Annual,Percentage of gross domestic product (GDP),France,:,:,:,:,:,:,:,:,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Croatia,:,:,:,:,:,:,:,:,0.6,0.5,0.6,0.5,0.5,0.5,0.7,0.6,:,:
Annual,Percentage of gross domestic product (GDP),Hungary,:,:,:,:,:,:,:,:,1.3,1.5,0.4,0.4,0.5,0.7,0.6,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Ireland,:,:,:,:,:,:,:,:,0.4 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,0.2 e,:,:
Annual,Percentage of gross domestic product (GDP),Italy,:,:,:,:,:,:,:,:,:,:,0.4,0.4 b,0.4,0.4,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Lithuania,:,:,:,:,1.5,1.2,1.1,0.7,0.8,0.6,0.5,0.3,0.3,0.4,0.4,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Latvia,:,:,:,:,:,:,:,:,:,:,:,:,0.3,0.4,0.4,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Malta,:,:,:,:,:,:,:,0.1,0.3,0.7,0.1,0.1,0.3,0.4,0.4,0.3,:,:
Annual,Percentage of gross domestic product (GDP),Netherlands,:,:,:,:,:,:,:,0.6,0.6,0.7,0.4,0.4,0.4,0.4,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Poland,:,:,:,:,0.8,0.8,0.7,0.7,0.8,0.8 b,0.3,0.3,0.5 b,0.5,0.5,0.5 b,:,:
Annual,Percentage of gross domestic product (GDP),Portugal,:,:,:,:,:,:,:,:,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,:,:
Annual,Percentage of gross domestic product (GDP),Romania,0.6,0.6,0.6,0.7,0.8,0.9,0.7,0.7,0.8,1.0,0.4,0.2,0.3,0.3,0.3,0.3,0.3,:
Annual,Percentage of gross domestic product (GDP),Sweden,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,:,:,:,:,0.5,0.5,0.5,0.5,:,:
Annual,Percentage of gross domestic product (GDP),Slovenia,:,:,1.1,1.0,0.8,0.9,1.1,1.0,1.3,1.3,0.7,0.5,0.7,0.6,1.0,0.8,:,:
Annual,Percentage of gross domestic product (GDP),Slovakia,:,:,:,:,:,:,:,:,:,:,0.4,0.5,0.5,0.4,0.3,0.3 p,:,:
