Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Albania,:,:,:,:,:,:,23.1,18.4,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Austria,10.8,10.2,7.6,10.5,12.5,8.4,6.8,11.7,10.9,13.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Belgium,12.4,10.3,11.9,14.4,14.2,12.7 b,8.8,9.2,9.3,10.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Bulgaria,25.3,21.9,22.8 b,20.3,18.9,22.0,22.0,22.6,19.0,20.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Switzerland,8.0,4.5,9.6,9.7 b,10.9,13.3,7.9,14.6,5.0,11.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Cyprus,6.7,6.8,9.0,6.2,6.3,9.3,9.8,13.4,11.0,9.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Czechia,5.8,6.4,6.1,6.5,10.1,6.9,2.1,5.4,9.1,4.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Germany,7.2,8.5,6.1,11.7,7.9,7.9,7.9,:,:,2.3 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,Denmark,4.5,0.7,5.2,3.9,0.8,4.8,4.2 b,: m,3.5,6.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Total,Less than 18 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",12.9 e,13.8 e,13.6 e,14.2 e,13.8 e,12.3,12.7,:,:,:
