Time frequency,Economical indicator for structural business statistics,Client/Trader,Size classes in number of persons employed,Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Denmark,:,724.8
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Spain,:,1451.6
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Finland,:,493.6
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,France,5896.2,:
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Luxembourg,:,273.9
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Portugal,:,273.0
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,Sweden,2804.7,:
Annual,Turnover or gross premiums written - million euro,Enterprises,From 10 to 49 persons employed,United Kingdom,:,11257.0
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Denmark,:,833.6
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Spain,:,1788.4
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Finland,:,943.6
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,France,7091.4,:
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Luxembourg,:,79.2
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Portugal,:,354.6
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,Sweden,1698.9,:
Annual,Turnover or gross premiums written - million euro,Enterprises,From 50 to 249 persons employed,United Kingdom,:,10287.0
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,Denmark,:,983.9
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,Spain,:,4871.9
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,Finland,:,1049.5
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,France,10111.0,:
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,Portugal,:,218.9
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,Sweden,3517.0,:
Annual,Turnover or gross premiums written - million euro,Enterprises,250 persons employed or more,United Kingdom,:,19359.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Denmark,:,1390.8
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Spain,:,1255.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Finland,:,445.1
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,France,4964.2,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Luxembourg,:,531.5
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Portugal,:,319.9
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,Sweden,1054.1,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Fewer than 10 persons employed,United Kingdom,:,20225.0
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Denmark,:,3933.1
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Spain,:,9366.8
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Finland,:,2931.9
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,France,28063.0,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Luxembourg,:,884.6
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Portugal,:,1166.4
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,Sweden,9074.7,:
Annual,Turnover or gross premiums written - million euro,Enterprises,Total,United Kingdom,:,61127.0
Annual,Turnover or gross premiums written - million euro,Public sector,From 10 to 49 persons employed,Denmark,:,130.2
