Time frequency,Seasonal adjustment,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Currency,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Austria,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Belgium,-89.0,100.0,73.0,79.0,99.0,104.0,95.0,-363.0,-324.0,-338.0,97.0,111.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Bulgaria,261.5,-11.4,126.0,535.3,141.9,112.6,52.4,173.1,111.1,39.0,97.9,189.4
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Czechia,105.8,39.9,39.1,80.6,791.5,22.1,987.7,142.7,56.7,503.9,51.2,-667.7
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Germany,2354.0,-6808.0,-1995.0,124.0,-2028.0,-1372.0,2628.0,-2405.0,711.0,-2010.0,-2801.0,-1398.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Denmark,-477.1,17.8,20.5,2.4,-86.1,-46.5,-75.7,20.1,-54.1,-41.3,-493.7,-501.2
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Euro area – 20 countries (from 2023),12956.6,-9027.8,-4486.8,827.0,-1820.8,474.0,4425.2,1000.2,4062.1,-300.8,2456.9,1239.5
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Estonia,-116.5,7.4,15.2,24.3,38.7,55.8,67.8,73.9,84.6,75.1,40.1,38.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Greece,854.0,-167.0,-149.0,-108.0,-116.0,-102.0,77.0,1.0,12.0,-71.0,531.0,58.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Spain,4950.0,170.0,381.0,809.0,743.0,1039.0,1790.0,1110.0,1349.0,1249.0,1646.0,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,European Union - 27 countries (from 2020),-2436.6,-10594.7,-5937.9,-1782.3,-4797.2,-2628.1,456.1,-1107.8,1768.2,-2387.7,-2474.7,-2075.3
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Finland,-3.0,-34.0,-30.0,-37.0,-26.0,-24.0,-17.0,12.0,31.0,21.0,17.0,16.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,France,538.0,389.0,446.0,1071.0,366.0,693.0,214.0,440.0,664.0,402.0,343.0,438.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Croatia,307.0,56.0,78.0,77.0,52.0,82.0,168.0,166.0,96.0,98.0,: @C,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Hungary,160.7,22.2,119.1,145.1,48.9,95.9,-85.3,94.6,117.3,84.7,105.2,114.2
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Italy,1623.0,-126.0,-139.0,-216.0,-470.0,-501.0,-366.0,213.0,221.0,45.0,-48.0,-108.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Lithuania,270.8,28.2,54.2,147.9,77.6,86.3,71.3,88.7,53.2,63.6,122.5,146.1
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Luxembourg,-17.0,-28.0,-31.0,-19.0,-29.0,-24.0,-19.0,-10.0,-9.0,-19.0,-18.0,-26.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Latvia,266.0,30.0,16.0,43.0,83.0,24.0,92.0,31.0,32.0,56.0,94.0,55.0
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,North Macedonia,0.1,0.0,0.0,0.0,0.4,0.5,-0.3,-0.1,-0.2,0.0,: @C,: @C
Monthly,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Capital account,Total economy,Total economy,Balance,Rest of the world,Million euro,Malta,8.1,34.9,7.6,34.9,35.4,7.0,8.4,11.0,11.2,11.3,11.3,-29.9
