Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Albania,-5.0,3.0,-1.1,1.0,3.7,0.3 p,3.5 p,3.3 p,4.7 p,-1.2 p,1.3 p,3.1 p
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Austria,-0.1,0.0,0.5,0.6,1.1,0.3,0.5,0.8,-0.2,0.7,0.2,0.3
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Belgium,0.8,1.0,2.2,0.6,0.4,0.6 p,0.5 p,-0.2 p,0.5 p,0.1 p,0.8 p,0.4 p
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Bulgaria,0.7,2.9,1.4,1.4,2.2,-0.8,2.0,-1.0,1.4,1.9 p,0.0 p,2.8 p
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Switzerland,0.3,0.8,0.7,0.7,0.5,0.6,0.5,0.8,1.0,0.4,0.6,0.5
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Cyprus,1.6,2.0,1.6,1.1,0.6,-0.2,0.1,0.2,0.2,2.2,0.3,0.3
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Czechia,1.4,-0.2,0.6,0.3,0.6,0.5,-0.3,0.0,-0.1,1.2,-0.2,0.0
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Germany,-1.2 p,3.0 p,0.6 p,2.0 p,-0.7 p,0.4 p,0.1 p,0.7 p,0.2 p,0.4 p,0.2 p,1.3 p
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Denmark,1.9,-1.8,-1.5,-0.7,-0.4,0.6,1.6,-0.4,-1.1,2.2,0.0,-1.2
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",-0.1,1.4,0.5,0.8,0.1,0.1,0.0,0.4,0.5,0.2,0.3,0.5
Quarterly,"Value added, gross","Public administration, defence, education, human health and social work activities",Percentage change q/q-1 (SCA),Euro area - 19 countries  (2015-2022),-0.1,1.4,0.5,0.8,0.1,0.1,0.0,0.4,0.5,0.2,0.3,0.5
