Time frequency,Unit of measure,Sex,Health indicator,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Czechia,59.7,60.4,59.3,58.8,56.3,57.1,55.6,55.4,58.4,54.9
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Germany,45.9,44.1,66.4 b,65.4,65.6,65.8,66.2,63.3 b,63.2,53.6 bu
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Denmark,64.4,62.8,61.3,62.4,61.4,61.4,59.4,59.0 b,54.7,55.5
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Estonia,43.0,42.7,41.7,47.1,44.6,42.6,47.2,49.1,51.3,53.1
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Greece,54.0,53.4,55.1,55.1,56.3,55.0,56.9,57.1,58.8,62.4
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Spain,55.4,56.7,55.5,59.1,66.8,63.4,66.3,64.1,57.1,54.3
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,European Union - 27 countries (from 2020),53.4,53.1,57.3 b,59.4,59.6,59.6,60.9,60.7,60.5,57.7 b
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,European Union - 28 countries (2013-2020),54.5,53.8,57.8 b,59.6,59.9,59.7,:,:,:,:
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Finland,:,53.0,53.1,53.6,53.0,53.7,52.5,54.2,59.9,53.3
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,France,57.9,58.1,57.5,56.8,57.1,58.6,59.2,59.9 b,63.7,60.7 bp
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Croatia,47.3 b,47.6,40.9,44.2,43.8,43.4,41.8,45.3,47.8,49.2 b
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Hungary,51.6,51.3,50.3,52.9,54.9,57.3,57.2,61.2,63.1,59.4 b
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Ireland,66.7,67.1,67.7,70.2,69.6,70.9,71.5,64.6 b,67.8,64.8
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Iceland,77.2,75.2,76.7,74.0,67.5,65.1,:,:,:,:
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Italy,50.5,50.3,51.8,61.5 b,59.0,58.9,62.7,64.2,64.2,62.9
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Lithuania,53.5,53.4,47.9,49.4,50.0,50.2,50.4,49.7,52.6,56.1
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Luxembourg,59.0,59.8,55.7,51.6 b,52.4,53.5,57.3,59.7 b,58.9 b,54.5 b
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Latvia,40.3 b,40.0,38.7,40.3,37.3,39.8,39.5,39.2,44.7,42.1
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Malta,73.6,76.4,76.8,71.6,75.2,75.7,76.7,71.6,67.1,69.2 p
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Netherlands,54.6,57.3,56.0,56.8 b,56.4,55.2,55.9,57.7,55.9,53.1
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Norway,76.4,78.5,78.4,76.6,78.1,76.6,76.6,74.0,:,72.2
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Poland,55.3,55.0,56.4,58.5,58.1,58.3,58.6,60.6,62.9,59.5 b
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Portugal,57.1,42.6 b,42.4,47.0,47.8,48.1,47.8,50.4,48.5,49.9 bp
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Romania,49.0,50.3,51.8,51.5,49.4,51.9,54.4,55.5,48.3,46.5 e
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Sweden,69.7,81.1 b,81.3,80.9,80.8,79.9,80.9,81.4,73.1,71.9
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Slovenia,48.4,50.8,49.2,49.9,44.3,46.0,52.5,62.7,63.5,64.8
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,Slovakia,38.7,39.4,39.7,42.1,40.1,41.4,40.9,43.3,47.4,44.7
Annual,Percentage,Total,Healthy life years at 50 in percentage of the total life expectancy,United Kingdom,63.1,60.4,61.3,62.0,62.1,59.6,:,:,:,:
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Austria,44.4,39.5,39.5,38.7,37.6,36.9,37.8,41.6,48.4,48.1
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Belgium,55.1,54.2,55.6,53.8,54.7,54.6,51.5 b,56.0,54.6,53.5
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Bulgaria,57.8,57.4,57.3,60.0 b,54.7,60.2,60.7,61.5,61.7,65.9 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Switzerland,50.1 b,46.3,47.8,46.1,49.2,47.9,50.2,52.5,52.5,49.8
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Cyprus,45.5,47.5,40.0,52.6,45.1,36.7,37.4,35.8,47.3,44.6
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Czechia,49.1,49.4,46.7,47.2,44.4,45.4,44.0,43.2,45.7,41.3
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Germany,36.0,34.3,61.1 b,60.8,60.5,60.7,61.4,56.3 b,55.4,43.6 bu
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Denmark,63.5,61.1,59.1,59.9,59.2,58.1,56.9,56.4 b,50.3,52.5
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Estonia,29.7,30.1,28.3,34.1,31.8,30.6,36.3,37.3,40.1,41.8
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Greece,36.7,36.4,38.8,38.9,39.5,35.5,38.6,37.9,40.1,45.3
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Spain,43.6,45.3,43.6,48.2,57.5,52.8,56.2,56.5,49.1,45.3
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,European Union - 27 countries (from 2020),42.0,42.0,47.0 b,49.3,49.6,49.5,51.0,50.9,50.6,46.7 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,European Union - 28 countries (2013-2020),43.4,43.0,47.6 b,49.9,50.2,49.9,:,:,:,:
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Finland,:,45.1,45.1,45.1,44.9,46.5,46.2,47.8,53.3,45.6
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,France,47.8,48.1,47.8,46.2,46.4,49.3,50.2,52.2 b,56.2,51.5 bp
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Croatia,33.2 b,33.5,26.8,28.5,28.0,28.2,26.7,28.9,31.5,31.8 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Hungary,36.9,36.0,35.5,38.2,40.0,42.8,42.0,46.9,48.3,43.5 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Ireland,59.1,60.0,59.4,63.5,64.1,63.3,65.6,57.6 b,61.6,56.6
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Iceland,75.5,73.1,74.7,71.3,65.8,59.9,:,:,:,:
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Italy,35.7,35.6,37.2,48.1 b,45.9,44.5,48.7,52.1,52.1,49.2
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Lithuania,35.9,35.0,30.8,32.6,32.3,34.3,34.9,34.8,37.6,41.5
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Luxembourg,51.6,53.4,47.6,42.1 b,43.8,44.6,49.9,53.9 b,53.2 b,46.8 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Latvia,24.4 b,25.6,23.8,26.1,24.7,26.3,26.9,25.6,30.6,25.6
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Malta,63.6,66.7,67.3,61.3,67.3,68.6,70.0,62.6,57.5,58.6 p
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Netherlands,47.3,52.1,49.9,50.8 b,49.6,48.7,48.7,50.9,48.2,46.0
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Norway,74.8,76.9,75.5,74.7,76.7,74.9,76.2,72.3,:,71.2
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Poland,41.8,42.4,43.9,46.3,46.1,46.8,46.5,47.8,51.0,46.3 b
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Portugal,47.6,30.7 b,30.6,34.9,35.6,35.9,35.5,38.8,38.9,38.5 bp
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Romania,33.7,35.3,36.5,35.3,32.7,36.6,39.0,37.4,27.3,24.0 e
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Sweden,66.3,78.3 b,79.3,77.9,76.5,76.9,77.7,78.9,70.1,66.9
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Slovenia,38.0,41.5,40.1,41.3,36.1,37.1,42.7,54.4,55.6,57.7
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,Slovakia,23.0,22.4,22.7,24.6,23.0,24.8,26.0,27.3,32.4,27.9
Annual,Percentage,Total,Healthy life years at 65 in percentage of the total life expectancy,United Kingdom,53.8,50.7,52.2,53.8,54.0,51.9,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at birth,Austria,59.9,57.7,58.0,57.0,57.1,56.9,57.3,58.7,61.8,60.9
Annual,Year,Total,Healthy life years in absolute value at birth,Belgium,63.9,64.1,64.2,63.7,63.7,63.4,62.4 b,63.8,64.6,63.7
Annual,Year,Total,Healthy life years in absolute value at birth,Bulgaria,64.5,64.0,63.2,65.7 b,64.5,65.8,66.3,65.6,63.3,66.7 b
Annual,Year,Total,Healthy life years in absolute value at birth,Switzerland,60.0 b,58.6,59.4,59.4,60.6,60.5,60.6,61.5,61.4,59.1
Annual,Year,Total,Healthy life years in absolute value at birth,Cyprus,64.7,66.0,63.3,68.2,65.2,62.2,62.5,62.9,65.7,66.0
Annual,Year,Total,Healthy life years in absolute value at birth,Czechia,63.3,64.1,63.0,63.3,61.4,62.7,62.0,61.6,62.0,61.8
Annual,Year,Total,Healthy life years in absolute value at birth,Germany,57.4,56.5,66.4 b,66.4,66.0,65.8,66.3,65.7 b,65.6,61.1 bu
Annual,Year,Total,Healthy life years in absolute value at birth,Denmark,60.5,60.9,59.1,60.3,59.7,60.9,58.9,58.0 b,56.6,55.9
Annual,Year,Total,Healthy life years in absolute value at birth,Estonia,55.5,55.2,55.0,56.8,56.0,53.9,55.8,57.6,56.5,59.3
Annual,Year,Total,Healthy life years in absolute value at birth,Greece,64.9,64.5,64.0,64.3,64.8,65.4,66.0,65.9,65.6,67.0
Annual,Year,Total,Healthy life years in absolute value at birth,Spain,64.3,65.0,64.0,66.2,69.4,68.0,69.9,66.3,62.8,61.2
Annual,Year,Total,Healthy life years in absolute value at birth,European Union - 27 countries (from 2020),61.0,61.3,62.8 b,64.0,63.9,64.0,64.6,64.0,63.6,62.6 b
Annual,Year,Total,Healthy life years in absolute value at birth,European Union - 28 countries (2013-2020),61.4,61.5,62.9 b,63.8,63.7,63.6,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at birth,Finland,:,58.2,57.8,58.1,57.4,57.4,56.4,56.9,61.7,57.9
Annual,Year,Total,Healthy life years in absolute value at birth,France,63.6,63.8,63.6,63.4,63.7,63.9,64.1,64.6 b,66.2,64.4 bp
Annual,Year,Total,Healthy life years in absolute value at birth,Croatia,59.0 b,59.3,56.1,57.9,57.6,57.5,57.4,58.5,58.6,60.3 b
Annual,Year,Total,Healthy life years in absolute value at birth,Hungary,59.5,59.9,59.1,59.8,60.2,61.1,61.7,62.5,62.5,62.6 b
Annual,Year,Total,Healthy life years in absolute value at birth,Ireland,66.9,66.9,67.2,68.5,68.6,69.4,69.6,66.2 b,67.2,66.0
Annual,Year,Total,Healthy life years in absolute value at birth,Iceland,69.3,68.8,68.9,66.7,63.1,62.4,:,:,:,:
Annual,Year,Total,Healthy life years in absolute value at birth,Italy,61.6,62.4,62.6,67.4 b,66.3,66.8,68.3,68.0,68.1,67.4
Annual,Year,Total,Healthy life years in absolute value at birth,Lithuania,59.2,59.7,56.5,57.8,58.1,57.7,57.5,56.8,57.6,60.3
Annual,Year,Total,Healthy life years in absolute value at birth,Luxembourg,63.3,63.8,62.2,60.2 b,59.2,60.7,62.6,63.3 b,62.0 b,60.2 b
Annual,Year,Total,Healthy life years in absolute value at birth,Latvia,53.0 b,53.4,53.0,53.6,51.4,52.3,53.1,53.4,53.8,54.2
Annual,Year,Total,Healthy life years in absolute value at birth,Malta,72.1,73.4,73.6,71.7,72.7,72.7,73.2,70.5,68.7,70.2 p
Annual,Year,Total,Healthy life years in absolute value at birth,Netherlands,59.5,61.2,59.1,60.3 b,60.0,59.2,61.0,61.1,60.3,58.5
Annual,Year,Total,Healthy life years in absolute value at birth,Norway,70.0,71.1,70.4,69.9,70.9,70.4,69.8,68.6,:,67.4
Annual,Year,Total,Healthy life years in absolute value at birth,Poland,61.0,61.3,61.6,62.9,62.0,62.4,62.5,62.3,62.6,62.4 b
Annual,Year,Total,Healthy life years in absolute value at birth,Portugal,63.0,56.9 b,56.5,58.6,58.5,58.6,59.2,59.7,58.3,59.1 bp
Annual,Year,Total,Healthy life years in absolute value at birth,Romania,58.4,59.0,59.2,59.4,58.7,59.4,60.2,59.9,57.8,59.0 e
Annual,Year,Total,Healthy life years in absolute value at birth,Sweden,65.8,72.9 b,72.7,73.2,72.6,72.8,73.3,72.7,68.4,66.5
