Time frequency,Unit of measure,Live animals,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand heads (animals),Live bovine animals,Algeria,1586.1,1607.9,1633.8,1640.7,1682.4,1747.7,1790.1,1843.9,1909.5,2049.7,2149.5,2081.0,1895.1,1816.3,1780.1,1740.2,1732.9,:
Annual,Thousand heads (animals),Live bovine animals,Egypt,4484.7,4609.8,4932.7,5023.2,4525.0,4728.7,4779.7,4946.4,4745.0,4762.5,4883.2,5012.0,4387.0,4379.1,:,:,:,:
Annual,Thousand heads (animals),Live bovine animals,Israel,373.0,406.0,394.0,416.0,400.0,421.0,432.0,435.0,465.0,461.0,500.0,506.7,509.0,546.2,553.0,525.9,555.0,581.5
Annual,Thousand heads (animals),Live bovine animals,Jordan,67.5,69.1,81.0,79.4,64.5,65.4,67.6,68.5,69.7,69.4,73.6,74.7,75.7,76.4,77.6,77.9,78.5,81.5
Annual,Thousand heads (animals),Live bovine animals,Lebanon,:,77.0,77.4,73.7,74.9,:,:,:,:,:,83.4 e,86.3 e,85.2 e,:,:,:,88.7 e,:
Annual,Thousand heads (animals),Live bovine animals,Libya,:,:,22047.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Live bovine animals,Morocco,2664.4,2670.4,2592.8,2651.2,2861.2,2895.8,3037.9,3178.8,3173.0,3239.0,3291.0,3315.0,3364.0,3441.2,3337.4,3175.9,3179.0,3100.9 p
Annual,Thousand heads (animals),Live bovine animals,Palestine*,33.7 e,36.3 e,34.3 e,33.0 e,:,33.9,39.6,:,34.0,:,:,:,:,:,:,:,67.8,:
Annual,Thousand heads (animals),Live bovine animals,Tunisia,685.0,685.0,710.0,695.0,679.0,671.0,655.7,654.3,646.2,671.2,656.0,686.0,646.0 d,:,:,:,:,:
Annual,Thousand heads (animals),Dairy cows,Algeria,828.8,847.6,860.0,:,882.3,915.4,940.7,966.1,1008.6,1072.5,1107.8,1066.4,971.6,942.8,927.5,908.4,908.0,:
Annual,Thousand heads (animals),Dairy cows,Israel,120.0,120.0,126.0,128.0,122.0,120.0,119.0,119.0,119.0,120.0,116.0,115.2,115.0,118.7,134.0,131.0,129.0,130.4
Annual,Thousand heads (animals),Dairy cows,Jordan,40.0,39.2,48.5,47.6,36.9,38.5,38.4,38.4,38.3,40.6,43.4,43.7,45.0,44.1,45.2,43.3,44.5,47.7
Annual,Thousand heads (animals),Dairy cows,Lebanon,43.8,43.9,45.3,40.2,40.8,:,:,:,:,:,51.8 e,53.2 e,53.9 e,:,:,:,50.3 e,:
Annual,Thousand heads (animals),Dairy cows,Morocco,1492.3,1492.3,1511.5,1558.9,1594.5,1608.0,1613.3,1654.7,1816.0 p,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Dairy cows,Palestine*,20.0 e,20.8 e,18.7 e,19.4 e,:,19.9,:,:,16.0,:,:,:,:,:,:,:,31.4,:
Annual,Thousand heads (animals),Dairy cows,Tunisia,442.0,450.0,454.0,449.0,440.0,399.5,389.9,386.9,423.9,437.5,450.0,458.0,437.0 d,:,:,:,:,:
Annual,Thousand heads (animals),"Live swine, domestic species",Israel,20.0,20.0,21.0,21.0,23.0,23.0,24.0,24.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Annual,Thousand heads (animals),"Live swine, domestic species",Jordan,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand heads (animals),"Live swine, domestic species",Lebanon,11.0,10.0,9.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Live sheep,Algeria,18909.1,19885.7,20154.9,19946.2,21404.6,22868.8,23989.3,25194.1,26573.0,27807.7,28111.8,28136.0,28393.6,28724.0,29428.9,30905.5,31127.8,:
Annual,Thousand heads (animals),Live sheep,Egypt,5232.0,5385.4,5467.5,5498.0,5591.6,5529.5,5365.1,5429.5,5564.1,5502.6,5463.2,5556.0,5305.0,4830.0,:,:,:,:
Annual,Thousand heads (animals),Live sheep,Israel,435.0,445.0,433.0,430.0,430.0,445.0,486.0,540.0,540.0,574.0,541.2,488.6,520.0,477.0,500.0,500.0,520.0,550.0
Annual,Thousand heads (animals),Live sheep,Jordan,1890.4,1971.5,2251.5,2493.4,2070.9,2175.7,2264.6,2234.0,2311.1,2680.3,2596.4,3198.9,3063.1,3060.3,3008.8,3002.3,3085.3,2961.7
Annual,Thousand heads (animals),Live sheep,Lebanon,337.3,370.4,324.4,370.9,372.1,:,:,:,:,:,439.2 e,429.0 e,433.0 e,:,:,:,437.6 e,:
Annual,Thousand heads (animals),Live sheep,Libya,:,:,3987651.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand heads (animals),Live sheep,Morocco,16121.7,16298.0,15566.1,16114.0,17093.0,18283.7,18737.4,19097.5,19956.0,19231.0,18510.0 p,19863.0,19863.8,19880.2,21592.1,22107.1,22726.5,21800.6 p
Annual,Thousand heads (animals),Live sheep,Palestine*,803.2 e,793.9 e,744.8 e,688.9 e,:,567.2,732.4,:,730.9,:,:,:,:,:,:,:,771.2,:
