Time frequency,Reason,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Austria,1.5,1.5 b,1.6,1.5,1.3,1.2,1.2,1.3,1.1,1.2,1.2,1.0,0.7,0.7,0.7,1.2 b,1.3,1.2
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.6 b,0.7,0.6
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Belgium,0.2,0.2,0.1 u,0.2,0.2,:,0.2,0.5,0.3,0.4,0.3,0.4 b,0.4,0.4,0.3,0.4 b,0.3,0.4
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Bulgaria,0.6,0.6,0.4 bu,0.3 u,0.4 bu,: bu,: u,0.3 u,0.3 u,: u,: u,: u,: u,: bu,: u,0.5 bu,0.4 u,0.4 u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Switzerland,3.4,3.2,2.7,2.3,2.7 b,2.4,2.2,2.2,2.1,2.1,2.1,2.0,1.7,1.6,1.6,1.8 b,2.0,1.9
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Cyprus,1.5,1.1,0.8,0.7 b,1.0,1.0,1.1,1.2,1.3,1.4,1.4,0.8,0.9,0.5,0.6,1.1 b,0.8,0.5
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Czechia,1.2,1.1,1.0,1.0,0.8,1.0 b,0.7,0.8,0.8,0.8,0.9,0.7,0.7,0.8,0.9,0.6 b,0.3,0.4
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Germany,0.8 b,1.0,1.0,0.9,1.0 b,1.2 b,1.3 b,1.2,1.1,1.1,1.1,1.1,1.1,1.0,:,1.4 b,1.5,1.4
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Denmark,0.2 u,0.3,0.4 b,0.2 u,0.3,0.3,0.2 u,0.3,0.3,0.2 u,0.4 b,0.4 b,0.4,0.4,0.3,0.2 bu,0.2,0.2 bu
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Euro area – 20 countries (from 2023),1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.2 b,1.1,1.1
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Estonia,1.9,2.2,1.8,1.6,1.6,1.5,1.8,1.4,1.4,1.7,1.9,1.8,1.8,1.5,1.9,0.8 bu,0.8,0.9
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Greece,0.9,0.8,0.7,0.8 b,0.8,0.9,0.9,1.0,0.9,1.0,1.0,1.1,1.0,1.0,1.0,1.2 b,1.0,0.9
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Spain,1.4 b,1.4,1.2,1.2,1.4,1.1,1.1,1.2,1.0,1.0,1.0,1.1,1.1,0.8,0.9,1.2 bd,1.2 d,1.0 d
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,European Union - 27 countries (from 2020),1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.1 b,1.0,0.9
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Finland,:,:,0.2 bu,0.2 u,0.2 u,0.2 u,0.2 u,0.3,0.2 u,0.3,0.1 u,0.2 u,0.3,0.2 u,0.2 u,0.2 bu,: u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,France,0.7 b,0.4,0.4,0.5,0.4,0.4,0.3,0.8 b,0.8 b,1.2,1.0,1.1,1.0,1.0,0.9,0.7 bd,0.7 d,0.7 d
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Croatia,1.0 bu,0.7 u,0.8,0.8,0.7 u,1.0,1.3 b,1.5,1.0,1.0,1.3,1.1,1.1,0.8 u,0.7 u,0.6 bu,0.7 u,0.7 u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Hungary,1.3,1.3,1.4,1.4,1.4,1.6,1.4,1.5,1.5,1.7,1.6,1.4,1.4 b,1.4,1.6,0.6 b,0.5,0.4
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Ireland,1.2,1.0 b,0.8,0.7,0.8,0.9,0.9 b,1.0,0.9,0.8,0.7,1.8 b,3.0,2.7,2.6,2.2 b,1.7,1.8
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Iceland,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Italy,3.3,3.3,3.3,2.7,2.7,2.4,2.7,2.5,2.5,2.4,2.3,2.3,2.3 b,2.1,2.0,1.8 b,1.5,1.4
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Lithuania,: u,0.6 u,1.2 u,0.7 u,0.7 u,0.6 u,: u,0.7,0.6,0.3 u,0.2 u,0.2 u,0.2 u,0.2 u,: u,0.3 bu,0.3 u,0.3 u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Luxembourg,0.5 u,: bu,0.5 u,2.4 b,1.8,1.7,1.4,1.2,1.4,2.0 b,1.7,2.0,1.7,1.2,1.1,0.8 b,0.5,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Latvia,3.0,3.0,2.1,2.2,1.7,2.0,1.6,1.5,1.7,1.6,1.6,1.1,0.8,1.0,1.5,1.1 bu,: u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Montenegro,:,:,:,:,:,: u,: u,0.7 u,1.0,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,North Macedonia,1.7,1.2,1.2,1.1,0.7,0.8,1.0,1.1,1.5,1.1,0.9,1.4,1.6,1.7,1.5,:,:,:
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Malta,1.0,1.2,1.3,1.3,1.1,2.0,2.1,1.8,1.6,1.9,1.8,1.5,1.1,1.1,0.7 u,0.6 bu,: u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Netherlands,0.5 b,0.5,0.3,0.3,0.2,0.3,0.3,0.2 b,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.9 b,0.9,0.9
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Norway,0.5 b,0.3 u,0.3 u,0.4,0.3 u,0.3 u,0.4 u,0.4,0.3 u,0.2 u,0.2 u,: u,: u,: u,0.3 u,: bu,: u,: u
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Poland,2.4,2.7,2.6,2.7,2.7 b,2.7,2.8,2.8,2.7,2.5,2.7,2.8,2.8,3.0 b,2.8,1.4 b,0.9,1.0
Annual,Care of adults with disabilities or children,Females,From 20 to 64 years,Percentage of total population,Portugal,0.1,0.2,0.2,0.2,: u,0.7 b,0.8,0.8,0.9,0.7,0.7,0.7,0.6,0.6,0.9,0.5 b,0.5,0.5
