Time frequency,Unit of measure,ind_inpu,geo\TIME_PERIOD,1995.0
Annual,Euro,6000.0,AT,2755659.0
Annual,Euro,6000.0,BE,3982766.0
Annual,Euro,6000.0,DE,20212067.0
Annual,Euro,6000.0,DK,3236109.0
Annual,Euro,6000.0,EL,4139564.0
Annual,Euro,6000.0,ES,14376819.0
Annual,Euro,6000.0,FI,1912137.0
Annual,Euro,6000.0,FR,25740236.0
Annual,Euro,6000.0,IE,3185637.0
Annual,Euro,6000.0,IT,23275428.0
Annual,Euro,6000.0,LU,121903.6
Annual,Euro,6000.0,NL,10563556.0
Annual,Euro,6000.0,PT,4557386.0
Annual,Euro,6000.0,SE,2136334.0
Annual,Euro,6000.0,UK,14734470.0
Annual,Euro,7000.0,AT,1741471.0
Annual,Euro,7000.0,BE,3422977.0
Annual,Euro,7000.0,DE,15423233.0
Annual,Euro,7000.0,DK,2589692.0
Annual,Euro,7000.0,EL,3362042.0
Annual,Euro,7000.0,ES,12686050.0
Annual,Euro,7000.0,FI,1466087.0
Annual,Euro,7000.0,FR,20048188.0
Annual,Euro,7000.0,IE,2470686.0
Annual,Euro,7000.0,IT,14833801.0
Annual,Euro,7000.0,LU,74645.1
Annual,Euro,7000.0,NL,8801333.0
Annual,Euro,7000.0,PT,3989291.0
Annual,Euro,7000.0,SE,1677169.0
Annual,Euro,7000.0,UK,12656129.0
Annual,Euro,7100.0,AT,92037.0
Annual,Euro,7100.0,BE,232965.0
Annual,Euro,7100.0,DE,829806.4
Annual,Euro,7100.0,DK,85113.0
Annual,Euro,7100.0,EL,263132.0
Annual,Euro,7100.0,ES,609655.0
Annual,Euro,7100.0,FI,55163.0
Annual,Euro,7100.0,FR,1159033.4
Annual,Euro,7100.0,IE,101065.0
Annual,Euro,7100.0,IT,684137.0
Annual,Euro,7100.0,LU,3275.6
Annual,Euro,7100.0,NL,813333.0
Annual,Euro,7100.0,PT,585709.0
Annual,Euro,7100.0,SE,105989.0
Annual,Euro,7100.0,UK,551285.0
Annual,Euro,7500.0,AT,152792.4
Annual,Euro,7500.0,BE,288038.0
Annual,Euro,7500.0,DE,2567312.0
Annual,Euro,7500.0,DK,154517.0
Annual,Euro,7500.0,EL,562659.0
Annual,Euro,7500.0,ES,1080484.0
Annual,Euro,7500.0,FI,164290.0
Annual,Euro,7500.0,FR,1710311.9
Annual,Euro,7500.0,IE,279802.0
Annual,Euro,7500.0,IT,1598747.0
Annual,Euro,7500.0,LU,6885.8
Annual,Euro,7500.0,NL,916444.0
Annual,Euro,7500.0,PT,514596.0
Annual,Euro,7500.0,SE,223866.0
Annual,Euro,7500.0,UK,865259.0
Annual,Euro,7520.0,AT,57577.9
Annual,Euro,7520.0,BE,113271.0
Annual,Euro,7520.0,DE,460153.1
Annual,Euro,7520.0,DK,27310.0
Annual,Euro,7520.0,EL,85812.0
Annual,Euro,7520.0,FI,35910.0
Annual,Euro,7520.0,FR,342090.5
Annual,Euro,7520.0,IE,8097.0
Annual,Euro,7520.0,IT,139045.0
Annual,Euro,7520.0,NL,557333.0
Annual,Euro,7520.0,SE,28657.0
Annual,Euro,7520.0,UK,253595.0
Annual,Euro,7530.0,AT,48894.6
Annual,Euro,7530.0,BE,60202.0
Annual,Euro,7530.0,DE,1171094.1
Annual,Euro,7530.0,DK,57187.0
Annual,Euro,7530.0,EL,372907.0
Annual,Euro,7530.0,ES,643813.0
Annual,Euro,7530.0,FI,44852.0
Annual,Euro,7530.0,FR,719022.2
Annual,Euro,7530.0,IE,199280.0
Annual,Euro,7530.0,IT,853877.0
Annual,Euro,7530.0,LU,3230.5
Annual,Euro,7530.0,NL,137778.0
Annual,Euro,7530.0,PT,357088.0
Annual,Euro,7530.0,SE,103875.0
Annual,Euro,7530.0,UK,265487.0
Annual,Euro,7540.0,AT,32076.0
Annual,Euro,7540.0,BE,104185.0
Annual,Euro,7540.0,DE,574065.7
Annual,Euro,7540.0,DK,70021.0
Annual,Euro,7540.0,EL,85628.0
Annual,Euro,7540.0,ES,345840.0
Annual,Euro,7540.0,FI,74601.0
Annual,Euro,7540.0,FR,389575.7
Annual,Euro,7540.0,IE,60579.0
Annual,Euro,7540.0,IT,386733.0
Annual,Euro,7540.0,LU,3655.4
Annual,Euro,7540.0,NL,207556.0
Annual,Euro,7540.0,PT,150091.0
Annual,Euro,7540.0,SE,91334.0
Annual,Euro,7540.0,UK,300252.0
Annual,Euro,7550.0,AT,14243.8
Annual,Euro,7550.0,BE,10380.0
Annual,Euro,7550.0,DE,361999.1
Annual,Euro,7550.0,EL,18312.0
Annual,Euro,7550.0,ES,90831.0
Annual,Euro,7550.0,FI,8942.0
Annual,Euro,7550.0,FR,259623.5
Annual,Euro,7550.0,IE,11846.0
Annual,Euro,7550.0,IT,219092.0
Annual,Euro,7550.0,NL,13778.0
Annual,Euro,7550.0,PT,7416.0
Annual,Euro,7550.0,UK,45925.0
Annual,Euro,7600.0,AT,88914.0
Annual,Euro,7600.0,BE,199955.0
Annual,Euro,7600.0,DE,1359297.6
Annual,Euro,7600.0,DK,195719.0
Annual,Euro,7600.0,EL,288953.0
Annual,Euro,7600.0,ES,1204994.0
Annual,Euro,7600.0,FI,201455.0
Annual,Euro,7600.0,FR,2448862.0
Annual,Euro,7600.0,IE,420752.0
Annual,Euro,7600.0,IT,1053590.0
Annual,Euro,7600.0,LU,10849.8
Annual,Euro,7600.0,NL,304000.0
Annual,Euro,7600.0,PT,387767.0
Annual,Euro,7600.0,SE,170463.0
Annual,Euro,7600.0,UK,1381779.0
Annual,Euro,7620.0,AT,31994.0
Annual,Euro,7620.0,BE,79981.0
Annual,Euro,7620.0,DE,790634.8
Annual,Euro,7620.0,DK,86540.0
Annual,Euro,7620.0,EL,99278.0
Annual,Euro,7620.0,ES,526810.0
Annual,Euro,7620.0,FI,2667.0
Annual,Euro,7620.0,FR,1052121.4
Annual,Euro,7620.0,IE,136153.0
Annual,Euro,7620.0,IT,487168.0
Annual,Euro,7620.0,LU,8734.9
Annual,Euro,7620.0,NL,243111.0
Annual,Euro,7620.0,PT,341540.0
Annual,Euro,7620.0,SE,87459.0
Annual,Euro,7620.0,UK,558603.0
Annual,Euro,7630.0,AT,20434.4
Annual,Euro,7630.0,BE,41189.0
Annual,Euro,7630.0,DE,639801.9
Annual,Euro,7630.0,DK,79887.0
Annual,Euro,7630.0,EL,83529.0
Annual,Euro,7630.0,ES,443026.0
Annual,Euro,7630.0,FI,1554.0
Annual,Euro,7630.0,FR,864147.2
