Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Early childhood educational development,Armenia,7110 e,7304 e,7451 e,7993 e,7524 e,7920 e,9094 e,9874 e,7825 e,7770 e,7348 e,6865 e,5833 e,5563 e,5475 e,3195 e,2940 e,3759 e
Annual,Number,Early childhood educational development,Azerbaijan,14481 e,14562 e,15265 e,14689 e,15410 e,14915 e,15372 e,15015 e,13848 e,13119 e,13001 e,13453 e,14893 e,15758 e,17919 e,18110 e,18515 e,18979 e
Annual,Number,Early childhood educational development,Belarus,43123 d,46099 d,46417 d,47992 b,55538.0,57480.0,59336.0,65783.0,64215.0,66422.0,68879.0,69347.0,70330.0,69460.0,72391.0,68422.0,:,:
Annual,Number,Early childhood educational development,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,162879 d,161848 d,164605 d,158062 d,154501 d,148658 d
Annual,Number,Early childhood educational development,Moldova,13036.0,13275.0,14768.0,15400.0,16233.0,15744.0,16398.0,17349.0,17240.0,15935.0,16796.0,16732.0,17116.0,16757.0,16319.0,16799.0,10484.0,13637.0
Annual,Number,Early childhood educational development,Ukraine,:,182167.0,198050.0,206573.0,224039.0,218898.0,228969.0,229312.0,229818.0,229087.0,200948 d,193628 d,193962 d,186817 d,184246 d,180054 d,152501 d,157561 d
Annual,Number,Pre-primary education,Armenia,41564 e,40711 e,43040 e,45725 e,46353 e,50396 e,54448 e,59591 e,61086 e,64959 e,65025 e,65421 e,70579 e,73511 e,76614 e,52938 e,69612 e,71330 e
Annual,Number,Pre-primary education,Azerbaijan,95600 e,95455 e,94193 e,89213 e,88207 e,93039 e,97520 e,98502 e,97242 e,94580 e,103048 e,103786 e,186022 de,203011 de,207008 de,218975 de,214886 de,207138 de
Annual,Number,Pre-primary education,Belarus,266975 d,269126 d,270779 d,271407 b,270652.0,281575.0,296823.0,302631.0,318900.0,326933.0,330616.0,330567.0,339295.0,349373.0,355604.0,361174.0,:,:
Annual,Number,Pre-primary education,Georgia,76416 e,72424.0,:,:,:,:,:,113749 d,:,:,:,:,:,:,:,:,:,:
