Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Type of household,n_item,geo\TIME_PERIOD,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Percentage,Total,Total,0.0,AL,:,:,:,:,:,:,:,68.0,64.6,67.6,75.3,:
Annual,Percentage,Total,Total,0.0,AT,80.3,81.5,83.7,83.8,85.2,84.3,84.9,83.8,85.5,86.6,86.3,84.4
Annual,Percentage,Total,Total,0.0,BE,75.8,73.2,76.1,77.6,76.8,75.7,74.8,76.8,76.7,77.6 b,78.9,80.7
Annual,Percentage,Total,Total,0.0,BG,66.1,66.2,68.6,70.8,70.3 b,72.5,73.1 b,74.8,76.2,78.1,78.5,84.2
Annual,Percentage,Total,Total,0.0,CH,87.2,84.2,81.5,83.8,83.1 b,82.5,82.0,82.5,84.8,84.7,82.9,82.1
Annual,Percentage,Total,Total,0.0,CY,67.5,68.0,67.9,66.8,72.6,70.6,71.1,69.4,68.5,67.5,59.9,66.8
Annual,Percentage,Total,Total,0.0,CZ,85.8,85.9,87.5,87.9,88.5,88.6,89.3,89.9,90.3,91.2,91.2,89.6
Annual,Percentage,Total,Total,0.0,DE,82.9,83.1,83.4,84.2,84.8,84.7,84.6,85.0,84.0,85.3,: u,88.6 u
Annual,Percentage,Total,Total,0.0,DK,88.4,78.4 b,78.5,79.7,80.9,80.5,80.6,81.1,79.5,81.5,79.0,83.6
Annual,Percentage,Total,Total,0.0,EA19,79.4,79.9,80.7,79.7,79.7,80.5,80.7,83.3,82.7,83.4,81.7 u,:
Annual,Percentage,Total,Total,0.0,EA20,:,:,:,:,:,:,:,:,:,:,:,80.5
Annual,Percentage,Total,Total,0.0,EE,71.7,72.2,72.0,74.1,76.0,78.8,79.1,79.8,79.7,80.2,83.7,87.7
Annual,Percentage,Total,Total,0.0,EL,78.3,80.0,80.7,81.8,83.1,82.5,82.5,84.1,84.0,84.5,84.5,82.1
