Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: never,Percentage of individuals,All individuals,Albania,:,:,:,:,:,32.7,26.63,21.22,16.27,12.15,11.36,:
Annual,Internet use: never,Percentage of individuals,All individuals,Austria,15.93,15.12,13.43,12.99,9.63,9.9,9.94,7.99,5.92,4.84,3.66,3.84
Annual,Internet use: never,Percentage of individuals,All individuals,Bosnia and Herzegovina,:,:,:,:,:,24.22,26.18,23.1,20.31,:,14.28,12.01
Annual,Internet use: never,Percentage of individuals,All individuals,Belgium,15.12,12.92,12.64,11.23,9.84,8.62,6.94,5.86,4.55,3.7,3.24,2.81
Annual,Internet use: never,Percentage of individuals,All individuals,Bulgaria,40.59,37.07,34.72,33.32,30.29,26.68,24.49,20.89,17.02,12.76,11.82,9.32
Annual,Internet use: never,Percentage of individuals,All individuals,Switzerland,:,8.27,:,:,4.35 b,:,2.55,:,1.42,:,0.65,:
Annual,Internet use: never,Percentage of individuals,All individuals,Cyprus,32.49,27.97,26.0,23.2,17.79,14.7,13.41,8.85,8.72,8.15,8.41,5.17
Annual,Internet use: never,Percentage of individuals,All individuals,Czechia,17.4,15.69,13.37,13.15,11.13,9.72,9.28,7.92,7.25,5.73,5.17,4.16
Annual,Internet use: never,Percentage of individuals,All individuals,Germany,12.99,11.0,9.68,7.99,7.37,5.22,4.65,4.12,6.19 b,5.52,5.06,4.44
Annual,Internet use: never,Percentage of individuals,All individuals,Denmark,3.54,2.62,2.79,2.44,2.03,1.67,1.86,0.91,0.69,1.48,0.53,:
Annual,Internet use: never,Percentage of individuals,All individuals,Estonia,16.41,12.37 b,9.05,9.97,9.33,8.33,7.25,8.57,6.52,6.12,5.22,5.35
Annual,Internet use: never,Percentage of individuals,All individuals,Greece,36.3,32.91,29.98,28.42,28.33,25.04,22.15,19.89,19.86,13.97,12.62,11.09
Annual,Internet use: never,Percentage of individuals,All individuals,Spain,24.36,21.43,19.03,17.32,14.01,12.75,8.37,6.03,4.86,4.47,3.37,2.98
Annual,Internet use: never,Percentage of individuals,All individuals,European Union - 27 countries (from 2020),22.21,19.85,17.81,15.88,14.25,12.26,10.37,8.81 e,7.70 b,7.0,5.97,4.89
Annual,Internet use: never,Percentage of individuals,All individuals,Finland,6.12,5.52,5.47,4.34,5.06,4.44,3.22,1.62,2.01,1.9,1.49,1.15
Annual,Internet use: never,Percentage of individuals,All individuals,France,13.98,12.11,10.77,9.8,9.97,7.78,6.68,:,4.85,5.88,4.22,3.38
Annual,Internet use: never,Percentage of individuals,All individuals,Croatia,28.57,27.72,26.25,23.44,28.38,21.37,18.31,17.2,14.91,13.41,13.65,13.54
Annual,Internet use: never,Percentage of individuals,All individuals,Hungary,24.39,22.09,21.17,18.87,17.04,16.13,14.25,12.46,9.93,9.54,7.46,5.33
Annual,Internet use: never,Percentage of individuals,All individuals,Ireland,17.61,16.26,16.47,14.87,15.85,15.5,8.65,5.75,0.07 b,6.93,6.21,1.14
Annual,Internet use: never,Percentage of individuals,All individuals,Iceland,2.79,1.36,:,:,1.15,0.6,0.43,0.47,0.31,:,:,:
