Time frequency,Unit of measure,Country of cabotage\Time,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Andorra,:,:,:,:,:,241.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Albania,: u,: u,: u,:,: u,:,:,775.0,: u,: u,56.0,106.0,540.0,2407.0,12.0,15.0,8.0,:,: u,: u,:,499.0,: u,31.0,: u
Annual,Thousand tonnes,Armenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:
Annual,Thousand tonnes,Austria,1085.0,1469.0,1824.0,2401.0,1806.0,3706.0,3834.0,3967.0,5669.0,7984.0,3851.0,2594.0,3621.0,3674.0,5717.0,5508.0,6034.0,5145.0,5270.0,6515.0,6107.0,6201.0,5741.0,6727.0,6248.0
Annual,Thousand tonnes,Azerbaijan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Bosnia and Herzegovina,: u,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u,:,: u,: u,: u
Annual,Thousand tonnes,Belgium,4630.0,4333.0,5484.0,4665.0,6047.0,6975.0,7055.0,8246.0,8162.0,9886.0,9828.0,15348.0,13063.0,11588.0,14501.0,13994.0,15100.0,18081.0,18998.0,17806.0,19202.0,17897.0,17044.0,17397.0,18609.0
Annual,Thousand tonnes,Bulgaria,9.0,: u,7.0,: u,18.0,30.0,: u,1028.0,157.0,: u,61.0,: u,602.0,24.0,59.0,37.0,57.0,51.0,28.0,33.0,56.0,76.0,58.0,98.0,210.0
Annual,Thousand tonnes,Belarus,: u,: u,: u,:,: u,205.0,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,101.0,176.0,: u
Annual,Thousand tonnes,Congo,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,29.0,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Switzerland,493.0,395.0,516.0,431.0,501.0,512.0,436.0,807.0,618.0,715.0,638.0,796.0,603.0,965.0,734.0,792.0,799.0,837.0,970.0,823.0,1338.0,936.0,993.0,1054.0,876.0
Annual,Thousand tonnes,Costa Rica,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,:
Annual,Thousand tonnes,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,659.0,:,: u
Annual,Thousand tonnes,Czechia,114.0,294.0,206.0,256.0,363.0,326.0,421.0,466.0,978.0,1745.0,478.0,764.0,577.0,886.0,504.0,509.0,2267.0,1226.0,1091.0,1246.0,2154.0,2087.0,1510.0,2336.0,1863.0
Annual,Thousand tonnes,Germany,11406.0,11638.0,12308.0,11984.0,12662.0,14791.0,15622.0,14528.0,16369.0,17611.0,18134.0,21396.0,24422.0,29339.0,36922.0,39918.0,41480.0,49603.0,60034.0,58600.0,68764.0,77124.0,84058.0,75188.0,81715.0
Annual,Thousand tonnes,Denmark,225.0,285.0,523.0,519.0,718.0,1113.0,1280.0,1392.0,2452.0,2302.0,1804.0,2507.0,2146.0,1934.0,2025.0,2081.0,2432.0,2100.0,2407.0,2341.0,1818.0,2473.0,2242.0,2029.0,2049.0
Annual,Thousand tonnes,Algeria,:,:,:,:,:,:,:,:,:,390.0,:,:,:,:,:,:,: u,:,:,:,:,:,:,: u,:
Annual,Thousand tonnes,Estonia,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,40.0,84.0,39.0,85.0,: u,: u,256.0,149.0,97.0,261.0,190.0,493.0,254.0,505.0,316.0
Annual,Thousand tonnes,Western Sahara,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Greece,35.0,366.0,325.0,289.0,144.0,189.0,246.0,481.0,435.0,562.0,536.0,665.0,826.0,306.0,463.0,625.0,337.0,568.0,456.0,291.0,342.0,369.0,396.0,492.0,375.0
Annual,Thousand tonnes,Spain,1713.0,1260.0,1735.0,2534.0,2172.0,5153.0,4984.0,7484.0,8589.0,4414.0,2263.0,2079.0,1972.0,1863.0,2239.0,2790.0,3348.0,3494.0,4316.0,4033.0,5502.0,4579.0,5131.0,4581.0,4142.0
Annual,Thousand tonnes,Finland,2.0,14.0,118.0,14.0,97.0,40.0,109.0,102.0,206.0,145.0,278.0,322.0,229.0,390.0,281.0,368.0,392.0,298.0,344.0,310.0,450.0,412.0,269.0,409.0,391.0
Annual,Thousand tonnes,France,4412.0,7247.0,8225.0,9363.0,11845.0,15211.0,18033.0,16190.0,19666.0,21512.0,19747.0,19278.0,17225.0,17023.0,20008.0,19524.0,21808.0,25306.0,28523.0,27367.0,30740.0,30612.0,33140.0,30128.0,29608.0
Annual,Thousand tonnes,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,:,:,:,: u,: u
Annual,Thousand tonnes,Gibraltar,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,: u,: u,:,267.0,: u,:,:
Annual,Thousand tonnes,Croatia,: u,1.0,131.0,40.0,35.0,: u,40.0,32.0,: u,31.0,: u,19.0,: u,: u,: u,: u,48.0,297.0,55.0,81.0,291.0,763.0,1132.0,418.0,319.0
Annual,Thousand tonnes,Hungary,57.0,69.0,87.0,132.0,152.0,189.0,1640.0,184.0,65.0,283.0,592.0,130.0,257.0,593.0,208.0,475.0,269.0,370.0,340.0,539.0,761.0,437.0,642.0,569.0,770.0
Annual,Thousand tonnes,Ireland,32.0,162.0,55.0,69.0,47.0,1332.0,1555.0,2014.0,1607.0,2011.0,948.0,1702.0,1375.0,1227.0,2293.0,1510.0,2084.0,1793.0,1866.0,1742.0,1835.0,718.0,86.0,70.0,68.0
Annual,Thousand tonnes,Iraq,:,:,:,:,:,:,:,:,:,:,:,:,:,21.0,11.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Italy,3566.0,3347.0,4274.0,3168.0,3451.0,3666.0,3941.0,4711.0,4876.0,5092.0,5075.0,5611.0,6625.0,5873.0,7167.0,7876.0,6956.0,8010.0,8919.0,8438.0,9068.0,9897.0,11153.0,11091.0,9792.0
Annual,Thousand tonnes,Kyrgyzstan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:
Annual,Thousand tonnes,Kazakhstan,:,:,:,:,:,: u,: u,: u,:,:,:,:,:,:,: u,: u,: u,: u,:,:,: u,:,: u,: u,: u
Annual,Thousand tonnes,Liechtenstein,: u,: u,:,: u,: u,: u,:,:,:,3.0,26.0,14.0,: u,63.0,16.0,440.0,: u,6.0,38.0,43.0,25.0,: u,: u,: u,: u
Annual,Thousand tonnes,Lithuania,: u,: u,:,: u,: u,16.0,: u,23.0,: u,32.0,71.0,44.0,52.0,76.0,277.0,127.0,410.0,152.0,283.0,2068.0,921.0,242.0,813.0,570.0,306.0
Annual,Thousand tonnes,Luxembourg,442.0,139.0,374.0,313.0,290.0,353.0,758.0,615.0,568.0,601.0,624.0,420.0,479.0,155.0,502.0,354.0,809.0,557.0,916.0,487.0,291.0,508.0,748.0,325.0,310.0
Annual,Thousand tonnes,Latvia,: u,: u,: u,: u,43.0,: u,: u,29.0,18.0,63.0,34.0,103.0,110.0,35.0,72.0,122.0,143.0,198.0,80.0,536.0,214.0,82.0,212.0,360.0,428.0
Annual,Thousand tonnes,Morocco,: u,125.0,: u,:,18.0,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u,: u,: u,:,:,:,:
Annual,Thousand tonnes,Monaco,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Moldova,: u,:,:,:,:,: u,: u,:,:,:,: u,:,: u,: u,245.0,159.0,46.0,:,: u,: u,: u,: u,: u,69.0,: u
Annual,Thousand tonnes,North Macedonia,: u,: u,: u,:,: u,:,:,1579.0,:,107.0,:,:,: u,:,: u,13.0,:,:,: u,: u,:,: u,:,:,:
Annual,Thousand tonnes,Malta,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:
Annual,Thousand tonnes,Netherlands,1428.0,2778.0,2630.0,2217.0,1967.0,2222.0,2395.0,2973.0,3917.0,3812.0,3265.0,4931.0,4627.0,4634.0,4648.0,5692.0,5339.0,7132.0,7478.0,6819.0,8326.0,8370.0,7826.0,8145.0,8296.0
Annual,Thousand tonnes,Norway,37.0,105.0,186.0,157.0,246.0,290.0,198.0,495.0,543.0,543.0,379.0,452.0,630.0,656.0,1129.0,1200.0,1136.0,1530.0,1515.0,1254.0,1442.0,1076.0,1816.0,984.0,1213.0
Annual,Thousand tonnes,Poland,162.0,147.0,86.0,128.0,81.0,235.0,149.0,124.0,399.0,226.0,249.0,451.0,1659.0,1256.0,723.0,344.0,544.0,612.0,517.0,514.0,551.0,537.0,558.0,705.0,776.0
Annual,Thousand tonnes,Portugal,167.0,106.0,92.0,555.0,90.0,413.0,1089.0,142.0,172.0,23.0,255.0,766.0,164.0,665.0,247.0,319.0,732.0,458.0,297.0,858.0,551.0,728.0,1131.0,787.0,613.0
Annual,Thousand tonnes,Romania,49.0,52.0,58.0,44.0,197.0,83.0,147.0,96.0,91.0,596.0,543.0,230.0,152.0,257.0,193.0,152.0,260.0,251.0,419.0,228.0,246.0,168.0,696.0,207.0,231.0
Annual,Thousand tonnes,Serbia,:,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,627.0,57.0,42.0,29.0,24.0,25.0,46.0,11.0,230.0,51.0,97.0,62.0
Annual,Thousand tonnes,Serbia and Montenegro,: u,: u,22.0,52.0,: u,16.0,: u,: u,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Russia,11.0,3.0,28.0,34.0,56.0,224.0,337.0,329.0,290.0,226.0,208.0,249.0,700.0,693.0,466.0,477.0,485.0,448.0,303.0,551.0,584.0,395.0,809.0,193.0,144.0
Annual,Thousand tonnes,Sweden,708.0,631.0,647.0,678.0,875.0,1077.0,2148.0,1976.0,2717.0,3929.0,2555.0,4239.0,4421.0,3523.0,4013.0,4687.0,5329.0,6858.0,5555.0,5646.0,6709.0,6341.0,6967.0,4992.0,3792.0
Annual,Thousand tonnes,Slovenia,11.0,16.0,28.0,12.0,9.0,15.0,71.0,: u,24.0,61.0,41.0,: u,41.0,224.0,38.0,227.0,125.0,81.0,230.0,270.0,200.0,140.0,169.0,78.0,173.0
Annual,Thousand tonnes,Slovakia,6.0,3.0,167.0,130.0,32.0,35.0,718.0,441.0,339.0,759.0,298.0,480.0,886.0,788.0,562.0,719.0,956.0,958.0,998.0,574.0,688.0,540.0,440.0,547.0,559.0
Annual,Thousand tonnes,San Marino,: u,:,:,: u,:,:,: u,: u,: u,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,:,: u
Annual,Thousand tonnes,Syria,:,:,:,:,:,:,:,:,:,8.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Tunisia,: u,:,: u,:,:,: u,:,:,:,:,:,:,:,: u,:,:,:,: u,:,:,:,:,:,:,:
Annual,Thousand tonnes,Türkiye,25.0,16.0,19.0,17.0,89.0,24.0,84.0,56.0,47.0,: u,: u,: u,: u,90.0,144.0,138.0,242.0,264.0,299.0,270.0,270.0,229.0,141.0,337.0,180.0
Annual,Thousand tonnes,Ukraine,: u,1.0,: u,: u,4.0,56.0,70.0,56.0,: u,45.0,93.0,111.0,106.0,: u,173.0,60.0,86.0,59.0,: u,38.0,185.0,69.0,143.0,52.0,67.0
Annual,Thousand tonnes,United Kingdom,3806.0,8697.0,8175.0,8969.0,8716.0,9213.0,8532.0,8584.0,7601.0,7902.0,5453.0,5554.0,4515.0,4726.0,5117.0,6835.0,7580.0,7584.0,6609.0,4842.0,5872.0,5944.0,6218.0,5786.0,4889.0
Annual,Thousand tonnes,Unknown,23.0,119.0,: u,32.0,: u,: u,: u,: u,: u,13.0,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,42.0
Annual,Thousand tonnes,Uzbekistan,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,:,:,:,:,:,: u,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Andorra,:,:,:,:,:,2413.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonne-kilometre (TKM),Albania,: u,: u,: u,:,: u,:,:,7752.0,: u,: u,562.0,1831.0,11062.0,4937.0,338.0,1843.0,39.0,:,: u,: u,:,1018.0,: u,2008.0,: u
