Time frequency,Unit of measure,Hazard class,Waste management operations,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand tonnes,Non-hazardous,Composting,Algeria,:,:,:,:,:,:,:,:,:,48.8 de,51.8 de,54.9 de,59.5 de,60.0 de
Annual,Thousand tonnes,Non-hazardous,Composting,Egypt,:,:,:,:,:,821.6,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Composting,Israel,:,:,:,:,:,:,:,185.6,525.8 d,521.4 d,600.4 d,696.8 d,791.8 d,891.6 d
Annual,Thousand tonnes,Non-hazardous,Composting,Lebanon,:,:,:,:,:,141.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Composting,Morocco,:,:,:,:,:,:,:,67.6,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Algeria,:,:,:,:,:,:,:,:,:,4816.8,5182.2,5493.6 de,5954.2 de,6000.0
Annual,Thousand tonnes,Non-hazardous,Waste collected,Egypt,:,:,:,:,:,3665.2 d,6172.0 d,8658.6 d,6843.6 d,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Israel,4085.9,4226.5,4304.0,4433.9,4550.8,4623.2,4745.9,4837.5,4861.9,4955.3,5081.7,5261.4,5438.9,5658.2
Annual,Thousand tonnes,Non-hazardous,Waste collected,Jordan,2358.9,2309.5,2207.0,2111.0,1922.0,2069.0,2025.0,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Lebanon,1474.0,:,:,:,:,1570.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Morocco,:,:,:,:,:,5000.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Palestine*,1119.0 e,1147.4 e,1164.8 e,1180.9 e,1224.7 e,1268.7 e,1350.6 e,1391.6 e,1417.8 e,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Waste collected,Tunisia,1333.1 e,1350.4 e,1367.6 e,1385.6 e,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Recycling,Algeria,:,:,:,:,:,:,:,:,:,481.7 e,518.2 e,549.4 de,595.4 de,600.0 de
Annual,Thousand tonnes,Non-hazardous,Recycling,Egypt,:,:,:,:,:,2464.8,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Recycling,Israel,:,:,:,576.4,591.6,508.3,617.0,670.1,353.6,379.9,368.3,375.7,428.5,455.6
Annual,Thousand tonnes,Non-hazardous,Recycling,Lebanon,:,:,:,:,:,126.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Recycling,Morocco,:,:,:,:,:,500.0,500.0,:,:,:,:,:,:,:
Annual,Thousand tonnes,Non-hazardous,Recycling,Palestine*,11.2 e,11.5 e,11.6 e,11.8 e,12.2 e,12.7 e,13.5 e,13.9 e,14.2 e,:,:,:,:,:
