Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Total,Ireland,32.4,30.8,48.1
Annual,Percentage,From 15 to 24 years,Total,Italy,14.9,27.2,26.9
Annual,Percentage,From 15 to 24 years,Total,Lithuania,23.0,24.4,25.2
Annual,Percentage,From 15 to 24 years,Total,Luxembourg,24.1 u,30.6,63.9
Annual,Percentage,From 15 to 24 years,Total,Latvia,18.5,42.8,38.3
Annual,Percentage,From 15 to 24 years,Total,Malta,28.7,40.2,36.8
Annual,Percentage,From 15 to 24 years,Total,Netherlands,24.2,41.7,36.4
Annual,Percentage,From 15 to 24 years,Total,Poland,21.7,28.2,21.4
Annual,Percentage,From 15 to 24 years,Total,Portugal,11.5,36.7,26.3
Annual,Percentage,From 15 to 24 years,Total,Romania,4.5,17.4,28.8
Annual,Percentage,From 15 to 24 years,Total,Sweden,29.0,36.7,26.0
Annual,Percentage,From 15 to 24 years,Total,Slovenia,20.6,40.6,25.3
Annual,Percentage,From 15 to 24 years,Total,Slovakia,28.3,29.8,52.9
Annual,Percentage,From 15 to 24 years,Total,United Kingdom,34.0,41.4,48.7
Annual,Percentage,From 15 to 64 years,Females,Austria,38.9,42.0,40.2
Annual,Percentage,From 15 to 64 years,Females,Belgium,40.3,39.6,50.1
Annual,Percentage,From 15 to 64 years,Females,Bulgaria,8.3,10.8,15.6
Annual,Percentage,From 15 to 64 years,Females,Cyprus,22.6,25.2,26.2
Annual,Percentage,From 15 to 64 years,Females,Czechia,25.0,46.4,53.4
Annual,Percentage,From 15 to 64 years,Females,Germany,25.7,34.9,41.1
Annual,Percentage,From 15 to 64 years,Females,Denmark,41.2,43.9,39.5
Annual,Percentage,From 15 to 64 years,Females,Estonia,36.2,42.2,55.0
Annual,Percentage,From 15 to 64 years,Females,Greece,10.0,14.6,9.6
Annual,Percentage,From 15 to 64 years,Females,Spain,21.6,27.3,31.7
Annual,Percentage,From 15 to 64 years,Females,European Union - 27 countries (from 2020),25.0,31.2,37.1
Annual,Percentage,From 15 to 64 years,Females,European Union - 28 countries (2013-2020),27.3,33.3,39.8
Annual,Percentage,From 15 to 64 years,Females,Finland,58.0,55.3,57.6
Annual,Percentage,From 15 to 64 years,Females,France,25.8,23.5,38.7
Annual,Percentage,From 15 to 64 years,Females,Croatia,22.1,19.7,26.1
Annual,Percentage,From 15 to 64 years,Females,Hungary,17.4,28.3,29.2
Annual,Percentage,From 15 to 64 years,Females,Ireland,37.5,40.2,49.3
Annual,Percentage,From 15 to 64 years,Females,Italy,16.6,24.9,29.3
Annual,Percentage,From 15 to 64 years,Females,Lithuania,27.6,27.4,39.2
Annual,Percentage,From 15 to 64 years,Females,Luxembourg,35.0,38.2,48.3
Annual,Percentage,From 15 to 64 years,Females,Latvia,27.0,36.9,37.3
Annual,Percentage,From 15 to 64 years,Females,Malta,34.5,34.5,42.9
Annual,Percentage,From 15 to 64 years,Females,Netherlands,29.7,48.2,53.4
Annual,Percentage,From 15 to 64 years,Females,Poland,25.3,32.8,39.7
Annual,Percentage,From 15 to 64 years,Females,Portugal,12.3,25.5,25.9
Annual,Percentage,From 15 to 64 years,Females,Romania,11.8,19.5,19.7
Annual,Percentage,From 15 to 64 years,Females,Sweden,54.7,48.2,43.6
Annual,Percentage,From 15 to 64 years,Females,Slovenia,39.8,47.6,43.7
Annual,Percentage,From 15 to 64 years,Females,Slovakia,33.1,35.5,40.0
Annual,Percentage,From 15 to 64 years,Females,United Kingdom,41.4,46.7,56.7
Annual,Percentage,From 15 to 64 years,Males,Austria,36.3,41.0,47.4
Annual,Percentage,From 15 to 64 years,Males,Belgium,41.5,34.3,45.6
Annual,Percentage,From 15 to 64 years,Males,Bulgaria,7.1,8.4,16.1
Annual,Percentage,From 15 to 64 years,Males,Cyprus,17.8,30.1,19.8
