Time frequency,Working time,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Age class,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Modalities of the variable for the ad-hoc module,Sex,Geopolitical entity (reporting)\Time,2004.0,2010.0
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Austria,36.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Belgium,30.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Bulgaria,8.60 u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Czechia,18.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Germany,49.5,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Greece,15.3,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Spain,15.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Finland,46.9,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Hungary,14.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Ireland,17.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Italy,30.1,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Lithuania,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Luxembourg,35.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Latvia,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Malta,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Netherlands,26.8,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Poland,13.9,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Portugal,17.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Sweden,62.5,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Slovenia,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,Slovakia,18.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Females,United Kingdom,30.6,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Austria,37.6,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Belgium,33.1,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Bulgaria,12.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Czechia,23.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Germany,54.7,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Greece,14.9,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Spain,15.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Finland,53.6,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Hungary,20.1,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Ireland,22.8,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Italy,35.0,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Lithuania,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Luxembourg,39.2,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Latvia,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Malta,: u,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Netherlands,35.1,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Poland,20.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Portugal,22.4,:
Annual,Total,Total - all NACE activities,Percentage,From 15 to 64 years,Total,Any other type of working schedule,Males,Sweden,59.9,:
