Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,"Chain linked volumes, percentage change on previous period",Algeria,5.9 d,1.7 d,3.4 d,2.4 d,1.6 d,3.6 d,2.9 d,3.4 d,2.8 d,3.8 d,3.7 d,3.2 d,1.3 d,1.1,1.0,-5.1,3.4,:,:
Annual,"Chain linked volumes, percentage change on previous period",Egypt,4.5 d,6.8 d,:,7.2 d,4.7 d,5.1 d,1.8 d,:,2.2 d,2.9 d,4.4 d,4.3 d,4.2 d,:,:,:,:,:,:
Annual,"Chain linked volumes, percentage change on previous period",Israel,4.2,5.6,6.0,3.3,1.1,5.6,5.6,2.5,4.2,3.9,2.3,4.4,4.3,4.1,3.8,-1.5,9.3,6.5,:
Annual,"Chain linked volumes, percentage change on previous period",Jordan,8.1 de,8.1 de,8.2 de,162.0 e,5.0 e,2.3 e,2.7 e,2.4 e,2.6 e,3.4 e,2.5 e,2.0 e,2.5,1.9,1.8,-1.1,3.7,:,:
Annual,"Chain linked volumes, percentage change on previous period",Lebanon,2.7,1.5,9.3,9.1,10.2,8.0,0.9,2.5,3.8,2.5,0.5,1.6,0.9,-1.9,-6.9,-25.9,:,:,:
Annual,"Chain linked volumes, percentage change on previous period",Libya,:,5.2,7.2,0.5,-5.1,5.0,-46.5,83.3,-16.9,-22.2,-4.0,-2.7,28.5,8.2,-11.9,:,:,:,:
Annual,"Chain linked volumes, percentage change on previous period",Morocco,:,:,:,:,:,:,:,:,:,:,4.3,0.5,5.1,3.1,2.9,-7.2,8.0,1.3,:
Annual,"Chain linked volumes, percentage change on previous period",Palestine*,:,-1.0 de,3.8 de,7.4 de,8.6 de,5.8 de,9.6 de,6.1 de,4.7 de,-0.2 de,3.7 de,8.9 de,1.4 de,1.2 d,1.4,-11.3,7.0,4.1,2.1 f
Annual,"Chain linked volumes, percentage change on previous period",Tunisia,5.6 d,4.6 d,5.7 d,4.5 d,3.1 d,3.0 d,-1.9 d,3.9 d,2.3 d,2.3 d,:,1.1,2.2,2.6,1.5 d,-8.6,4.3 p,:,:
Annual,"Current prices, million euro",Algeria,82809.5 d,93196.1 d,98457.2 d,116416.8 d,98309.8 d,121601.0 d,143692.0 d,158662.7 d,157915.0 d,160941.0 d,149598.0 d,144538.1,150630.3,147478.5,153588.8,127647.3,138171.3,:,:
Annual,"Current prices, million euro",Egypt,74901.5 di,85808.8 di,96434.7 di,112075.9 di,134763.6 di,161894.3 di,166023.0 di,215234.3 di,203891.1 di,226533.0 di,286390.6 di,244153.5 di,172732.0 di,:,:,:,:,:,:
Annual,"Current prices, million euro",Israel,118243.9,126468.5,134447.3,150488.1,152771.5,180356.7,192204.6,204596.6,224052.5,236703.4,272723.5,290074.0,316613.8,317299.7,356838.9,361263.2,413688.1,498729.2,:
Annual,"Current prices, million euro",Jordan,11692.2 de,13984.7 de,15892.1 de,21065.0 de,22822.7 de,25237.2 de,27460.4 de,29423.3 de,32046.1 de,34272.0 de,35889.8 de,37104.1 de,38700.0,40339.2,41392.2,40645.7,43060.0,:,:
Annual,"Current prices, million euro",Lebanon,17336.6 de,17478.3 de,18122.2 de,19808.8 de,25467.3 de,28905.2 de,28724.6 de,34121.6 de,35248.2 de,36161.8 de,44981.4 de,46078.7 de,46927.2 de,46526.7 de,47498.0 de,21646.3 de,:,:,:
Annual,"Current prices, million euro",Libya,:,47861.0,49641.0,58954.8,43596.6,56861.1,34604.3,72027.5,56736.0,43185.8,43909.4,45091.8,59447.2,64933.1,61678.7,:,:,:,:
Annual,"Current prices, million euro",Morocco,:,:,:,:,:,:,:,:,:,89872.9 d,99632.1 d,100852.4 d,105104.3 d,107815.0 d,115162.2 d,106484.1 d,119872.8 d,124465.1,:
