Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Austria,18.5,16.8
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Belgium,8.1,9.3
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Bulgaria,20.8,9.1
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Switzerland,16.0,18.8
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Cyprus,2.9,1.6
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Czechia,14.3,13.5
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Germany,14.2,: u
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Denmark,19.4,20.5
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Estonia,24.4,21.3
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Greece,8.8,7.7
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Spain,8.5,12.6
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),12.8,:
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Finland,13.8,15.2
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,France,10.7,15.7
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Croatia,11.7,9.6
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Hungary,18.0,13.4
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Ireland,12.5 u,16.4
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Iceland,14.3,:
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Italy,8.0,8.9
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Lithuania,23.3,18.9
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Luxembourg,11.2,12.0
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Latvia,21.3,21.8
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Malta,6.3,9.1
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Netherlands,11.5,12.5
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Norway,14.5,15.3
Annual,Once a month,Family and relatives,Total,Total,Total,Percentage,Poland,23.3 u,18.3
