Time frequency,Unit of measure,Transport infrastructure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Kilometre,Electrified railway tracks,Albania,0.0,1.0,2.0,0.0,0.0,0.0,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Kilometre,Electrified railway tracks,Austria,:,:,:,:,:,:,:,:,:,:,:,:,7241 i,7220 i,7419 i,7113 i,7263 i,:,:,7612 i,7918 i,7915 i,8036 i,8041 i,8048 i,8066 i,8087 i,8107 i,7756 i,7773 i,7773 i,:,:,:
Annual,Kilometre,Electrified railway tracks,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,803 i,803 i,803 i,803 i,771 i,771 i,771 i,771 i,771 i,771 i,905 i,906 i,906 i,1091.0,1091.0,1091.0,1025.0,1058.0,1058.0,1058.0,1058.0,1058.0,1058.0,1066.0
Annual,Kilometre,Electrified railway tracks,Belgium,:,:,:,4606.0,4606.0,4624.0,4789.0,4855.0,4740.0,4791.0,4987.0,5023.0,5152.0,5161.0,5483.0,5444.0,5462.0,5454.0,5601.0,5661.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Electrified railway tracks,Bulgaria,3754.0,3754.0,3762.0,3759.0,3714.0,3727.0,3796.0,3845.0,3842.0,3839.0,3867.0,3928.5,3920.2,3912.9,3894.3,3910.0,3942.0,3880.0,3866.0,3847.0,3795.0,3813.0,3812.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Electrified railway tracks,Czechia,:,:,:,6723.0,6547.0,6547.0,6651.0,6733.0,6733.0,6760.0,6082.0,6253.0,6526.0,6473.0,6462.0,6426.0,6589.0,6602.0,6645.0,6703.0,6815.0,6895.0,6903.0,6926.0,6915.0,6939.0,6939.0,6955.0,6908.0,6932.0,6917.0,6897.0,6922.0,6967.0
Annual,Kilometre,Electrified railway tracks,Germany,:,42142.0,42189.0,42562.0,:,43494.0,43494.0,44117.0,45754.0,45300.0,44308.67,45725.4,45042.0,42675 b,43351.0,43123.0,43123.0,43123.0,43123.0,43123.0,43318 i,41681 i,41702 i,41423.245 i,42130.245 i,41927.436 i,42113.513 i,42348.641 i,42527.450 i,42644.180 i,42819.751,43355.250 i,43355.651 i,42811.0
Annual,Kilometre,Electrified railway tracks,Denmark,:,:,730.0,740.0,740.0,:,:,584.0,617.0,612.0,624.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Kilometre,Electrified railway tracks,Estonia,:,:,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.2,264.2,264.2,263.0,263.0,131.0,131.0,131.0,132.0,130.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,138.0,138.0,225.0,233.0,233.0
Annual,Kilometre,Electrified railway tracks,Greece,0 i,0 i,0 i,0 i,0 i,0 i,0 i,82 i,82 i,82.0,82.0,82.0,82.0,83.0,83.0,83.0,132.0,319.0,449.0,449.0,657.0,797.0,797.0,792.0,881.0,881.0,933.0,957.0,1251.0,1355.0,1355.0,1355.0,1365.0,1301.0
