Time frequency,Life satisfaction,Statistical information,International Standard Classification of Education (ISCED 2011),Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2018.0,2022.0
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Albania,:,5.6,:
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Austria,7.3,7.3,7.4
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Belgium,7.1,7.0,7.2
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Bulgaria,5.7,5.6,5.7
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Switzerland,7.0,7.5,7.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Cyprus,6.7,6.6,6.2
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Czechia,6.7,6.9,6.9
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Germany,6.5,6.7,: u
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Denmark,7.7,7.5,7.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Euro area – 20 countries (from 2023),:,:,6.7 e
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Estonia,6.7,7.0,7.1
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Greece,6.1,5.5,5.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Spain,6.6,6.8,6.6
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),European Union - 27 countries (from 2020),6.7,6.8,6.8 e
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Finland,7.7,7.8,7.7
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),France,6.9,6.9,6.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Croatia,6.6,6.3,6.4
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Hungary,6.3,6.4,6.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Ireland,6.9,7.5,6.9
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Iceland,7.4,7.4,:
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Italy,6.4,6.7,6.7
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Lithuania,6.8,6.1,6.9
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Luxembourg,7.2,7.0,6.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Latvia,7.1,7.0,7.2
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Montenegro,6.4,6.4,5.3
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),North Macedonia,6.4,6.0,:
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Malta,6.6,6.6,6.8
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Netherlands,7.5,7.2,7.3
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Norway,7.2,7.5,7.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Poland,6.8,6.9,6.7
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Portugal,6.5,6.4,7.0
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Romania,6.9,6.8,7.3
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Serbia,6.3,5.8,6.0
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Sweden,7.4,7.3,7.4
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Slovenia,6.8,7.2,7.5
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Slovakia,6.9,6.6,6.6
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Türkiye,5.7,5.5,4.8
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),United Kingdom,6.8,7.1,:
Annual,Time use,Average,All ISCED 2011 levels,Total,16 years or over,Rating (0-10),Kosovo*,:,6.3,:
