Time frequency,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,Juillet-Décembre 2004,Juillet-Décembre 2005,Juillet-Décembre 2006,Juillet-Décembre 2007,Juillet-Décembre 2008,Juillet-Décembre 2009,Juillet-Décembre 2010,Juillet-Décembre 2011,Juillet-Décembre 2012,Juillet-Décembre 2013,Juillet-Décembre 2014,Juillet-Décembre 2015,Juillet-Décembre 2016,Juillet-Décembre 2017,Juillet-Décembre 2018,Juillet-Décembre 2019,Juillet-Décembre 2020,Juillet-Décembre 2021,Juillet-Décembre 2022,Juillet-Décembre 2023,Juillet-Décembre 2024
"Half-yearly, semesterly",Sample,Number,Austria,38543.0,38543.0,37280.0,36847.0,37903.0,37823.0,37494.0,37130.0,44197.0,16489.0,17718.0,17741.0,17714.0,18987.0,18443.0,16863.0,15691.0,14892.0,14142.0,13297.0,12528.0
"Half-yearly, semesterly",Sample,Number,Belgium,62195.0,62045.0,62045.0,26851.0,28687.0,28263.0,30539.0,30836.0,34697.0,28681.0,31297.0,28425.0,25653.0,23958.0,10719.0,11389.0,14321.0,17615.0,19784.0,23275.0,27749.0
"Half-yearly, semesterly",Sample,Number,Bulgaria,:,:,:,50162.0,36721.0,34909.0,31712.0,31712.0,36980.0,30491.0,34718.0,33536.0,34921.0,35642.0,36218.0,37010.0,35470.0,36068.0,35362.0,35724.0,35211.0
"Half-yearly, semesterly",Sample,Number,Cyprus,10589.0,10468.0,10738.0,11306.0,12181.0,12816.0,12957.0,13549.0,13136.0,9279.0,8656.0,8445.0,8383.0,8264.0,8112.0,8302.0,8415.0,9865.0,10082.0,10194.0,10252.0
"Half-yearly, semesterly",Sample,Number,Czechia,18308.0,19019.0,18732.0,18126.0,17697.0,18042.0,18051.0,16978.0,17011.0,17088.0,16165.0,17058.0,17574.0,17503.0,19495.0,20122.0,20401.0,20389.0,20425.0,20378.0,20333.0
"Half-yearly, semesterly",Sample,Number,Germany,13047.0,12907.0,12792.0,12806.0,12534.0,12600.0,12588.0,12613.0,13280.0,12980.0,12376.0,15437.0,15750.0,16790.0,17042.0,18383.0,19369.0,21298.0,21458.0,22627.0,23004.0
"Half-yearly, semesterly",Sample,Number,Denmark,8137.0,7745.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,7832.0,11155.0,10577.0,11493.0,12197.0,11816.0,12349.0,13802.0,14124.0
"Half-yearly, semesterly",Sample,Number,Estonia,:,:,:,:,:,:,:,8260.0,8260.0,5370.0,6635.0,6934.0,6765.0,6634.0,6508.0,6459.0,6424.0,6333.0,6193.0,5712.0,6301.0
"Half-yearly, semesterly",Sample,Number,Greece,78184.0,77538.0,77321.0,77321.0,76759.0,77716.0,77716.0,73618.0,69993.0,58300.0,66857.0,67947.0,70560.0,70560.0,75905.0,75112.0,74661.0,73242.0,70811.0,72602.0,74151.0
"Half-yearly, semesterly",Sample,Number,Spain,78006.0,81332.0,80327.0,80327.0,57950.0,55704.0,52616.0,44783.0,34897.0,37213.0,36554.0,35461.0,34618.0,32714.0,32533.0,32711.0,33004.0,33764.0,33588.0,33877.0,34590.0
