Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Algeria,:,97.6,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Egypt,:,82.6 d,:,:,:,88.9 d,:,92.4 d,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Israel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Jordan,:,2.1,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Morocco,87.2,85.6,85.7,85.5,88.4,89.3,88.7,89.8,91.3,91.5,92.6,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Palestine*,99.2 de,99.2 de,:,99.6 de,:,99.9 de,99.4 de,100.0 de,99.7 de,:,99.2 de,:,99.2 de,:
Annual,"Proportion of households with sustainable access to improved sanitation, urban (%)",Tunisia,80.1,80.9,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, rural (%)",Algeria,:,86.5,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, rural (%)",Egypt,:,17.1 d,:,:,:,40.0 d,:,42.3 d,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, rural (%)",Israel,99.0,99.0,99.0,99.0,99.0,98.6,98.7,98.7,98.8,98.9,98.9,98.9,99.0,99.0
Annual,"Proportion of households with sustainable access to improved sanitation, rural (%)",Jordan,:,71.2,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, rural (%)",Palestine*,99.5 de,99.2 de,:,98.4 de,:,98.7 de,98.8 de,98.0 de,98.6 de,:,98.8 de,:,99.8 de,:
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Algeria,:,92.7,:,:,:,:,:,:,:,:,:,95.0,95.0,95.0
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Egypt,:,46.6 d,:,:,:,62.1 d,:,64.7 d,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Israel,99.0,99.0,99.0,99.0,99.0,:,:,:,:,:,:,:,:,99.9
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Jordan,:,60.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Lebanon,:,:,:,:,95.2,:,:,97.5,:,:,:,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Morocco,54.0,53.7,54.0,54.4,56.7,58.2,58.4,59.5,60.5,61.9,63.5,:,:,:
Annual,"Proportion of households with sustainable access to improved sanitation, total (%)",Palestine*,99.4 de,99.3 de,:,99.2 de,99.3 de,99.7 de,99.3 de,99.6 de,99.5 de,:,99.2 de,:,99.7 de,:
Annual,"Proportion of households with access to secure tenure, urban (%)",Algeria,:,96.2,:,:,:,:,96.4 d,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, urban (%)",Egypt,82.5 e,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, urban (%)",Jordan,:,65.2,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, urban (%)",Libya,:,:,:,:,98.1,98.1,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, urban (%)",Morocco,66.0,64.6,64.1,65.9,66.4,65.6,65.5,62.9,63.6,63.9,61.4,:,:,:
Annual,"Proportion of households with access to secure tenure, rural (%)",Algeria,:,92.2,:,:,:,:,95.8 d,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, rural (%)",Jordan,:,84.2,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, rural (%)",Libya,:,:,:,:,66.0,66.0,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, rural (%)",Morocco,91.7,88.7,89.4,90.9,88.4,88.8,91.4,92.2,92.1,91.1,91.0,:,:,:
Annual,"Proportion of households with access to secure tenure, total (%)",Algeria,:,94.6,:,:,:,:,96.1 d,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, total (%)",Jordan,:,68.3,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, total (%)",Libya,:,:,:,:,94.4,94.0,:,:,:,:,:,:,:,:
Annual,"Proportion of households with access to secure tenure, total (%)",Morocco,76.1,74.0,73.8,75.0,74.6,74.1,74.8,73.2,73.6,73.2,71.4,:,:,:
