Time frequency,Interest rate,Geopolitical entity (reporting)\Time,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Annual,3-month rate,Austria,:,:,:,:,:,:,:,:,:,:,10.28571,11.38575,8.77529,5.38052,6.57694,6.19904,5.31688,4.34753,4.59347,7.47321,8.53677,9.1009,9.31943,7.22323,5.03548,4.51584,3.33645,3.51542,3.58364 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Belgium,8.0726,5.34205,4.18347,6.59438,10.61808,7.00205,10.34153,7.41918,7.30575,10.93699,14.3306,15.57658,14.24384,10.40822,11.52541,9.54192,8.04123,7.04192,6.73224,8.73047,9.81321,9.39258,9.3835,8.07397,5.58356,4.68838,3.17751,3.44564,3.54268 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,6.24948,6.43604,5.9257,4.40318,3.90014,4.74169,4.24975,3.37244,4.15189,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Germany,9.34362,7.10666,5.65989,12.23605,9.79638,4.92575,4.29481,4.32255,3.72841,6.92082,9.53628,12.33263,8.7434,5.79879,5.9694,5.43384,4.59953,3.98967,4.27926,7.07112,8.43397,9.184,9.46153,7.22786,5.31392,4.47819,3.26702,3.29756,3.51907 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,8.04658,8.61003,13.85989,7.81088,5.67951,5.30992,3.87912,2.92025,2.49555,2.37852,3.16422,4.87696,6.6653,5.92107,1.56748,: m,:,:,:
Annual,3-month rate,Greece,:,:,:,:,:,:,:,:,:,:,:,16.8,18.88,16.61,15.71,17.04,19.77,14.91,15.9,18.66,19.87,22.72,23.52,23.47,24.6,16.35,13.79,12.8,13.97,10.09,7.71 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Spain,:,:,:,:,:,:,:,15.54186,17.63666,15.52792,16.53202,16.17975,16.28984,20.0694,14.88689,12.22477,11.66315,15.83553,11.6371,15.0303,15.15449,13.21962,13.34432,11.67838,8.00534,9.35745,7.51585,5.38148,4.25063 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Finland,:,:,:,:,:,:,:,:,:,:,13.79954,12.69458,13.67203,14.22205,15.79885,12.81129,11.68049,10.02734,9.96959,12.5671,13.98534,13.06934,13.25309,7.76408,5.34573,5.74666,3.62393,3.23071,3.56890 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,France,8.60395,5.97422,5.31066,9.25929,12.98729,7.59912,8.67503,9.06025,7.77581,9.69595,12.02735,15.32542,14.6149,12.46485,11.6947,9.94332,7.70395,8.24773,7.94426,9.40129,10.31715,9.61559,10.34779,8.5697,5.84452,6.5823,3.93391,3.46337,3.55797 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Ireland,:,:,7.05779,12.24838,14.54518,10.89715,11.70268,8.39216,9.87049,16.02471,16.22383,16.66293,17.52712,14.03214,13.23322,12.01422,12.33825,11.0274,8.07727,9.80403,11.36049,10.43781,12.37842,9.25416,5.87315,6.28271,5.42281,6.04852,5.46890 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Italy,5.25753,5.6914,5.18374,6.98403,14.90923,10.41951,15.98486,13.94545,11.50326,11.9594,16.92787,19.31871,19.87907,18.30088,17.27052,15.03367,12.80688,11.39389,11.28626,12.68022,12.32797,12.19707,14.01265,10.18022,8.45312,10.33589,8.68339,6.78142,4.89995 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,13.88677,8.63975,5.93101,3.74359,2.83688,2.68172,2.42833,3.11134,5.10989,6.04454,7.07104,1.80438,1.67408,1.0806,0.51003,0.33793
Annual,3-month rate,Luxembourg,8.0726,5.34205,4.18347,6.59438,10.61808,7.00205,10.34153,7.41918,7.30575,10.93699,14.3306,15.57658,14.24384,10.40822,11.52541,9.54192,8.04123,7.04192,6.73224,8.73047,9.81321,9.39258,9.3835,8.07397,5.58356,4.68838,3.17751,3.44564,3.54268 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.39,8.44,5.4,6.86,4.35,3.84,4.23,3.07,4.38,8.68,8.0,13.09,1.99,0.96,0.89,0.36,:
Annual,3-month rate,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.81356,4.99238,5.07137,5.40822,5.15203,4.89066,4.9291,4.01468,3.28849,2.93836,3.17852,3.49348,4.25889,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Netherlands,6.15014,4.45082,2.74197,7.56764,10.37197,5.32827,7.38339,4.74633,6.9766,9.58822,10.54325,11.77507,8.19937,5.67838,6.07814,6.26627,5.66104,5.36351,4.82044,7.39027,8.6811,9.28334,9.35186,6.84633,5.17589,4.36866,2.98869,3.31778,3.42164 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Portugal,3.96507,4.34216,4.36,4.37868,5.27644,6.76532,8.44,11.14512,15.48808,16.0711,16.33689,16.02249,16.84548,20.94134,22.46,21.00636,15.54778,13.8909,12.96194,13.73312,16.90323,17.66422,16.1809,13.24753,11.10814,9.79058,7.36107,5.72142,4.31329 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,10.31261,8.6363,10.94183,10.87115,8.02658,6.77595,4.66005,4.03403,3.57953,: m,: m,: m,: m,: m,: m,:,:
Annual,3-month rate,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.37734,11.86301,21.80683,21.10279,15.67112,8.57213,7.76589,7.7709,6.17932,4.67658,2.92899,4.32792,4.33548,4.1512,: m,: m,: m,: m,:,:
