Time frequency,Type of consignment,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Other,Million tonne-kilometre (TKM),Belgium,:,:,:,:,:,:,:,:,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Other,Million tonne-kilometre (TKM),Switzerland,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Germany,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Other,Million tonne-kilometre (TKM),Finland,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Croatia,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Ireland,:,:,0.0,0.0,0.0,:,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Italy,:,190.0,129.0,57.0,14.0,9.0,955.0,1520.0,1495.0,: @C,1014.0,981.0,: @C,0.0,: @C,: @C,: @C,0.0,0.0,: @C,0.0
Annual,Other,Million tonne-kilometre (TKM),Lithuania,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Luxembourg,:,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Other,Million tonne-kilometre (TKM),Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Other,Million tonne-kilometre (TKM),North Macedonia,:,:,:,:,:,:,497.0,525.0,479.0,423.0,421.0,411.0,278.0,222.0,277.0,307.0,350.0,342.0,381.0,286.0,146.0
Annual,Other,Million tonne-kilometre (TKM),Poland,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,: @C
Annual,Other,Million tonne-kilometre (TKM),Romania,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: @C,0.0
Annual,Other,Million tonne-kilometre (TKM),Slovenia,:,3.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Slovakia,:,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Other,Million tonne-kilometre (TKM),Türkiye,:,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0
Annual,Other,Thousand tonnes,Belgium,:,:,:,:,:,:,:,:,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
