Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,11.9
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,12.4,15.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,28.5,25.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,24.8,22.7
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,11.6,13.1
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,17.6
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,18.2,17.3
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,26.1,21.0
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,21.1,18.8
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,11.6,10.3
Annual,Percentage,From 1 to 149 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,24.4,:
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,22.5,23.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,:,17.4
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,12.1,13.6
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,14.8,13.0
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,24.2,18.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,23.2,23.7
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,22.7,23.7
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,15.3,15.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,15.6,24.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,16.6,17.9
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),18.4,19.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,26.3,:
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,France,17.2,19.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,13.7,16.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,19.5,18.3
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,:,16.3
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,:,20.5
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,15.8,16.1
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,22.4,20.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,19.4,25.2
Annual,Percentage,From 150 to 299 minutes,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,18.8,17.3
