Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,Albania,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Austria,:,: m,: m,: m,: m,: m,:,:,:,:,:
Annual,Number,Bosnia and Herzegovina,:,:,:,:,:,:,:,0.0,61.0,:,:
Annual,Number,Bulgaria,5.0,20.0,0.0,6.0,31.0,7.0,12.0,15.0,11.0,0.0,:
Annual,Number,Switzerland,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Cyprus,: m,: m,: m,: m,: m,: m,: m,:,:,:,0.0
Annual,Number,Czechia,:,0.0,0.0,:,:,:,:,:,:,:,:
Annual,Number,Denmark,0.0,0.0,0.0,:,:,17.0,4.0,0.0,0.0,16.0,:
Annual,Number,Estonia,0.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Spain,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Ireland,:,:,:,:,:,:,: m,:,:,:,:
Annual,Number,Iceland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Latvia,3.0,12.0,0.0,0.0,0.0,3.0,3.0,9.0,25.0,6.0,4.0
Annual,Number,Moldova,:,:,:,:,:,:,:,:,:,:,0.0
Annual,Number,Montenegro,:,:,:,: m,: m,:,: m,:,:,:,:
Annual,Number,Malta,0.0,: m,: m,: m,: m,: m,: m,:,:,:,:
Annual,Number,Norway,:,:,:,:,:,:,:,:,:,:,: m
Annual,Number,Poland,337.0,:,212.0,81.0,38.0,97.0,130.0,121.0,10.0,97.0,:
Annual,Number,Serbia,:,:,:,:,:,:,:,0.0,:,:,:
Annual,Number,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Slovakia,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:
Annual,Number,Kosovo*,:,:,:,:,:,0.0,0.0,:,: m,:,:
