Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Albania,:,:,:,:,:,:,:,:,:,: d,: d
Annual,Percentage,Austria,:,13.4,13.2,13.1,13.0,12.8,12.7,12.6,12.6,12.9,12.8
Annual,Percentage,Belgium,:,19.2,17.2,17.5,17.1,17.4,17.0,17.1,16.6 bd,16.4,16.7
Annual,Percentage,Bulgaria,:,10.3 e,15.2,10.1 d,9.8,9.7,9.6,9.2,9.0,9.0,9.2
Annual,Percentage,Switzerland,:,13.1,13.1,13.1,12.9,12.9,12.9,12.9,12.9,13.1,13.2
Annual,Percentage,Cyprus,:,10.6,14.6,11.6,12.0,12.7,12.8,13.1,13.4,13.5,13.4
Annual,Percentage,Czechia,:,12.2,: d,: d,: d,: d,11.0,10.9,11.0,11.6,: d
Annual,Percentage,Germany,7.5,12.5,12.6,12.6 d,12.5 d,12.6 d,12.6 d,12.8,12.7 bd,12.8,12.8
Annual,Percentage,Denmark,:,18.0,18.3,20.0,19.6,19.3,19.0,18.8,18.7,19.0,18.8
Annual,Percentage,Estonia,:,13.7,:,11.7 d,11.0 d,10.7 d,10.6 d,10.5 d,10.5 d,10.8 d,10.8
Annual,Percentage,Greece,:,: e,: de,14.4,15.2,15.7,16.3,17.0,17.0,17.7,18.4
Annual,Percentage,Spain,:,11.9,11.9 d,12.1,12.0,12.1,12.2,12.2,12.3,13.0,13.1
Annual,Percentage,European Union - 27 countries (from 2020),:,:,:,12.0 d,11.9 d,12.0 d,12.1 d,12.1 d,12.1 d,12.2,12.2
Annual,Percentage,European Union - 28 countries (2013-2020),:,:,:,12.0 d,12.0 d,12.1 d,12.1 d,12.1 d,:,:,:
Annual,Percentage,Finland,:,19.8,29.1,19.9,19.9,20.0,20.1,19.3,19.2,19.5,20.3
Annual,Percentage,France,:,10.6,10.6 be,10.7 d,10.9 d,11.1 d,11.4 p,11.5 ep,11.6 p,11.7 p,11.9 p
Annual,Percentage,Croatia,:,11.7,17.3,11.8,11.7,11.8,11.8,11.7,11.7,11.9,12.1
Annual,Percentage,Hungary,:,9.5 e,9.0,9.7,9.3,9.3,9.2,8.9,9.0,8.8,9.3
Annual,Percentage,Ireland,:,12.8 d,13.3 d,14.6 d,14.7 d,14.6 d,16.9 d,15.2,14.9,15.7,15.4
Annual,Percentage,Iceland,:,21.4,29.1,20.3,19.4,18.6,17.9,17.2,17.1,18.9,18.5
Annual,Percentage,Italy,:,9.1,12.8,8.9,8.9,9.5,9.8 d,10.1,10.1,10.4,10.6
Annual,Percentage,Liechtenstein,:,11.5,16.4,11.0,10.9,10.3,10.5,10.8,11.2,11.1,10.9
Annual,Percentage,Lithuania,:,15.6,21.5,14.4,14.0,13.7,12.9,12.0,11.4,11.2,11.1
Annual,Percentage,Luxembourg,:,8.0,10.9,7.9,7.8,7.8,7.7,7.4,7.4,7.3,7.3
Annual,Percentage,Latvia,:,13.1,12.5,12.0,12.0,12.2,12.1,12.1,12.0,12.1,12.1
Annual,Percentage,Montenegro,:,:,:,:,: d,: d,12.3,12.1,12.1,12.0,:
Annual,Percentage,North Macedonia,:,10.9,: d,: d,: d,: d,5.4 d,5.2,: d,: d,: d
Annual,Percentage,Malta,:,8.2,8.3,8.3,8.3,8.1,8.2,7.9,7.8,8.1 bd,8.2 p
Annual,Percentage,Netherlands,:,10.2,10.4,15.4,15.3,15.9,15.7,15.8 e,15.9 e,16.2 e,:
Annual,Percentage,Norway,:,15.4,15.5,15.4,15.7,15.8,15.9,15.9,16.0,16.5,16.8
Annual,Percentage,Poland,:,14.5 d,13.5 d,14.1 d,13.7 d,13.3 d,13.0 e,12.7 e,12.4 de,12.4 de,12.7 dep
Annual,Percentage,Portugal,:,12.6,12.2,8.0,7.9,8.1,8.3,8.4,8.3,8.6,8.9 p
Annual,Percentage,Romania,:,10.1,10.6,: d,: d,: d,: d,: d,: d,: d,8.6
Annual,Percentage,Serbia,:,:,:,11.5,11.7,12.0,12.0,12.0,11.9,12.0,12.1
Annual,Percentage,Sweden,:,18.3,25.2,18.3,18.3,19.2,19.4,18.8,19.1,19.8,19.8
Annual,Percentage,Slovenia,:,:,:,12.5 d,12.7 d,12.6 d,12.5,12.3,12.3,12.6,12.8
Annual,Percentage,Slovakia,:,11.0,10.4,9.9,9.4,9.1,8.8,8.6,8.4,8.6,8.8
Annual,Percentage,Türkiye,:,:,:,: d,: d,: d,19.3,19.4,19.4,20.1,20.0
Annual,Percentage,United Kingdom,:,12.8,: d,12.5 d,12.5 d,12.5 d,12.0 d,12.0 d,:,:,:
