Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Or?Ova  - Filiasi,Passenger trains,5602.0
Annual,Number,Otopeni  - Jilava,Goods trains,880.0
Annual,Number,Otopeni  - Jilava,Passenger trains,734.0
Annual,Number,Pa?Cani  - Bacau,Goods trains,1842.0
Annual,Number,Pa?Cani  - Bacau,Passenger trains,6915.0
Annual,Number,Pa?Cani  - Ia?I,Goods trains,741.0
Annual,Number,Pa?Cani  - Ia?I,Passenger trains,10808.0
Annual,Number,Pite?Ti  - Titu,Goods trains,1534.0
Annual,Number,Pite?Ti  - Titu,Passenger trains,2535.0
Annual,Number,Ploiesti Sud  - Brazi,Goods trains,9892.0
Annual,Number,Ploiesti Sud  - Brazi,Passenger trains,10405.0
Annual,Number,Podu Olt (Talmaciu)  - Râmnicu Vâlcea,Goods trains,1545.0
Annual,Number,Podu Olt (Talmaciu)  - Râmnicu Vâlcea,Passenger trains,6499.0
Annual,Number,Predeal  - Brazi,Goods trains,4075.0
Annual,Number,Predeal  - Brazi,Passenger trains,8155.0
Annual,Number,Ro?Iori  - Videle,Goods trains,5758.0
Annual,Number,Ro?Iori  - Videle,Passenger trains,8258.0
Annual,Number,Râmnicu Vâlcea  - Vâlcelele,Goods trains,0.0
Annual,Number,Râmnicu Vâlcea  - Vâlcelele,Passenger trains,0.0
Annual,Number,Satu Mare  - Dej,Goods trains,1146.0
Annual,Number,Satu Mare  - Dej,Passenger trains,2984.0
Annual,Number,Satu Mare  - Oradea,Goods trains,1054.0
Annual,Number,Satu Mare  - Oradea,Passenger trains,4090.0
Annual,Number,Siculeni  - Adjud,Goods trains,1420.0
Annual,Number,Siculeni  - Adjud,Passenger trains,3260.0
Annual,Number,Sighisoara  - Brasov,Goods trains,3428.0
Annual,Number,Sighisoara  - Brasov,Passenger trains,5855.0
Annual,Number,Simeria  - Coslariu,Goods trains,3058.0
Annual,Number,Simeria  - Coslariu,Passenger trains,9951.0
Annual,Number,Simeria  - Livezeni,Goods trains,6698.0
Annual,Number,Simeria  - Livezeni,Passenger trains,4503.0
Annual,Number,Stamora Moravita  - Border Ro/Srb,Goods trains,980.0
Annual,Number,Stamora Moravita  - Border Ro/Srb,Passenger trains,730.0
Annual,Number,Suceava  - Pa?Cani,Goods trains,1598.0
Annual,Number,Suceava  - Pa?Cani,Passenger trains,11005.0
Annual,Number,Timisoara  - Or?Ova,Goods trains,2324.0
Annual,Number,Timisoara  - Or?Ova,Passenger trains,5957.0
Annual,Number,Timisoara - Stamora Moravita,Goods trains,1195.0
Annual,Number,Timisoara - Stamora Moravita,Passenger trains,4575.0
Annual,Number,Titu  - Chitila,Goods trains,2354.0
Annual,Number,Titu  - Chitila,Passenger trains,6555.0
Annual,Number,Târgu Jiu - Filiasi,Goods trains,2058.0
Annual,Number,Târgu Jiu - Filiasi,Passenger trains,3635.0
Annual,Number,Târgu Jiu  - Gura Motrului,Goods trains,4809.0
