Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Hour,Austria,10.2,11.5,6.9
Annual,Industry (except construction),Hour,Belgium,20.5,21.9,15.3
Annual,Industry (except construction),Hour,Bulgaria,4.8,8.6,5.7
Annual,Industry (except construction),Hour,Cyprus,6.5,4.9,2.7
Annual,Industry (except construction),Hour,Czechia,8.7,10.9 b,8.0
Annual,Industry (except construction),Hour,Germany,9.6,10.5,7.3
Annual,Industry (except construction),Hour,Denmark,18.0,8.3,6.1
Annual,Industry (except construction),Hour,Estonia,6.5,21.3,5.4
Annual,Industry (except construction),Hour,Greece,3.4,3.8,3.2
Annual,Industry (except construction),Hour,Spain,10.3,13.2,4.9
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),9.8,10.8,7.9
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),9.4,10.7,:
Annual,Industry (except construction),Hour,Finland,10.3,8.2,5.5
Annual,Industry (except construction),Hour,France,14.9,15.0,11.2
Annual,Industry (except construction),Hour,Croatia,5.5,7.6,5.4
Annual,Industry (except construction),Hour,Hungary,5.8,4.8,3.4 b
Annual,Industry (except construction),Hour,Ireland,:,29.6,9.9
Annual,Industry (except construction),Hour,Italy,6.3,8.8,9.1
Annual,Industry (except construction),Hour,Lithuania,4.6,5.5,5.3
Annual,Industry (except construction),Hour,Luxembourg,21.5,23.1,8.6
Annual,Industry (except construction),Hour,Latvia,3.3,3.6,2.6
Annual,Industry (except construction),Hour,North Macedonia,:,4.3,5.7
Annual,Industry (except construction),Hour,Malta,16.4,18.5,14.1
Annual,Industry (except construction),Hour,Netherlands,15.3,15.8,12.6
Annual,Industry (except construction),Hour,Norway,13.2,10.8,12.7
Annual,Industry (except construction),Hour,Poland,6.9,7.4,6.1
Annual,Industry (except construction),Hour,Portugal,16.2,12.5,9.7
Annual,Industry (except construction),Hour,Romania,7.3,9.4,6.5
Annual,Industry (except construction),Hour,Serbia,:,:,6.3
Annual,Industry (except construction),Hour,Sweden,10.0,10.8 b,8.4 b
Annual,Industry (except construction),Hour,Slovenia,19.1,17.5,10.4
Annual,Industry (except construction),Hour,Slovakia,12.3,10.0,7.2
Annual,Industry (except construction),Hour,United Kingdom,5.6,9.2,:
Annual,Construction,Hour,Austria,7.3,8.0,5.3
Annual,Construction,Hour,Belgium,10.2,11.7,8.6
Annual,Construction,Hour,Bulgaria,5.2,3.4,1.6
Annual,Construction,Hour,Cyprus,2.5,2.5,1.9
Annual,Construction,Hour,Czechia,8.8,14.2 b,10.2
Annual,Construction,Hour,Germany,4.8,6.0,4.9
Annual,Construction,Hour,Denmark,55.0,5.9,3.0
Annual,Construction,Hour,Estonia,9.7,6.3,5.2
Annual,Construction,Hour,Greece,1.1,0.9,0.8
Annual,Construction,Hour,Spain,10.9,11.0,4.6
Annual,Construction,Hour,European Union - 27 countries (from 2020),7.9,7.8,6.3
Annual,Construction,Hour,European Union - 28 countries (2013-2020),8.4,8.8,:
Annual,Construction,Hour,Finland,5.8,7.8,3.6
Annual,Construction,Hour,France,9.1,9.4,8.1
Annual,Construction,Hour,Croatia,4.7,3.5,1.9
