Time frequency,Unit of measure,Information society indicator,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Albania,:,:,:,:,:,48.33,52.13,54.8,60.77,64.07,66.27,:
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Austria,37.45,44.24,45.33,49.02,51.19,53.17,55.55,59.54,57.11,61.47,63.42,64.74
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Bosnia and Herzegovina,:,:,:,:,:,46.09,45.84,50.04,49.65,:,57.74,65.46
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Belgium,46.64,52.43,66.72,69.31,72.02,72.6,75.53,78.90 u,62.78 b,67.84,68.48,72.64
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Bulgaria,37.3,39.57,42.15,45.03,49.95,51.36,52.85,54.74,60.05,63.42,64.2,64.99
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Switzerland,:,42.86,:,:,52.72 b,:,53.26,:,67.10 b,:,69.11,:
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Cyprus,44.33,50.1,54.04,59.97,63.04,68.96,71.72,78.18,78.62,77.91,82.56,86.81
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Czechia,36.3,39.98,40.64,45.05,48.35,55.57 b,58.95,58.97,61.5,64.13,68.13,70.24
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Germany,42.09,42.33,56.96,50.33,50.59,52.7,52.5,54.3,46.60 b,47.73,48.61,58.02
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Denmark,63.6,66.49,64.86,74.37,75.5,78.64,80.76,85.01,85.42,84.73,91.02,90.02
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Estonia,48.82,50.64 b,55.83,57.45,60.31,62.07,65.14,65.2,67.33,66.08,68.49,68.43
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Greece,36.11,40.65,43.91,46.65,49.97,53.03,56.69,59.41,62.05,67.03,68.1,68.67
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Spain,45.92,51.11,50.93,53.79,57.17,58.06,58.61,64.68,64.66,63.22,64.49,64.7
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,European Union - 27 countries (from 2020),40.78,43.61,47.9,49.24,51.8,53.73,54.16,57.26 e,56.84 b,58.11,59.31,64.83
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Finland,51.31,55.56,58.17,61.66,66.01,66.94,66.68,75.07,75.11,75.68,79.22,78.93
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,France,37.75,38.53,37.72,39.85,42.81,41.92,42.32,:,44.83,44.5,44.39,: @C
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Croatia,37.84,40.44,44.6,50.39,47.25,53.93,57.88,57.17,60.89,60.14,62.76,61.0
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Hungary,56.44,60.02,60.75,65.62,64.57,65.32,68.86,73.99,77.24,78.54,81.32,81.01
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Ireland,47.51,50.43,52.55,57.89,58.86,60.13,63.58,60.55,69.06 b,72.07,70.06,74.5
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Iceland,78.88,82.73,:,:,89.46,90.87,91.65,93.82,92.98,:,:,:
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Italy,31.63,36.21,38.05,41.54,43.36,46.48,42.3,48.42,50.19,53.19,53.06,55.96
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Lithuania,43.6,47.02,46.27,50.34,53.55,57.95,60.57,61.45,65.19,67.3,68.45,69.84
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Luxembourg,56.68,60.49,68.28,67.05,68.08,63.76 b,62.51,59.53,61.95,61.78,62.55,67.7
Annual,Percentage of individuals,"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",All individuals,Latvia,54.45,52.74,57.5,57.07 b,59.9,61.47,64.66,67.09,69.76,71.19,73.25,74.14
