Time frequency,Unit of measure,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Algeria,1513.5,1349.1,1498.8,1539.4,1676.6,1757.5,1714.7,1910.6,2135.5,2839.1,3638.1,4529.5,5058.4,5609.9
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Egypt,8157.0,8462.0,10456.0,6816.0,8636.0,13890.0,9500.0,10917.0,9148.0,9504.0,9269.0,5301.0,8066.0,10968.0
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Israel,3687.4,3713.1,4147.3,4206.8,4005.9,4269.1,4387.2,4348.6,4756.7,5180.7,5891.1,6780.9,7597.4,8472.7
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Jordan,:,:,:,:,:,2917.0,1975.0,1780.0,1356.0,1267.0,1633.0,1511.0,1592.0,1501.0
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Lebanon,2414.4,2503.8,2509.6,2681.5,3027.4,3481.6,2565.4,2294.0,2316.7,2594.4,2662.1,2235.3,3017.3,:
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Morocco,1940.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Departures of residents going abroad for all holidays and business (1 night or more),Tunisia,2241.0 e,2301.6 e,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Arrivals of tourists at the border,Algeria,1443.1,1637.6,1743.1,1771.7,1911.5,2070.5,2394.9,2634.1,2732.7,2301.4,1710.0,2039.4,2450.8,2657.1
Annual,Thousand,Arrivals of tourists at the border,Egypt,8608.0,9083.0,11091.0,12835.0,12536.0,14731.0,9845.0,11532.0,9464.0,9878.0,9328.0,5399.0,8292.0,11346.0
Annual,Thousand,Arrivals of tourists at the border,Israel,1902.7 d,1825.2 d,2067.8 d,2572.3 d,2321.4 d,2803.1 d,2820.2 d,2885.9 d,2961.7 d,2926.4 d,2799.4 d,2900.0 d,3613.2 d,4120.9 d
Annual,Thousand,Arrivals of tourists at the border,Jordan,5817.0,6713.0,6529.0,7100.0,7085.0,8078.0,6812.0,6314.0,5389.0,5327.0,4236.0,4565.0,4565.0,4922.0
Annual,Thousand,Arrivals of tourists at the border,Lebanon,3593.8,3088.9,3145.4,4072.6,5344.8,6346.0,5660.9,5613.8,5928.2,5064.7,3562.6,3584.2,4338.0,:
Annual,Thousand,Arrivals of tourists at the border,Libya,81.3,125.5,106.0,42.1,35.7,32.0,:,:,:,:,:,:,:,:
Annual,Thousand,Arrivals of tourists at the border,Tunisia,6378.0 d,6549.0 d,6762.0 d,7049.0 d,6901.4 d,6902.7 d,4785.1 d,5590.4 d,6268.6 d,6068.6 d,4202.0 d,4525.8 d,:,:
