Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Recreation and culture,"Index, 2015=100",Albania,121.25 d,121.41 d,121.72 d,123.26 d,124.34 d,123.84 d,122.92 d,125.36 d,127.68 d,126.69 d,126.04 d,127.72 d
Monthly,Recreation and culture,"Index, 2015=100",Austria,127.35,128.66,129.22,126.23,126.83,128.12,130.14,129.55,127.81,127.7,129.19,132.57
Monthly,Recreation and culture,"Index, 2015=100",Belgium,119.18,121.75,120.86,119.47,120.26,121.33,122.84,122.75,120.63,121.51,119.81,122.31
Monthly,Recreation and culture,"Index, 2015=100",Bulgaria,122.89,122.72,123.15,120.38,120.33,119.92,122.72,123.02,117.38,120.11,120.23,122.36
Monthly,Recreation and culture,"Index, 2015=100",Switzerland,102.62,103.94,103.23,104.1,103.05,103.98,107.46,107.13,104.74,106.0,104.05,104.71
Monthly,Recreation and culture,"Index, 2015=100",Cyprus,114.28,114.43,114.61,114.66,114.65,114.8,122.49,123.86,122.9,122.94,122.95,122.81
Monthly,Recreation and culture,"Index, 2015=100",Czechia,138.1,140.9,139.6,138.4,137.9,138.4,146.4,147.6,139.4,140.0,139.4,139.3
Monthly,Recreation and culture,"Index, 2015=100",Germany,113.6,116.4,118.5,119.4,121.3,123.1,127.1,127.5,125.5,124.9,119.2,122.6
Monthly,Recreation and culture,"Index, 2015=100",Denmark,114.5,115.9,115.5,115.9,115.0,114.8,117.8,115.7,116.0,116.2,114.9,113.7
Monthly,Recreation and culture,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",113.39,115.03,116.11,116.48,117.53,118.52,120.82,121.51,119.48,119.02,116.61,118.61
Monthly,Recreation and culture,"Index, 2015=100",Euro area - 19 countries  (2015-2022),113.36,115.0,116.11,116.47,117.52,118.5,120.8,121.47,119.45,118.98,116.57,118.58
Monthly,Recreation and culture,"Index, 2015=100",Euro area – 20 countries (from 2023),113.41,115.04,116.13,116.5,117.55,118.53,120.84,121.52,119.5,119.03,116.63,118.63
Monthly,Recreation and culture,"Index, 2015=100",Estonia,147.36,151.07,150.51,152.27,152.45,156.59,156.15,158.55,158.04,156.91,154.93,157.42
Monthly,Recreation and culture,"Index, 2015=100",Greece,102.29,102.77,102.98,103.47,103.41,103.67,103.81,103.59,103.79,104.4,104.29,104.84
Monthly,Recreation and culture,"Index, 2015=100",Spain,106.8,108.2,110.57,109.98,110.34,113.41,115.58,117.52,111.67,111.19,109.17,113.86
Monthly,Recreation and culture,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",118.22,119.87,120.67,121.11,121.92,122.92,125.4,125.92,124.0,123.67,121.55,123.24
Monthly,Recreation and culture,"Index, 2015=100",European Union - 27 countries (from 2020),116.22,117.84,118.63,119.07,119.86,120.84,123.28,123.79,121.91,121.58,119.5,121.16
Monthly,Recreation and culture,"Index, 2015=100",Finland,111.17,112.25,112.23,112.59,111.41,112.08,112.68,111.84,112.5,113.38,113.2,113.87
Monthly,Recreation and culture,"Index, 2015=100",France,111.81,112.87,113.79,114.9,115.54,115.29,115.69,116.99,115.7,114.95,114.82,113.97
Monthly,Recreation and culture,"Index, 2015=100",Croatia,119.9,120.98,119.73,120.75,121.48,123.75,127.1,129.11,126.73,126.06,125.22,125.91
Monthly,Recreation and culture,"Index, 2015=100",Hungary,143.73,143.88,144.61,144.84,145.13,146.33,150.12,151.12,147.51,148.5,149.05,149.18
Monthly,Recreation and culture,"Index, 2015=100",Ireland,110.0,111.5,114.6,112.4,112.7,115.5,119.0,117.3,114.7,116.3,113.2,116.6
Monthly,Recreation and culture,"Index, 2015=100",Iceland,127.0,128.88,128.85,129.2,129.57,130.0,130.15,130.62,131.64,131.84,132.4,132.65
Monthly,Recreation and culture,"Index, 2015=100",Italy,109.5,109.9,109.6,109.8,110.9,110.7,111.8,112.6,111.1,110.5,109.8,110.8
Monthly,Recreation and culture,"Index, 2015=100",Lithuania,132.57,134.66,135.25,136.49,137.42,139.97,141.3,140.93,140.45,139.0,138.31,137.72
