Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Age in completed years,Total,Number,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,1526.0
Annual,Total,Age in completed years,Total,Number,Total,Austria,6690.0,7043.0,7354.0,7570.0,8144.0,8530.0,9125.0,9355.0,10500.0,8796.0,9723.0,10899.0
Annual,Total,Age in completed years,Total,Number,Total,Belgium,29786.0,38612.0,34801.0,18726.0,27071.0,31935.0,37399.0,36200.0,40594.0,33915.0,39233.0,48482.0
Annual,Total,Age in completed years,Total,Number,Total,Bulgaria,612.0,1750.0,808.0,900 p,1275.0,1626.0,914.0,997.0,736.0,859.0,2183.0,893.0
Annual,Total,Age in completed years,Total,Number,Total,Switzerland,36012.0,33500.0,34061.0,32836.0,40689.0,42937.0,44949.0,42493.0,41127.0,34141.0,36994.0,41486.0
Annual,Total,Age in completed years,Total,Number,Total,Cyprus,1325.0,1530.0,1138.0,1633.0,2353.0,3127.0,3737.0,3198.0,2859.0,2740.0,1910.0,2873.0
Annual,Total,Age in completed years,Total,Number,Total,Czechia,1638.0,1753.0,2243.0,5059.0,2619.0,4561.0,3480.0,2317.0,2934.0,2666.0,4279.0,4552.0
Annual,Total,Age in completed years,Total,Number,Total,Germany,109594.0,114637.0,111775.0,110610.0,110128.0,112843.0,115421.0,116750 p,131980 p,111170.0,129990.0,166640.0
Annual,Total,Age in completed years,Total,Number,Total,Denmark,4243.0,3598.0,1750.0,4747.0,11745.0,15028.0,7272.0,2836.0,1781.0,7076.0,6483.0,5149.0
Annual,Total,Age in completed years,Total,Number,Total,Estonia,1518.0,1339.0,1330.0,1614.0,898.0,1779 b,880.0,766.0,779.0,770.0,1034.0,812.0
Annual,Total,Age in completed years,Total,Number,Total,Greece,17533.0,20302 b,29462.0,20913.0,13933.0,33210.0,34305.0,27857.0,16328.0,13272.0,10120.0,12733.0
Annual,Total,Age in completed years,Total,Number,Total,Spain,114599.0,94142.0,225793 b,205880.0,114351.0,150944.0,66498.0,90774.0,98954.0,126266.0,144012.0,181581.0
Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),607113 e,626942 be,771684 be,762138 bep,721740 ep,843894 e,703724 b,676593 ep,712266 ep,730668 ep,833272 ep,989940.0
Annual,Total,Age in completed years,Total,Number,Total,Finland,4558.0,9087.0,8930.0,8260.0,7921.0,9375.0,12219.0,9211.0,9649.0,7816.0,6643.0,10198.0
Annual,Total,Age in completed years,Total,Number,Total,France,114569.0,96051.0,97276.0,105613.0,113608.0,119152.0,114274.0,110014.0,109821.0,86483.0,130385.0,114483.0
Annual,Total,Age in completed years,Total,Number,Total,Croatia,3269.0,1081.0,960.0,686.0,1196.0,3973.0,688.0,853.0,1121.0,1149.0,702.0,753.0
Annual,Total,Age in completed years,Total,Number,Total,Hungary,20554.0,18379.0,9178.0,8745.0,4048.0,4315.0,2787.0,3508.0,3255.0,2139.0,2511.0,2973.0
Annual,Total,Age in completed years,Total,Number,Total,Ireland,10749.0,25039.0,24263 p,21104.0,13565.0,10038.0,8195.0,8223.0,5791.0,5475.0,9778.0,13597.0
Annual,Total,Age in completed years,Total,Number,Total,Iceland,370.0,413.0,597.0,595.0,801.0,703.0,637.0,569.0,437.0,395.0,905.0,706.0
Annual,Total,Age in completed years,Total,Number,Total,Italy,56153.0,65383.0,100712.0,129887.0,178035.0,201591.0,146605.0,112523.0,127001.0,131803.0,121457.0,213716.0
Annual,Total,Age in completed years,Total,Number,Total,Liechtenstein,116.0,119.0,114.0,173.0,112.0,171.0,147.0,139.0,112.0,114.0,163.0,186.0
Annual,Total,Age in completed years,Total,Number,Total,Lithuania,254.0,202.0,185.0,183.0,183.0,176.0,187.0,130.0,117.0,152.0,150.0,485.0
Annual,Total,Age in completed years,Total,Number,Total,Luxembourg,3405.0,4680.0,2564.0,3206.0,3195.0,3315.0,4980.0,6950.0,5657.0,4640.0,4933.0,5350.0
Annual,Total,Age in completed years,Total,Number,Total,Latvia,2467.0,3784.0,3083.0,2141.0,1897.0,1957.0,1794.0,1683.0,1650.0,1136.0,850.0,966.0
Annual,Total,Age in completed years,Total,Number,Total,Malta,236.0,661.0,418.0,314.0,646.0,1495.0,1973.0,1044.0,770.0,1181.0,1156.0,842.0
Annual,Total,Age in completed years,Total,Number,Total,Netherlands,28598.0,30955.0,25882.0,32675.0,27877.0,28534.0,27663.0,27852.0,34191.0,55943.0,62959.0,53678.0
