Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Cities,Albania,:,:,:,:,:,8.7,7.6,6.8,4.5,3.7,:,:
Annual,Percentage,Cities,Austria,12.2,12.2,12.2,12.1,12.5,11.3,11.6,12.2,10.7,9.9,12.6,11.3
Annual,Percentage,Cities,Belgium,17.0 b,15.4,15.6,14.3,16.2,15.2,14.6,13.1 b,11.8,12.4,12.1,11.0
Annual,Percentage,Cities,Bulgaria,11.8 b,12.6,11.8,13.9,18.8 b,17.7,16.1,15.6,13.0,10.9,12.7,8.5
Annual,Percentage,Cities,Switzerland,14.8 b,14.1,14.1 b,15.3,15.8,18.3,15.6,18.9,16.4,19.4,16.5,19.9
Annual,Percentage,Cities,Cyprus,4.9 b,4.2,5.2,4.7,3.8,3.5,3.1,2.5,2.4,3.5,3.5,3.4
Annual,Percentage,Cities,Czechia,14.7 b,16.4,14.8,15.6,14.8,13.4,12.9,11.0,10.2,10.1,10.6,13.2
Annual,Percentage,Cities,Germany,19.8 b,18.9,19.3,19.1,19.6,17.9,17.6,16.2,11.4 b,12.4,13.1,14.2
Annual,Percentage,Cities,Denmark,22.1 b,24.3,22.0,22.1,22.9,22.4,21.2,21.1,20.3 b,21.9,22.5,23.3
Annual,Percentage,Cities,Euro area - 19 countries  (2015-2022),13.2,13.1,13.3,13.6,13.6,12.6,11.9,12.4,10.3,11.0 e,:,:
Annual,Percentage,Cities,Euro area – 20 countries (from 2023),:,:,13.3,13.5,13.5,12.5,11.9,12.3,10.2,11.2,10.9,10.8
Annual,Percentage,Cities,Estonia,9.8 b,8.7,10.3 b,8.5,6.1,5.9,4.6,5.1,4.9,5.5,5.8,8.0
Annual,Percentage,Cities,Greece,35.9 b,39.6,49.0,48.8,44.6,43.7,43.9,40.7,37.0,32.4,27.3,31.0
Annual,Percentage,Cities,Spain,11.4 b,11.6,11.8,11.2,12.1,11.3,10.0,10.4,10.1,11.4,11.0,9.2
Annual,Percentage,Cities,European Union - 27 countries (2007-2013),12.4,12.6,13.4,13.5,13.5,12.6,12.5,12.7 e,:,:,:,:
Annual,Percentage,Cities,European Union - 27 countries (from 2020),13.3 e,13.3 e,13.2 e,13.3 e,13.4 e,12.4 e,11.6 e,11.8 e,9.9,10.5,10.6,10.6
Annual,Percentage,Cities,European Union - 28 countries (2013-2020),12.4,12.6,13.4,13.5,13.5,12.6,12.4,12.6 e,:,:,:,:
Annual,Percentage,Cities,Finland,5.1 b,6.2,7.3,7.5,5.7,5.6,5.4,5.7,6.3,6.1,7.5,7.8
Annual,Percentage,Cities,France,6.9 b,6.3,7.0,7.5,7.6,7.3,6.3,9.0,8.4 b,:,9.9 b,9.2
Annual,Percentage,Cities,Croatia,6.3 b,9.7,7.5,5.7,5.4,5.9,4.2,3.9,3.6,3.4,2.6,3.5
Annual,Percentage,Cities,Hungary,15.8 b,12.4,13.2,9.2,8.5,10.9,11.3,6.9,10.1,2.9,7.0,9.6
Annual,Percentage,Cities,Ireland,7.0 b,5.3,8.5,6.6,6.6,6.2,4.5,7.5 b,7.3 b,4.8,5.1,5.2
Annual,Percentage,Cities,Iceland,10.7 b,9.3,9.6,9.3,6.9,9.8,10.0,13.7,:,:,:,:
Annual,Percentage,Cities,Italy,10.7,11.8,10.5,11.4 b,12.9,11.7,11.7,11.2,8.9,9.2,8.5,7.9
Annual,Percentage,Cities,Lithuania,10.7 b,10.4,9.2,10.1,7.5,5.6,4.1,4.1,1.4,1.6,2.9,5.0
Annual,Percentage,Cities,Luxembourg,7.3 b,8.6,10.1,8.5,10.4 b,11.9,18.0,15.5,10.7 b,7.8 b,10.4 b,13.7
Annual,Percentage,Cities,Latvia,13.6 b,12.1,10.0,9.0,8.2,7.0,6.9,4.8,4.8,4.8,5.4,9.4
Annual,Percentage,Cities,North Macedonia,:,:,:,:,14.3,11.0,9.8,8.2,6.5,:,:,:
Annual,Percentage,Cities,Malta,2.7 b,2.5,1.5,1.1,1.4,1.4,1.7,2.6,2.8,2.9,3.0,5.5 b
Annual,Percentage,Cities,Netherlands,16.7 b,18.7,17.7,18.4,13.5 b,12.2,12.1,12.9,10.7,10.5,12.1,11.7
Annual,Percentage,Cities,Norway,10.7 b,11.6,:,14.8,14.2,13.2,14.9,14.6,13.0,16.6 b,15.9,19.2
Annual,Percentage,Cities,Poland,12.4 b,12.1,10.9,9.8,9.5,9.0,8.3,7.9,5.4 b,6.7,6.4,6.5
Annual,Percentage,Cities,Portugal,9.5 b,9.6,9.7,9.5,8.2,7.9,6.0,7.3,4.8,6.6,5.4,6.2
Annual,Percentage,Cities,Romania,16.9 b,16.0,13.7,13.8,13.7,9.6,7.0,5.2,5.5,4.7,7.2,7.4
Annual,Percentage,Cities,Serbia,:,24.4,28.9,28.4,31.3,30.6,28.0,19.7,16.3,14.4,14.6,:
Annual,Percentage,Cities,Sweden,9.8 b,11.2,11.2,11.2,11.3,10.6,10.1,12.4,10.1,10.6,11.0,13.2
Annual,Percentage,Cities,Slovenia,7.6 b,8.5,9.9,9.2,9.3,7.2,7.6,7.4,7.1,4.5,6.1,4.6
Annual,Percentage,Cities,Slovakia,7.7 b,8.2,10.8,12.1,7.0,7.8,5.6,8.9,3.6,10.1,2.3,5.9
Annual,Percentage,Cities,United Kingdom,7.9 b,9.3,14.4,14.5,14.0,13.5 b,16.2,:,:,:,:,:
Annual,Percentage,Towns and suburbs,Albania,:,:,:,:,:,7.6,5.4,4.7,4.0,3.5,:,:
Annual,Percentage,Towns and suburbs,Austria,6.0,6.2,5.8,5.9,6.5,6.7,5.6,6.0,5.9,5.6,6.3,4.5
Annual,Percentage,Towns and suburbs,Belgium,8.0 b,7.1,8.2,7.7,7.3,7.4,6.9,6.3 b,6.2,5.7,6.0,6.2
Annual,Percentage,Towns and suburbs,Bulgaria,15.2 b,13.5,11.5,14.6,19.7 b,19.2,15.6,13.5,14.4,10.7,15.6,12.2
Annual,Percentage,Towns and suburbs,Switzerland,11.7 b,9.6,11.9 b,11.0,11.6,11.1,12.7,12.8,13.6,13.9,12.3,12.5
Annual,Percentage,Towns and suburbs,Cyprus,2.1 b,2.5,3.2,3.0,2.8,2.5,1.0,2.1,1.0,0.8,1.6,2.2
Annual,Percentage,Towns and suburbs,Czechia,9.8 b,11.4,9.7,10.6,9.6,8.0,7.0,7.2,6.4,6.1,6.8,8.8
Annual,Percentage,Towns and suburbs,Germany,15.5 b,16.1,14.9,14.5,14.5,13.4,13.3,12.7,7.8 b,10.7,11.5,12.7
Annual,Percentage,Towns and suburbs,Denmark,17.6 b,16.7,15.3,12.7,13.3,15.0,12.5,13.1,11.5 b,12.9,11.3,11.6
Annual,Percentage,Towns and suburbs,Euro area - 19 countries  (2015-2022),10.6,10.8,10.9,11.0,10.4,9.8,9.7,9.1,7.2,8.0 e,:,:
Annual,Percentage,Towns and suburbs,Euro area – 20 countries (from 2023),:,:,10.9,10.9,10.4,9.7,9.7,9.1,7.1,8.5,8.2,8.3
Annual,Percentage,Towns and suburbs,Estonia,7.9 b,7.8,8.2 b,6.1,5.2,4.7,4.7,3.5,3.7,4.4,4.3,8.4
Annual,Percentage,Towns and suburbs,Greece,31.7 b,36.8,44.3,48.1,41.7,42.2,41.3,38.9,37.3,31.1,28.4,28.8
Annual,Percentage,Towns and suburbs,Spain,12.4 b,10.4,11.7,10.5,9.5,9.8,9.6,9.1,7.5,9.0,8.0,7.7
Annual,Percentage,Towns and suburbs,European Union - 27 countries (2007-2013),10.5,10.4,10.9,10.8,10.3,9.9,9.8,9.3 e,:,:,:,:
Annual,Percentage,Towns and suburbs,European Union - 27 countries (from 2020),11.0 e,11.0 e,10.9 e,10.9 e,10.3 e,9.7 e,9.4 e,8.8 e,7.0,7.9,8.1,8.3
Annual,Percentage,Towns and suburbs,European Union - 28 countries (2013-2020),10.5,10.4,10.8,10.7,10.2,9.9,9.8,9.2 e,:,:,:,:
Annual,Percentage,Towns and suburbs,Finland,5.3 b,4.3,4.3,3.9,4.0,4.1,4.4,3.2,2.9,3.3,4.3,4.1
Annual,Percentage,Towns and suburbs,France,5.0 b,5.7,4.5,5.4,3.8,4.0,4.5,4.5,4.7 b,:,5.8 b,6.3
Annual,Percentage,Towns and suburbs,Croatia,4.2 b,8.4,7.2,6.1,6.0,5.3,4.8,3.9,3.9,4.5,4.2,3.7
Annual,Percentage,Towns and suburbs,Hungary,14.9 b,14.8,14.1,9.5,8.9,11.5,7.8,3.4,2.8,2.2,9.8,7.8
Annual,Percentage,Towns and suburbs,Ireland,7.7 b,4.8,6.6,4.5,4.4,5.3,3.9,5.9 b,3.9 b,1.3,4.0,3.9
Annual,Percentage,Towns and suburbs,Iceland,:,:,5.0,7.2,5.4,7.1,9.1,9.9,:,:,:,:
Annual,Percentage,Towns and suburbs,Italy,6.4,6.7,6.7,7.7 b,8.3,6.8,7.2,7.5,6.0,5.9,6.0,5.0
Annual,Percentage,Towns and suburbs,Lithuania,10.4 b,6.3,5.2,12.5,15.2,8.7,8.3,4.5,4.3,2.5,3.0,3.9
Annual,Percentage,Towns and suburbs,Luxembourg,4.5 b,6.0,7.0,7.5,7.7 b,6.0,7.9,8.9,9.6 b,4.6 b,7.9 b,12.2
Annual,Percentage,Towns and suburbs,Latvia,14.3 b,15.8,14.3,7.1,7.1,7.5,7.2,5.5,5.5,4.6,5.9,6.8
Annual,Percentage,Towns and suburbs,North Macedonia,:,:,:,:,12.5,11.9,10.0,10.5,9.7,:,:,:
Annual,Percentage,Towns and suburbs,Malta,2.4 b,2.3,2.0,1.3,1.4,1.6,1.6,2.8,2.3,2.4,2.9,5.9 b
Annual,Percentage,Towns and suburbs,Netherlands,12.6 b,13.8,13.7,12.9,7.7 b,6.1,6.4,6.3,5.3,5.4,7.6,6.5
Annual,Percentage,Towns and suburbs,Norway,9.2 b,7.3,:,7.8,8.5,8.8,8.9,9.7,9.2,8.9 b,12.2,14.0
Annual,Percentage,Towns and suburbs,Poland,10.0 b,9.6,10.0,8.8,8.3,6.7,6.0,5.8,4.9 b,5.1,5.1,5.4
Annual,Percentage,Towns and suburbs,Portugal,8.6 b,8.6,10.3,10.0,7.9,6.4,6.0,4.4,3.7,5.8,5.1,3.7
Annual,Percentage,Towns and suburbs,Romania,19.4 b,16.3,13.8,13.9,11.4,10.3,8.7,7.9,7.4,5.7,8.0,8.3
Annual,Percentage,Towns and suburbs,Serbia,:,30.8,30.6,35.3,29.4,34.3,30.3,21.6,17.8,14.6,12.3,:
Annual,Percentage,Towns and suburbs,Sweden,9.5 b,6.8,6.5,7.6,7.8,6.7,7.5,7.7,6.8,6.8,7.5,9.7
Annual,Percentage,Towns and suburbs,Slovenia,5.6 b,6.5,6.3,6.2,5.5,5.3,4.8,3.7,4.0,4.8,4.8,4.9
Annual,Percentage,Towns and suburbs,Slovakia,7.8 b,7.3,8.0,8.6,7.9,9.1,4.9,5.8,4.0,6.8,2.3,6.7
Annual,Percentage,Towns and suburbs,United Kingdom,6.9 b,6.5,10.5,9.7,9.5,11.2 b,13.1,:,:,:,:,:
Annual,Percentage,Rural areas,Albania,:,:,:,:,:,10.9,5.1,4.9,3.0,2.8,:,:
Annual,Percentage,Rural areas,Austria,3.8,4.3,3.0,2.4,3.8,4.0,4.0,3.6,3.2,3.5,4.2,2.9
Annual,Percentage,Rural areas,Belgium,9.8 b,7.1,8.5,6.7,7.1,6.9,6.0,6.5 b,5.4,4.4,4.9,6.7
Annual,Percentage,Rural areas,Bulgaria,17.5 b,17.1,15.1,16.2,23.8 b,20.4,22.0,18.5,16.4,13.3,18.1,14.0
