Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,From 15 to 34 years,Austria,48.4 be,49.2 be,48.0 e,47.3 be,48.5 e,46.7 e,46.1 e,43.4 b,43.4,42.5,42.6 e,40.9 e,40.6,41.0 e,38.5,40.9,40.3,40.2 b,35.8,40.0 e
Annual,Percentage,From 15 to 34 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,50.8 be,55.1 e,59.3 e
Annual,Percentage,From 15 to 34 years,Belgium,46.6 e,44.2 be,42.7 e,40.4 e,42.7 e,40.8 e,38.5 e,36.8 be,36.5,34.5,35.8,33.4,35.1,34.1 b,35.1,36.0,34.9,33.3 b,31.9,33.6
Annual,Percentage,From 15 to 34 years,Bulgaria,35.6 e,40.0 be,40.3 e,40.2 e,40.5 be,41.1 e,45.8 be,48.5 be,48.4 e,49.0 e,46.6 e,45.0 e,46.7 e,49.4 e,48.7 e,47.1 e,41.5,41.6 b,37.6 b,38.3
Annual,Percentage,From 15 to 34 years,Switzerland,:,:,:,:,:,:,:,37.3 be,37.6,37.7,39.5,37.1 e,37.5,36.5,37.1 e,38.7 e,39.2,38.6 b,37.1,37.5
Annual,Percentage,From 15 to 34 years,Cyprus,49.1 e,51.6 be,52.6 e,54.0 e,48.9 e,45.7 be,42.9 e,41.7 be,48.3 e,44.8 e,42.1 e,45.5 e,44.0 e,44.9,40.3 e,40.2 e,39.2,45.0 b,47.5 e,46.0 e
Annual,Percentage,From 15 to 34 years,Czechia,48.1 e,46.9 be,49.2 e,46.0 e,47.9 e,46.8 e,47.3 be,45.8 b,45.4 e,43.2,38.5 e,38.9 e,41.3 e,39.7 e,36.7 e,36.9,34.8,33.1 b,33.7,36.1
Annual,Percentage,From 15 to 34 years,Germany,37.2 e,36.0 be,35.2 be,36.0 e,36.6 e,36.8 e,37.4 be,36.5 be,36.2 b,36.4,35.9,36.2,35.9,35.9,36.4,36.7,38.7 b,37.4 b,38.6,38.5
Annual,Percentage,From 15 to 34 years,Denmark,29.2 e,35.3 be,32.5 e,32.0 e,32.6 be,33.0 e,29.2 e,27.1 be,26.5 e,28.2 e,27.0 e,27.6 e,28.7 be,29.8 be,32.2 e,32.9 e,31.7 e,35.6 be,37.4,37.0 b
Annual,Percentage,From 15 to 34 years,Estonia,28.4 u,39.6 be,49.0 e,50.1 e,43.9 e,42.0 e,47.7 e,53.1 be,48.7 e,54.0 e,53.4 e,50.3,47.2 e,51.1 e,54.1,50.8,46.6 e,47.4 be,53.4 e,43.8 e
Annual,Percentage,From 15 to 34 years,Greece,48.5 be,47.5 be,46.6 e,47.4 e,45.9 e,47.1 be,46.2 e,39.4 be,36.7 e,37.2 e,39.1 e,36.7 e,35.0 e,32.8 e,31.6 e,29.4 e,30.8 e,30.3 b,34.2,33.5 e
Annual,Percentage,From 15 to 34 years,Spain,52.7 e,53.1 be,54.5 be,53.7 e,51.9 e,48.4 e,45.9 e,45.3 be,41.3 e,38.5 e,38.0 e,34.5 e,32.2 e,32.2 e,33.0 e,32.5 e,32.1 e,32.5 bd,34.9 d,36.7 d
Annual,Percentage,From 15 to 34 years,European Union - 27 countries (from 2020),43.3 e,43.6 be,43.6 e,43.1 e,42.8 e,42.1 e,40.9 e,39.9 be,38.2 e,37.6 e,37.0 e,36.3 e,35.8 e,35.9 e,35.7 e,36.5 e,36.4 e,36.3 be,36.8 e,37.3 e
Annual,Percentage,From 15 to 34 years,Finland,45.6 e,44.8 be,43.5 e,44.6 be,43.7 be,40.0 e,38.3 e,38.5 be,36.2,34.6,31.1 e,29.8,29.0,30.6,31.0,32.9,29.0,32.4 be,33.1,32.9
Annual,Percentage,From 15 to 34 years,France,43.5 e,46.2 be,46.1 be,43.2 e,43.0 e,42.8 e,42.7 e,39.1 be,35.8 e,37.4 b,37.2 b,38.8,36.2,36.8,36.5,39.6,36.3 e,36.9 bd,36.2 d,38.9 d
Annual,Percentage,From 15 to 34 years,Croatia,40.2 u,37.3 bu,35.7 bu,49.1 e,56.8 e,57.3 e,49.6 e,40.8 be,45.0 e,46.8 e,50.5 e,44.1 e,40.6 e,44.2 e,47.6 e,41.7 e,51.2 e,49.2 be,44.0 e,45.3 be
Annual,Percentage,From 15 to 34 years,Hungary,46.2 e,47.1 be,50.5 e,49.0 e,48.8 e,44.1 e,41.8 e,48.9 b,45.7 e,44.4 e,40.8 e,34.9,36.1,35.5,31.7 e,36.6 e,38.0 e,34.5 be,35.5 e,34.5 e
Annual,Percentage,From 15 to 34 years,Ireland,54.1 e,53.4 be,52.8 e,52.8 be,50.1 e,47.2 e,44.7 e,37.6 be,36.6 e,34.7 e,36.3 e,34.8 e,35.1 e,34.2 be,35.0 e,35.5 e,35.4 e,36.8 be,36.1 e,37.0 e
Annual,Percentage,From 15 to 34 years,Iceland,:,:,:,:,:,:,:,35.0 be,31.3 e,32.0 e,34.6 e,36.8 e,40.4 e,40.5 e,33.7 e,30.2 e,34.4 be,36.5 be,42.1 e,38.7 e
Annual,Percentage,From 15 to 34 years,Italy,43.3 be,42.4 be,40.4 e,37.6 e,36.0 e,35.2 e,34.2 e,33.3 be,29.9 e,27.3 e,26.4 e,25.7 e,24.4 e,23.9 e,23.6 be,25.1 e,26.7 e,27.2 be,28.2 e,29.3 e
Annual,Percentage,From 15 to 34 years,Lithuania,48.0 u,45.5 bu,44.0 u,42.9 u,45.1 u,46.9,53.1,50.3 be,43.4 e,45.3 e,53.8 e,55.3 e,50.4 e,53.9 e,54.6 e,52.1 e,48.6 e,56.1 be,54.0 e,51.4 e
