Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Oslo - Kornsjo,Goods trains,2240.0
Annual,Number,Oslo - Kornsjo,Passenger trains,33170.0
Annual,Number,Oslo - Skien,Goods trains,0.0
Annual,Number,Oslo - Skien,Passenger trains,64750.0
Annual,Number,Oslo - Charlottenberg,Goods trains,1960.0
Annual,Number,Oslo - Charlottenberg,Passenger trains,8150.0
Annual,Number,Oslo - Stavanger,Goods trains,1120.0
Annual,Number,Oslo - Stavanger,Passenger trains,14500.0
Annual,Number,Oslo - Bergen,Goods trains,1970.0
Annual,Number,Oslo - Bergen,Passenger trains,21600.0
Annual,Number,Oslo - Trondheim,Goods trains,2800.0
Annual,Number,Oslo - Trondheim,Passenger trains,87000.0
Annual,Number,Tronheim - Storlien,Goods trains,100.0
Annual,Number,Tronheim - Storlien,Passenger trains,670.0
Annual,Number,Tronheim - Bodo,Goods trains,1960.0
Annual,Number,Tronheim - Bodo,Passenger trains,7500.0
Annual,Number,Narvik - Vaissijaure,Goods trains,3300.0
Annual,Number,Narvik - Vaissijaure,Passenger trains,920.0
Annual,Number,Kornsjo - Oslo,Goods trains,2240.0
Annual,Number,Kornsjo - Oslo,Passenger trains,33170.0
Annual,Number,Skien - Oslo,Goods trains,0.0
Annual,Number,Skien - Oslo,Passenger trains,64750.0
Annual,Number,Charlottenberg - Oslo,Goods trains,1960.0
Annual,Number,Charlottenberg - Oslo,Passenger trains,8150.0
Annual,Number,Stavanger - Oslo,Goods trains,1120.0
Annual,Number,Stavanger - Oslo,Passenger trains,14500.0
Annual,Number,Bergen - Oslo,Goods trains,1970.0
Annual,Number,Bergen - Oslo,Passenger trains,21600.0
Annual,Number,Trondheim - Oslo,Goods trains,2800.0
Annual,Number,Trondheim - Oslo,Passenger trains,87000.0
Annual,Number,Storlien - Tronheim,Goods trains,100.0
Annual,Number,Storlien - Tronheim,Passenger trains,670.0
Annual,Number,Bodo - Tronheim,Goods trains,1960.0
Annual,Number,Bodo - Tronheim,Passenger trains,7500.0
Annual,Number,Vaissijaure - Narvik,Goods trains,3300.0
Annual,Number,Vaissijaure - Narvik,Passenger trains,920.0
