Time frequency,Sector,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total economy,Million euro,Austria,:,:,:,:,:,:,12053.6 b,12105.3,12153.4,14581.4,:,:
Annual,Total economy,Million euro,Belgium,:,:,12932.5,12949.2,13274.2,14470.6,15231.7,15803.0,15271.7,16748.6,:,:
Annual,Total economy,Million euro,Bulgaria,:,:,1398.5 p,1362.7 p,1072.9 p,1049.7 p,998.4 p,1207.1 p,1246.8 p,1437.9 p,:,:
Annual,Total economy,Million euro,Switzerland,:,:,8147.7,9381.0,9332.8,9333.8,9059.1,9736.0,10754.1,10876.7,12071.6,:
Annual,Total economy,Million euro,Cyprus,:,:,:,:,:,:,294.1,373.5,249.6,311.2,:,:
Annual,Total economy,Million euro,Czechia,:,:,:,:,:,:,6244.8,6459.3,6422.3,7224.6,:,:
Annual,Total economy,Million euro,Germany,:,:,:,:,:,:,74163.9,77773.4,79884.2,83102.9 p,:,:
Annual,Total economy,Million euro,Denmark,:,:,:,:,:,:,5937.7,6076.4,6738.2,7051.4,:,:
Annual,Total economy,Million euro,Estonia,:,:,527.4,589.9,495.6,559.0,634.6,621.8,635.5,614.7,:,:
Annual,Total economy,Million euro,Greece,:,:,:,:,:,:,2544.7,2636.2,2411.2,2461.8 p,:,:
Annual,Total economy,Million euro,Spain,:,:,16307.6,16913.5,17011.5,18508.6,19531.6,19780.5,19385.2,21671.3,25527.4,:
Annual,Total economy,Million euro,European Union - 27 countries (from 2020),238225.8 i,235989.2 i,238210.5 i,244751.3 i,245837.7 i,258412.7 i,280322.5,295919.9,297861.9,321351.3,349439.7 i,356797.3 i
Annual,Total economy,Million euro,Finland,:,:,:,:,:,4116.0,4212.4,3957.1,4102.5,4764.4,:,:
Annual,Total economy,Million euro,France,:,:,42600.4,42322.9,42539.4,43714.9,45654.2,47750.8,46452.2,50387.2,:,:
Annual,Total economy,Million euro,Croatia,:,:,800.1,777.5,832.8,889.1,896.7,985.6,1086.8,1158.8,:,:
Annual,Total economy,Million euro,Hungary,:,:,:,:,:,:,1990.3,2376.4,2126.9,2133.6,:,:
Annual,Total economy,Million euro,Ireland,:,:,2735.6,2751.5,2782.3,2877.9,2927.8,3191.5,3359.1,3770.0,:,:
Annual,Total economy,Million euro,Iceland,:,:,165.0,176.8,216.6,258.6,284.6,318.6,319.4,337.0,387.5,:
Annual,Total economy,Million euro,Italy,:,:,:,:,38796.5,40017.1,41026.6,41855.6,42176.3,46630.7,:,:
Annual,Total economy,Million euro,Lithuania,:,:,:,:,:,:,788.0,673.4,772.5,1046.1,:,:
Annual,Total economy,Million euro,Luxembourg,:,:,433.7,452.9,474.1,518.4,563.0,607.3,609.2,673.6,:,:
Annual,Total economy,Million euro,Latvia,:,:,:,:,:,:,307.6,381.5,356.6,411.6,:,:
Annual,Total economy,Million euro,Malta,:,:,199.3,254.2,214.1,215.4,250.5,317.2,330.6,325.7,:,:
Annual,Total economy,Million euro,Netherlands,:,:,:,:,:,:,14517.7,14989.6,15630.3,16643.3,:,:
Annual,Total economy,Million euro,Norway,:,:,:,:,:,:,4225.3,4435.2,4320.9,5169.0,:,:
Annual,Total economy,Million euro,Poland,:,:,7431.0,8081.2,8658.8,8781.6,9263.9,15206.3 b,14823.3,14044.1,:,:
Annual,Total economy,Million euro,Portugal,:,:,2616.4,2739.0,2688.2,2966.1,3143.2,2977.9 b,3250.1,3947.8,:,:
Annual,Total economy,Million euro,Romania,:,:,2951.5,3892.4,2101.5,3812.9,4747.0,5225.4,5245.8,5721.2,:,:
Annual,Total economy,Million euro,Sweden,:,:,5176.0,4902.2,5124.0,5553.2,9545.5 b,9445.7,10049.4,11307.6,:,:
Annual,Total economy,Million euro,Slovenia,:,:,841.7,795.2,784.9,853.8,972.0,1054.8,1268.6,1234.5,:,:
Annual,Total economy,Million euro,Slovakia,:,:,:,:,:,:,1880.9,2087.1,1823.9,1945.3,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Austria,:,:,:,:,:,:,3.1 b,3.1,3.2,3.6,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Belgium,:,:,3.2,3.1,3.1,3.3,3.3,3.3,3.3,3.3,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Bulgaria,:,:,3.3 p,3 p,2.2 p,2 p,1.8 p,2 p,2 p,2 p,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Switzerland,:,:,1.5,1.5,1.5,1.5,1.5,1.5,1.7,1.6,1.5,:
Annual,Total economy,Percentage of gross domestic product (GDP),Cyprus,:,:,:,:,:,:,1.3,1.6,1.1,1.2,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Czechia,:,:,:,:,:,:,2.9,2.8,2.9,2.9,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Germany,:,:,:,:,:,:,2.2,2.2,2.3,2.3 p,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Denmark,:,:,:,:,:,:,2.0,2.0,2.2,2.0,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Estonia,:,:,2.6,2.8,2.2,2.3,2.4,2.2,2.3,2.0,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Greece,:,:,:,:,:,:,1.4,1.4,1.4,1.3 p,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Spain,:,:,1.6,1.6,1.5,1.6,1.6,1.6,1.7,1.8,1.9,:
Annual,Total economy,Percentage of gross domestic product (GDP),European Union - 27 countries (from 2020),2.1 i,2 i,2 i,2 i,1.9 i,2 i,2.1,2.1,2.2,2.2,2.2 i,2.1 i
Annual,Total economy,Percentage of gross domestic product (GDP),Finland,:,:,:,:,:,1.8,1.8,1.7,1.7,1.9,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),France,:,:,2.0,1.9,1.9,1.9,1.9,2.0,2.0,2.0,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Croatia,:,:,1.8,1.7,1.8,1.8,1.7,1.8,2.1,2.0,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Hungary,:,:,:,:,:,:,1.5,1.6,1.5,1.4,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Ireland,:,:,1.4,1.0,1.0,0.9,0.9,0.9,0.9,0.8,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Iceland,:,:,1.2,1.1,1.2,1.2,1.3,1.4,1.7,1.5,1.4,:
Annual,Total economy,Percentage of gross domestic product (GDP),Italy,:,:,:,:,2.3,2.3,2.3,2.3,2.5,2.5,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Lithuania,:,:,:,:,:,:,1.7,1.4,1.5,1.8,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Luxembourg,:,:,0.8,0.8,0.8,0.9,0.9,1.0,0.9,0.9,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Latvia,:,:,:,:,:,:,1.1,1.3,1.2,1.3,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Malta,:,:,2.2,2.5,2.0,1.7,1.8,2.2,2.3,2.0,:,:
Annual,Total economy,Percentage of gross domestic product (GDP),Netherlands,:,:,:,:,:,:,1.8,1.8,1.9,1.9,:,:
