Time frequency,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,Single person,Percentage,Austria,30.0,31.0,32.0,32.0,33.0
Annual,Single person,Percentage,Belgium,28.0,27.0,26.0,25.0,25.0
Annual,Single person,Percentage,Germany,36.0,37.0,37.0,38.0,39.0
Annual,Single person,Percentage,Denmark,29.0,28.0,26.0,26.0,26.0
Annual,Single person,Percentage,Euro area - 12 countries (2001-2006),28.0,28.0,28.0,28.0,28.0
Annual,Single person,Percentage,Greece,20.0,19.0,18.0,18.0,19.0
Annual,Single person,Percentage,Spain,14.0,15.0,16.0,16.0,17.0
Annual,Single person,Percentage,European Union - 15 countries (1995-2004),29.0,29.0,29.0,29.0,29.0
Annual,Single person,Percentage,Finland,39.0,40.0,40.0,40.0,40.0
Annual,Single person,Percentage,France,27.0,26.0,26.0,25.0,25.0
Annual,Single person,Percentage,Ireland,24.0,23.0,24.0,24.0,24.0
Annual,Single person,Percentage,Italy,23.0,22.0,22.0,21.0,21.0
Annual,Single person,Percentage,Luxembourg,28.0,28.0,30.0,30.0,27.0
Annual,Single person,Percentage,Netherlands,33.0,34.0,35.0,35.0,35.0
Annual,Single person,Percentage,Portugal,13.0,14.0,13.0,12.0,12.0
Annual,Single person,Percentage,Sweden,43.0,43.0,42.0,42.0,42.0
Annual,Single person,Percentage,United Kingdom,30.0,30.0,32.0,32.0,31.0
Annual,Single person with dependent children,Percentage,Austria,3.0,3.0,3.0,3.0,3.0
Annual,Single person with dependent children,Percentage,Belgium,4.0,3.0,3.0,4.0,3.0
Annual,Single person with dependent children,Percentage,Germany,3.0,3.0,2.0,2.0,2.0
Annual,Single person with dependent children,Percentage,Denmark,3.0,3.0,3.0,2.0,2.0
Annual,Single person with dependent children,Percentage,Euro area - 12 countries (2001-2006),3.0,2.0,2.0,2.0,2.0
Annual,Single person with dependent children,Percentage,Greece,2.0,1.0,1.0,1.0,2.0
Annual,Single person with dependent children,Percentage,Spain,1.0,1.0,1.0,1.0,1.0
