Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,0.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,10.0,25.0,10.0,40.0,75.0,20.0,25.0,30.0,10.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,0.0,5.0,5.0,10.0,5.0,0.0,5.0,0.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,10.0,65.0,130.0,90.0,575.0,20.0,465 d,60 d,95 d,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,30.0,50.0,195.0,140.0,225.0,45.0,60.0,130.0,70.0,:
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,210.0,310.0,320.0,265.0,260.0,135.0,310.0,275.0,210.0,:
