Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Early childhood education,Austria,98.3,98.9,98.6,98.7,98.1,98.0,97.2,97.0,97.7,97.0
Annual,Percentage,Early childhood education,Belgium,:,:,:,:,:,:,:,:,:,92.2
Annual,Percentage,Early childhood education,Bulgaria,96.5,96.6,96.1,96.2,: m,84.1,90.6,85.8,88.8,94.5
Annual,Percentage,Early childhood education,Switzerland,59.6,60.5,66.9,68.0,67.8,69.2,70.2,70.4,71.2,72.3
Annual,Percentage,Early childhood education,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Early childhood education,Germany,89.5,89.2,:,:,:,:,:,:,:,:
Annual,Percentage,Early childhood education,Denmark,:,: d,:,:,:,86.2,88.0,87.6,87.1,87.2
Annual,Percentage,Early childhood education,Estonia,:,:,:,:,96.6,96.8,:,:,:,:
Annual,Percentage,Early childhood education,Greece,:,:,:,:,:,:,98.5,:,:,:
Annual,Percentage,Early childhood education,France,78.8,78.3,78.4,78.4,78.5,78.3,80.8,78.1,75.4 d,74.2 d
Annual,Percentage,Early childhood education,Hungary,:,:,97.8,99.8,99.7,99.7,99.6,99.5,99.4,99.4
Annual,Percentage,Early childhood education,Ireland,:,:,98.8,98.8,98.6,98.6,98.8,98.8,98.7,98.8
Annual,Percentage,Early childhood education,Iceland,97.0,96.5,96.9,96.3,96.7,97.0,96.8,96.9,96.6,97.3
Annual,Percentage,Early childhood education,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood education,Lithuania,99.2,98.1,98.0,97.1,98.0,98.4,97.1,96.5,96.3,96.3
Annual,Percentage,Early childhood education,Luxembourg,:,:,: m,: m,:,: d,: d,: d,: d,: d
Annual,Percentage,Early childhood education,Montenegro,:,:,:,90.6,:,:,:,:,:,:
Annual,Percentage,Early childhood education,North Macedonia,88.9,:,:,:,90.8,88.3,93.3,95.3,95.3,95.9
Annual,Percentage,Early childhood education,Malta,67.7,69.3,69.5 d,70.8 d,64.0 d,73.1 d,75.6 d,70.2 d,76.7 d,:
Annual,Percentage,Early childhood education,Netherlands,45.6,46.9,48.4,50.4,52.5,54.8,54.8,59.7,62.4,64.4
Annual,Percentage,Early childhood education,Norway,92.1,91.9,91.7,91.6,91.9,91.7,91.7,91.9,91.6,91.2
Annual,Percentage,Early childhood education,Poland,99.7,99.6,99.5,99.6,99.5,99.6,99.4,99.6,99.5,99.3
Annual,Percentage,Early childhood education,Romania,:,:,97.7,98.0,98.2,98.0,98.0,98.3,98.4,98.8
Annual,Percentage,Early childhood education,Sweden,:,90.7,91.2,91.5,91.8,92.8,93.0,93.8,93.5,94.0
Annual,Percentage,Early childhood education,Slovenia,96.3,96.3,97.0,95.4,97.2,96.9,96.4,74.1,95.6,96.6
Annual,Percentage,Early childhood education,Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.8,99.6
Annual,Percentage,Early childhood education,United Kingdom,:,92.0,:,:,:,:,:,:,:,:
Annual,Percentage,Early childhood educational development,Austria,98.1,99.2,99.0,99.3,98.1,98.5,98.2,98.4,98.3,98.3
Annual,Percentage,Early childhood educational development,Belgium,:,:,:,:,:,:,:,:,:,: m
Annual,Percentage,Early childhood educational development,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Germany,90.2,89.9,:,:,:,:,:,:,:,:
Annual,Percentage,Early childhood educational development,Denmark,:,: d,:,:,:,86.1,87.9,87.5,87.1,87.1
Annual,Percentage,Early childhood educational development,Estonia,:,:,:,:,:,: d,:,:,:,:
Annual,Percentage,Early childhood educational development,Greece,:,:,:,:,:,:,98.6,:,:,:
Annual,Percentage,Early childhood educational development,France,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Hungary,:,:,100.0,100.0,100.0,100.0,97.0,97.7,95.2,92.7
Annual,Percentage,Early childhood educational development,Ireland,: m,: m,: m,: m,: m,: d,: d,: d,: d,: d
Annual,Percentage,Early childhood educational development,Iceland,96.7,96.2,96.9,96.2,97.0,97.4,96.4,96.7,96.3,97.1
Annual,Percentage,Early childhood educational development,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Lithuania,: d,: d,: d,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Annual,Percentage,Early childhood educational development,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Latvia,:,: m,:,:,:,:,:,:,:,:
Annual,Percentage,Early childhood educational development,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Percentage,Early childhood educational development,North Macedonia,: d,:,:,:,:,: d,: d,: d,: d,: d
Annual,Percentage,Early childhood educational development,Malta,: m,: m,: m,: m,: m,:,:,:,:,:
Annual,Percentage,Early childhood educational development,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Norway,: d,: d,91.7,91.6,91.9,91.7,91.7,91.9,91.6,91.2
Annual,Percentage,Early childhood educational development,Poland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,Portugal,: m,: m,:,:,:,:,:,:,:,:
Annual,Percentage,Early childhood educational development,Romania,:,:,92.7,96.2,97.1,97.2,98.0,97.0,96.3,97.6
Annual,Percentage,Early childhood educational development,Sweden,:,90.7,91.3,91.2,91.9,92.8,92.9,93.8,93.5,94.0
Annual,Percentage,Early childhood educational development,Slovenia,: d,: d,: d,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Early childhood educational development,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Early childhood educational development,United Kingdom,:,98.0,:,:,:,:,:,:,:,:
Annual,Percentage,Pre-primary education,Austria,98.3,98.7,98.4,98.3,98.0,97.6,96.6,96.1,97.4,96.5
Annual,Percentage,Pre-primary education,Belgium,:,:,: d,: d,: d,: d,93.6,93.1,93.4,92.2
Annual,Percentage,Pre-primary education,Bulgaria,96.5,96.6,96.1,96.2,: m,84.1,90.6,85.8,88.8,94.5
Annual,Percentage,Pre-primary education,Switzerland,59.6,60.5,66.9,68.0,67.8,69.2,70.2,70.4,71.2,72.3
Annual,Percentage,Pre-primary education,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary education,Germany,89.1,88.8,:,:,:,:,:,:,:,:
Annual,Percentage,Pre-primary education,Denmark,:,: d,:,:,:,86.3,88.0,87.6,87.2,87.3
Annual,Percentage,Pre-primary education,Estonia,:,:,:,:,:,: d,:,:,:,:
Annual,Percentage,Pre-primary education,Greece,98.8,98.2,98.4,98.4,98.4,98.4,98.5,98.5,98.4,98.4
Annual,Percentage,Pre-primary education,Finland,93.4,93.5,93.0,93.7,94.6,94.1,94.4,94.7,94.4,94.1
Annual,Percentage,Pre-primary education,France,78.8,78.3,78.4,78.4,78.5,78.3,80.8,78.1,75.4 d,74.2 d
Annual,Percentage,Pre-primary education,Hungary,99.8,99.3,97.8,99.8,99.7,99.7,99.6,99.6,99.5,99.5
Annual,Percentage,Pre-primary education,Ireland,:,:,98.8,98.8,98.6,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary education,Iceland,97.2,96.6,96.9,96.4,96.5,96.8,97.1,97.1,96.7,97.4
Annual,Percentage,Pre-primary education,Italy,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Pre-primary education,Liechtenstein,100.0,:,:,:,:,:,:,:,:,:
Annual,Percentage,Pre-primary education,Lithuania,99.2 d,98.1 d,: d,96.5,97.6,97.9,96.3,95.6,95.4,95.4
Annual,Percentage,Pre-primary education,Luxembourg,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Pre-primary education,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Percentage,Pre-primary education,North Macedonia,88.9 d,:,:,:,90.8 d,: d,: d,95.3,: d,: d
Annual,Percentage,Pre-primary education,Malta,67.7,69.3,69.5,70.8,64.0,73.1,75.6,70.2,76.7,76.9
Annual,Percentage,Pre-primary education,Netherlands,45.6,46.9,48.4,50.4,52.5,54.8,54.8,59.7,62.4,64.4
Annual,Percentage,Pre-primary education,Norway,92.1 d,: d,91.7,91.6,91.9,91.7,91.7,91.9,91.6,91.2
Annual,Percentage,Pre-primary education,Poland,99.7,99.6,99.5,99.6,99.5,99.6,99.4,99.6,99.5,99.3
Annual,Percentage,Pre-primary education,Romania,98.7,97.6,98.0,98.2,98.3,98.1,98.1,98.4,98.7,98.9
Annual,Percentage,Pre-primary education,Sweden,: d,90.7,91.1,91.6,91.7,92.7,93.1,93.8,93.5,94.0
Annual,Percentage,Pre-primary education,Slovenia,: d,: d,: d,: d,: d,: d,: d,: d,: d,96.6 d
Annual,Percentage,Pre-primary education,Slovakia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.8,99.6
Annual,Percentage,Pre-primary education,United Kingdom,78.1,90.4,: d,:,:,:,:,:,:,:
Annual,Percentage,Primary education,Austria,82.1,83.2,83.8,82.4,82.9,82.6,83.7,83.9,83.7,83.3
Annual,Percentage,Primary education,Belgium,58.6 d,59.8 d,61.2 d,62.2 d,63.7 d,65.3 d,61.9,63.0,63.8,65.0
Annual,Percentage,Primary education,Bulgaria,80.3,80.8,81.3,80.5,80.1,80.2,81.7,81.3,83.4,83.6
Annual,Percentage,Primary education,Switzerland,51.6,52.2,61.0,62.2,63.6,64.8,65.8,67.6,68.2,69.0
Annual,Percentage,Primary education,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Primary education,Germany,: m,: m,:,:,:,:,:,:,:,:
Annual,Percentage,Primary education,Denmark,:,73.0,73.4,74.3,73.9,74.6,73.9,74.3,73.9,73.5
Annual,Percentage,Primary education,Estonia,:,:,:,:,78.6,80.0,:,:,:,:
Annual,Percentage,Primary education,Greece,40.0,40.8,43.1,42.7,42.5,45.0,46.6,47.2,48.6,49.5
Annual,Percentage,Primary education,Finland,45.0,47.2,48.0,49.0,51.1,52.2,51.8,55.5,56.0,53.9
Annual,Percentage,Primary education,France,49.0,49.8,50.1,51.1,52.2,54.0,55.9,56.9,57.7 d,58.2 d
Annual,Percentage,Primary education,Hungary,78.1,78.1,77.8,78.2,78.3,78.3,78.3,78.6,78.7,78.5
Annual,Percentage,Primary education,Ireland,59.0,39.9,59.0,62.4,62.0,61.6,61.3,61.3,61.4,61.3
Annual,Percentage,Primary education,Iceland,72.3,74.9,76.1,75.6,78.1,78.6,80.0,81.3,82.4,82.9
Annual,Percentage,Primary education,Italy,:,:,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Primary education,Liechtenstein,44.4,50.0,31.8,20.0,9.1,21.4,16.7,16.7,18.2,100.0
Annual,Percentage,Primary education,Lithuania,96.7,96.0,96.0,95.3,95.0,94.8,94.8,94.7,94.8,94.7
Annual,Percentage,Primary education,Luxembourg,42.9 d,45.5 d,47.6 d,38.1 d,37.0,42.3 d,42.3 d,41.9 d,46.3 d,45.2 d
Annual,Percentage,Primary education,Montenegro,:,:,:,: d,:,:,:,:,:,:
Annual,Percentage,Primary education,North Macedonia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Primary education,Malta,67.2,66.7,69.7,70.3,69.7,71.3,72.3,73.9,74.2,75.1
Annual,Percentage,Primary education,Netherlands,45.6,46.9,48.4,50.4,52.5,54.8,54.8,59.7,62.4,64.4
Annual,Percentage,Primary education,Norway,60.3,60.8 d,61.4,63.8,64.2,64.2,65.1,65.2,65.6,66.3
Annual,Percentage,Primary education,Poland,77.8,78.0,78.3,78.5,78.3,77.6 b,77.8,81.9,82.0,82.1
Annual,Percentage,Primary education,Romania,: d,: d,74.7,78.3,77.2,78.0,78.0,79.6,80.7,79.1
Annual,Percentage,Primary education,Sweden,66.9 d,67.5,68.3,68.7,69.6,71.3,72.0,73.1,73.5,74.3
Annual,Percentage,Primary education,Slovenia,73.2,74.2,73.8,74.3,73.9,74.1,74.0,74.1,75.2,74.0
Annual,Percentage,Primary education,Slovakia,88.6,87.9,87.4,87.1,86.9,87.0,90.4,90.4,90.0,90.0
Annual,Percentage,Primary education,United Kingdom,79.2,77.6,75.9 d,78.2,78.2,78.3,78.3,:,:,:
Annual,Percentage,Lower secondary education,Austria,42.3,44.3,45.4,45.6,47.9,48.3,51.2,52.2,54.7,56.1
Annual,Percentage,Lower secondary education,Belgium,:,:,: d,: d,: d,: d,52.0,52.2,53.4,56.4
Annual,Percentage,Lower secondary education,Bulgaria,72.9,74.7,75.0,75.7,: m,76.6 b,77.0,77.3,78.8,80.0
Annual,Percentage,Lower secondary education,Switzerland,31.9,29.3,35.0,36.9,37.3,37.3,38.5,40.1,41.5,42.3
Annual,Percentage,Lower secondary education,Czechia,:,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Lower secondary education,Germany,: m,: m,:,:,:,:,:,:,:,:
Annual,Percentage,Lower secondary education,Denmark,:,67.5,67.0,68.9,67.9,68.4,67.8,68.5,68.4,67.5
Annual,Percentage,Lower secondary education,Estonia,:,:,:,:,73.8,73.9 d,:,:,:,:
Annual,Percentage,Lower secondary education,Greece,42.0,42.6,43.4,44.8,45.4,47.0,47.8,49.5,50.0,51.1
Annual,Percentage,Lower secondary education,Finland,42.7,43.6,44.3,45.4,47.5,48.5,53.8,55.8,57.5,60.1
Annual,Percentage,Lower secondary education,France,48.5,49.2,49.4,49.8,50.6,51.7,53.1,53.6,54.8 d,55.5 d
Annual,Percentage,Lower secondary education,Hungary,76.9,78.1,77.9,78.1,77.1,77.2,77.2,77.4,77.5,77.4
Annual,Percentage,Lower secondary education,Ireland,:,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Percentage,Lower secondary education,Iceland,72.3,75.7,75.9,75.8,78.1,78.1,79.7,81.5,82.8,82.9
