Time frequency,Frequency,Classification of activities for time use,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2015.0,2022.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Austria,80.6,82.5,65.1
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Belgium,83.0,79.6,59.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Bulgaria,38.9,48.8,33.7
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Switzerland,:,86.0,67.0
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Cyprus,71.5,61.1,37.2
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Czechia,69.8,81.7,70.9
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Germany,84.3,79.0,: u
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Denmark,87.0,89.8,67.9
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Estonia,65.0,85.8,71.5
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Greece,74.4,67.4,57.3
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Spain,79.9,75.6,67.6
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,European Union - 27 countries (from 2020),:,75.0,:
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Finland,81.3,85.2,55.1
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,France,79.6,83.3,67.4
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Croatia,:,60.9,59.4
Annual,At least once,Cinema,All ISCED 2011 levels,From 16 to 29 years,Total,Percentage,Hungary,62.9,68.6,55.8
