Time frequency,Classification of activities for time use,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Austria,15.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Belgium,12.1
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Bulgaria,1.6
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Switzerland,23.8
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Cyprus,6.9
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Czechia,6.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Denmark,23.5
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),11.2 e
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Estonia,6.4
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Greece,5.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Spain,8.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),10.3 e
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Finland,21.1
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,France,12.4
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Croatia,5.9
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Hungary,3.7
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Ireland,12.9
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Italy,4.8
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Lithuania,5.1
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Luxembourg,23.9
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Latvia,4.5
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Montenegro,0.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Malta,6.1
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Netherlands,32.2
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Norway,43.2
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Poland,5.9
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Portugal,4.7
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Romania,1.2
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Serbia,0.5
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Sweden,17.0
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Slovenia,18.3
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Slovakia,5.4
Annual,Formal voluntary activities,Some or severe,Total,16 years or over,Percentage,Türkiye,1.1
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Austria,11.9
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Belgium,11.5
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Bulgaria,1.3
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Switzerland,30.7
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Cyprus,19.0
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Czechia,8.2
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Denmark,22.8
Annual,Informal voluntary activities,Some or severe,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),13.1 e
