Time frequency,Health care,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2017.0,2021.0
Annual,Dental care,No time,Percentage,Austria,: u,: u
Annual,Dental care,No time,Percentage,Belgium,2.1,1.9
Annual,Dental care,No time,Percentage,Bulgaria,0.0 u,: u
Annual,Dental care,No time,Percentage,Cyprus,0.0 u,0.0 u
Annual,Dental care,No time,Percentage,Czechia,16.8 u,6.6 u
Annual,Dental care,No time,Percentage,Germany,: u,:
Annual,Dental care,No time,Percentage,Denmark,: u,0.0 n
Annual,Dental care,No time,Percentage,Estonia,1.3 u,2.0
Annual,Dental care,No time,Percentage,Greece,0.0 n,: u
Annual,Dental care,No time,Percentage,Spain,0.0 n,5.6
Annual,Dental care,No time,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Dental care,No time,Percentage,European Union - 27 countries (from 2020),: u,2.6
Annual,Dental care,No time,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Dental care,No time,Percentage,Finland,: u,0.0 n
Annual,Dental care,No time,Percentage,France,4.6 u,3.2
Annual,Dental care,No time,Percentage,Croatia,: u,: u
Annual,Dental care,No time,Percentage,Hungary,: u,2.7 u
Annual,Dental care,No time,Percentage,Ireland,:,0.0 u
Annual,Dental care,No time,Percentage,Italy,0.0 u,0.0 u
Annual,Dental care,No time,Percentage,Lithuania,: u,0.0 u
Annual,Dental care,No time,Percentage,Luxembourg,: u,: u
Annual,Dental care,No time,Percentage,Latvia,8.9,0.8
Annual,Dental care,No time,Percentage,North Macedonia,1.6,:
Annual,Dental care,No time,Percentage,Malta,: u,: u
Annual,Dental care,No time,Percentage,Netherlands,: u,: u
Annual,Dental care,No time,Percentage,Norway,: u,:
Annual,Dental care,No time,Percentage,Poland,21.0,1.4
Annual,Dental care,No time,Percentage,Portugal,7.2,1.3
Annual,Dental care,No time,Percentage,Romania,0.0 n,0.0 u
Annual,Dental care,No time,Percentage,Serbia,: u,:
Annual,Dental care,No time,Percentage,Sweden,: u,: u
Annual,Dental care,No time,Percentage,Slovenia,: u,0.0 n
Annual,Dental care,No time,Percentage,Slovakia,6.2 u,: u
Annual,Dental care,No time,Percentage,United Kingdom,: u,:
Annual,Dental care,Other reason,Percentage,Austria,: u,: u
Annual,Dental care,Other reason,Percentage,Belgium,8.5,47.7
Annual,Dental care,Other reason,Percentage,Bulgaria,0.0 u,: u
Annual,Dental care,Other reason,Percentage,Switzerland,:,: u
Annual,Dental care,Other reason,Percentage,Cyprus,4.2 u,9.7 u
Annual,Dental care,Other reason,Percentage,Czechia,47.8 u,67.0 u
Annual,Dental care,Other reason,Percentage,Germany,: u,:
Annual,Dental care,Other reason,Percentage,Denmark,: u,91.9
Annual,Dental care,Other reason,Percentage,Estonia,21.9 u,27.1
Annual,Dental care,Other reason,Percentage,Greece,0.0 n,: u
Annual,Dental care,Other reason,Percentage,Spain,0.6,18.2
Annual,Dental care,Other reason,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Dental care,Other reason,Percentage,European Union - 27 countries (from 2020),: u,42.5
Annual,Dental care,Other reason,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Dental care,Other reason,Percentage,Finland,: u,29.8
Annual,Dental care,Other reason,Percentage,France,31.1 u,46.5
Annual,Dental care,Other reason,Percentage,Croatia,: u,: u
Annual,Dental care,Other reason,Percentage,Hungary,: u,80.1 u
Annual,Dental care,Other reason,Percentage,Ireland,:,59.1 u
Annual,Dental care,Other reason,Percentage,Italy,0.0 u,21.0 u
Annual,Dental care,Other reason,Percentage,Lithuania,: u,30.7 u
Annual,Dental care,Other reason,Percentage,Luxembourg,: u,: u
Annual,Dental care,Other reason,Percentage,Latvia,0.7,29.1
Annual,Dental care,Other reason,Percentage,North Macedonia,71.3,:
Annual,Dental care,Other reason,Percentage,Malta,: u,: u
Annual,Dental care,Other reason,Percentage,Netherlands,: u,: u
Annual,Dental care,Other reason,Percentage,Norway,: u,:
Annual,Dental care,Other reason,Percentage,Poland,22.6,61.5
Annual,Dental care,Other reason,Percentage,Portugal,2.7,46.7
Annual,Dental care,Other reason,Percentage,Romania,14.6,12.8 u
Annual,Dental care,Other reason,Percentage,Serbia,: u,:
Annual,Dental care,Other reason,Percentage,Sweden,: u,: u
Annual,Dental care,Other reason,Percentage,Slovenia,: u,15.4
Annual,Dental care,Other reason,Percentage,Slovakia,9.9 u,: u
Annual,Dental care,Other reason,Percentage,United Kingdom,: u,:
Annual,Dental care,Too expensive,Percentage,Austria,: u,: u
Annual,Dental care,Too expensive,Percentage,Belgium,89.4,39.5
Annual,Dental care,Too expensive,Percentage,Bulgaria,94.9 u,: u
Annual,Dental care,Too expensive,Percentage,Switzerland,:,: u
Annual,Dental care,Too expensive,Percentage,Cyprus,95.8 u,90.3 u
Annual,Dental care,Too expensive,Percentage,Czechia,5.8 u,0.0 u
Annual,Dental care,Too expensive,Percentage,Germany,: u,:
Annual,Dental care,Too expensive,Percentage,Denmark,: u,4.4
Annual,Dental care,Too expensive,Percentage,Estonia,52.2 u,6.1
Annual,Dental care,Too expensive,Percentage,Greece,98.2,: u
Annual,Dental care,Too expensive,Percentage,Spain,99.4,71.0
Annual,Dental care,Too expensive,Percentage,European Union - 27 countries (2007-2013),: u,:
Annual,Dental care,Too expensive,Percentage,European Union - 27 countries (from 2020),: u,37.7
Annual,Dental care,Too expensive,Percentage,European Union - 28 countries (2013-2020),: u,:
Annual,Dental care,Too expensive,Percentage,Finland,: u,0.0 n
Annual,Dental care,Too expensive,Percentage,France,38.9 u,30.6
Annual,Dental care,Too expensive,Percentage,Croatia,: u,: u
Annual,Dental care,Too expensive,Percentage,Hungary,: u,12.4 u
Annual,Dental care,Too expensive,Percentage,Ireland,:,2.7 u
Annual,Dental care,Too expensive,Percentage,Italy,81.5 u,42.9 u
Annual,Dental care,Too expensive,Percentage,Lithuania,: u,0.0 u
