Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Ireland,-12.0 e,10.6 e,8.6 e,15.8 e,18.7 e,19.8 e,:,6.7,-4.1,8.8,15.3,25.6,12.5,34.5,0.2,8.1,21.8,-2.9,-7.9,11.9,2.5,-25.2,8.9,2.3,-15.4,-8.8,-8.0,-2.0,-3.1
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Italy,3.9,1.3,1.6,2.1,7.2,5.1,4.2,2.2,4.3,3.2,4.7,5.6,8.3,4.4,-1.8,1.6,1.6,-1.7,-2.6,0.1,-1.4,-0.2,-1.0,1.0,0.2,3.2,0.9,1.7,-1.7
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Lithuania,5.1,2.7,4.4,5.0,3.9,2.5,0.3,2.3,4.6,6.1,8.6,11.1,22.4,4.7,-12.9,-3.5,-0.5,1.8,1.4,-1.6,1.6,4.8,4.2,2.8,1.8,-2.9,4.5,6.1,4.7
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Luxembourg,-10.1,5.8,19.2,7.2,17.9,21.8,28.5,14.2,-2.4,35.1,8.0,26.1,128.4,-2.9,-1.0,-32.4,38.6,20.7,11.1,18.3,12.5,4.1,12.0,10.2,8.5,47.1,36.0,32.4,-2.5
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Latvia,-3.9,2.7,9.8,8.5,3.5,2.7,5.2,6.2,6.3,12.0,15.5,21.6,18.7,9.8,-3.9,-3.7,2.7,-0.5,-0.5,11.3,-2.3,3.2,2.7,1.9,-2.3,-1.6,0.0,3.2,0.2
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Malta,7.9 p,7.9 p,7.8 p,7.7 p,7.6 p,7.4 p,7.5 p,7.4 p,5.3 p,4.4,10.2,-2.7,25.5,23.2,17.3,15.1,14.5,4.3,3.8,11.4,15.7,6.8,23.6,19.3,26.1,-5.2,9.3,16.3,19.2
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Netherlands,0.3,4.1,3.9,6.1,8.5,5.7,3.8,3.0,4.8,3.1,7.0,3.6,7.9,6.5,0.8,17.4,19.4,7.9,11.2,2.0,1.7,4.7,12.3,0.7,-1.5,-1.0,4.7,7.6,-0.2 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Poland,4.3,5.2,3.4,6.2,3.6,3.9,2.5,0.6,0.9,-1.2,1.2,6.0,4.9,8.0,1.1,1.1,3.4,2.9,1.0,2.1,3.2,2.6,1.8,2.2,2.5,1.2,2.4,3.3,1.5
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Portugal,-1.8,7.3,5.2,8.7,5.7,11.2,9.3,4.1,4.8,9.9,1.6,2.9,9.5,11.4,3.4,8.9,3.5,0.3,-1.2,-0.5,1.6,-2.0,1.3,-0.3,-0.4,2.8,0.9,1.0,-2.9 e
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Romania,3.3 e,4.9 e,4.8 e,6.0,-2.4,2.8,6.3,6.4,4.9,7.3,7.6,9.7,11.5,9.9,0.9,0.8,2.1,0.4,-1.0,-2.0,-0.3,-0.1,0.6,1.1,1.0,0.4,2.6,2.9,1.8 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Sweden,-2.3,1.2,1.3,10.1,8.7,11.1,8.8,2.8,2.1,3.5,7.1,7.4,19.1,18.5,0.9,3.2,6.1,-5.1,-3.1,-0.6,2.5,1.0,3.2,4.0,4.8,10.8,10.2,11.7,2.3
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Slovenia,6.9,3.3,5.4,7.3,8.7,8.2,8.8,6.9,7.1,7.4,9.6,9.7,17.8,15.1,1.5,0.7,1.9,-2.6,-3.7,-5.2,-6.3,-2.0,-1.2,-0.3,0.5,-1.3,2.9,3.5,-0.1
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-financial corporations,Slovakia,7.6,6.6,5.7,8.5,-1.1,-9.6,3.1,5.1,0.5,-1.5,1.0,2.8,3.6,6.0,-0.9,0.2,1.2,-0.5,1.0,-1.0,1.2,6.4,1.9,1.7,1.2,2.3,2.0,4.3,0.4
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Austria,2.7 e,2.1,1.9,1.3,3.1,2.7,2.3,2.4,2.1,3.1,3.2,2.6,1.9,0.9,0.3,0.3,0.9,0.1,0.4,0.6,0.8,1.0,1.2,1.4,1.5,1.4,2.1,1.4,-0.7
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.7,1.8,2.6,2.3,2.3,2.6,2.8,3.7,2.4,3.2,2.9,1.3 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Bulgaria,0.0,0.0,0.9,1.2,0.2,0.5,1.2,1.4,3.2,4.8,5.9,4.2,9.5,7.6,0.0,0.1,0.1,-0.3,0.2,0.2,-0.1,0.8,1.7,2.3,2.5,1.6,3.0,3.0,3.3
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Cyprus,17.4,5.4,12.6,11.0,18.8,8.5,2.7,2.0,0.5,6.7,21.8,7.7,14.2,13.5,7.6,9.2,5.7,3.3,-7.9,-2.0,-0.4,0.2,0.8,3.0,0.4,3.2,2.8,-1.4,0.7 p
