Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Austria,26 u,23 u,28 u,23 u,19 u,20 u,20 u,36 u,19 u,29 u,25 u,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Bosnia and Herzegovina,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Belgium,27.0,27.0,27.0,28.0,28.0,28.0,33.0,33.0,33.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Bulgaria,8.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Switzerland,23.0,23.0,23.0,23.0,24.0,23.0,22.0,23.0,26.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Cyprus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Czechia,12.0,12.0,10.0,10.0,12.0,13.0,15.0,14.0,16.0,15.0,16.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Germany,120.0,124.0,127.0,128.0,129.0,128.0,127.0,124.0,121.0,117.0,114.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Euro area – 20 countries (from 2023),1039.0,1026.0,1022.0,1028.0,1044.0,1048.0,1056.0,1071.0,1054.0,1061.0,1071.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Estonia,6.0,5.0,6.0,7.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Greece,30.0,29.0,27.0,37.0,41.0,25.0,29.0,24.0,12.0,28.0,33.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Spain,214.0,210.0,207.0,204.0,210.0,215.0,228.0,230.0,234.0,237.0,235.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,European Union - 27 countries (from 2020),1292.0,1256.0,1274.0,1267.0,1277.0,1294.0,1316.0,1331.0,1336.0,1320.0,1331.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Finland,29.0,26.0,36.0,29.0,31.0,28.0,27.0,29.0,28.0,28.0,32.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,France,264.0,265.0,267.0,271.0,282.0,294.0,303.0,308.0,310.0,310.0,301.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Croatia,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Hungary,18.0,19.0,19.0,18.0,19.0,20.0,21.0,22.0,23.0,23.0,22.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Ireland,21.0,18.0,17.0,17.0,16.0,16.0,19.0,18.0,20.0,21.0,21.0,22.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Iceland,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Italy,142.0,142.0,142.0,127.0,127.0,127.0,113.0,113.0,113.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Lithuania,5.0,5.0,5.0,6.0,6.0,7.0,9.0,11.0,11.0,8.0,9.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Luxembourg,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Latvia,4.0,5.0,5.0,6.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Malta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Netherlands,70.0,74.0,73.0,74.0,73.0,77.0,76.0,79.0,81.0,80.0,79.0,76.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Norway,25.0,22.0,23.0,28.0,26.0,25.0,23.0,23.0,24.0,26.0,20.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Poland,60.0,58.0,54.0,50.0,48.0,50.0,53.0,56.0,57.0,57.0,58.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Portugal,43.0,41.0,44.0,41.0,43.0,36.0,33.0,33.0,38.0,41.0,40.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Romania,41.0,41.0,41.0,45.0,45.0,45.0,55.0,55.0,55.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Sweden,82.0,66.0,81.0,78.0,69.0,83.0,80.0,69.0,86.0,73.0,79.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Slovenia,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Slovakia,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,Türkiye,399.0,381.0,410.0,377.0,392.0,437.0,473.0,433.0,455.0,478.0,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Thousand persons,United States,635.0,894.0,917.0,845.0,869.0,878.0,925.0,959.0,897.0,899.0,849.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Austria,25 u,23 u,25 u,26 u,30 u,29 u,30 u,31 u,32 u,30 u,30 u,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Bosnia and Herzegovina,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Belgium,44.0,44.0,44.0,44.0,44.0,44.0,47.0,47.0,47.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Bulgaria,12.0,12.0,12.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Switzerland,23.0,23.0,22.0,20.0,20.0,22.0,26.0,28.0,31.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Males,Thousand persons,Cyprus,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,:,:,:
