Time frequency,Interest rate,Geopolitical entity (reporting)\Time,Janvier-Mars 1970,Avril-Juin 1970,Jullet-Septembre 1970,Octobre-Décembre 1970,Janvier-Mars 1971,Avril-Juin 1971,Jullet-Septembre 1971,Octobre-Décembre 1971,Janvier-Mars 1972,Avril-Juin 1972,Jullet-Septembre 1972,Octobre-Décembre 1972,Janvier-Mars 1973,Avril-Juin 1973,Jullet-Septembre 1973,Octobre-Décembre 1973,Janvier-Mars 1974,Avril-Juin 1974,Jullet-Septembre 1974,Octobre-Décembre 1974,Janvier-Mars 1975,Avril-Juin 1975,Jullet-Septembre 1975,Octobre-Décembre 1975,Janvier-Mars 1976,Avril-Juin 1976,Jullet-Septembre 1976,Octobre-Décembre 1976,Janvier-Mars 1977,Avril-Juin 1977,Jullet-Septembre 1977,Octobre-Décembre 1977,Janvier-Mars 1978,Avril-Juin 1978,Jullet-Septembre 1978,Octobre-Décembre 1978,Janvier-Mars 1979,Avril-Juin 1979,Jullet-Septembre 1979,Octobre-Décembre 1979,Janvier-Mars 1980,Avril-Juin 1980,Jullet-Septembre 1980,Octobre-Décembre 1980,Janvier-Mars 1981,Avril-Juin 1981,Jullet-Septembre 1981,Octobre-Décembre 1981,Janvier-Mars 1982,Avril-Juin 1982,Jullet-Septembre 1982,Octobre-Décembre 1982,Janvier-Mars 1983,Avril-Juin 1983,Jullet-Septembre 1983,Octobre-Décembre 1983,Janvier-Mars 1984,Avril-Juin 1984,Jullet-Septembre 1984,Octobre-Décembre 1984,Janvier-Mars 1985,Avril-Juin 1985,Jullet-Septembre 1985,Octobre-Décembre 1985,Janvier-Mars 1986,Avril-Juin 1986,Jullet-Septembre 1986,Octobre-Décembre 1986,Janvier-Mars 1987,Avril-Juin 1987,Jullet-Septembre 1987,Octobre-Décembre 1987,Janvier-Mars 1988,Avril-Juin 1988,Jullet-Septembre 1988,Octobre-Décembre 1988,Janvier-Mars 1989,Avril-Juin 1989,Jullet-Septembre 1989,Octobre-Décembre 1989,Janvier-Mars 1990,Avril-Juin 1990,Jullet-Septembre 1990,Octobre-Décembre 1990,Janvier-Mars 1991,Avril-Juin 1991,Jullet-Septembre 1991,Octobre-Décembre 1991,Janvier-Mars 1992,Avril-Juin 1992,Jullet-Septembre 1992,Octobre-Décembre 1992,Janvier-Mars 1993,Avril-Juin 1993,Jullet-Septembre 1993,Octobre-Décembre 1993,Janvier-Mars 1994,Avril-Juin 1994,Jullet-Septembre 1994,Octobre-Décembre 1994,Janvier-Mars 1995,Avril-Juin 1995,Jullet-Septembre 1995,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998,Janvier-Mars 1999,Avril-Juin 1999,Jullet-Septembre 1999,Octobre-Décembre 1999,Janvier-Mars 2000,Avril-Juin 2000,Jullet-Septembre 2000,Octobre-Décembre 2000,Janvier-Mars 2001,Avril-Juin 2001,Jullet-Septembre 2001,Octobre-Décembre 2001,Janvier-Mars 2002,Avril-Juin 2002,Jullet-Septembre 2002,Octobre-Décembre 2002,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014
Quarterly,Day-to-day rate,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.69433,6.48451,5.46793,6.16326,6.10133,4.76396,4.96185,5.45141,4.76456,4.06659,4.0925,4.4725,4.0156,3.7,5.11924,5.52641,6.58411,7.0656,7.4788,8.74054,8.39356,8.32396,8.3237,9.10043,9.10156,8.85681,9.1963,9.2463,9.51978,9.52165,9.53957,8.70109,8.24711,7.44242,6.99022,6.17391,5.408,5.16967,4.75011,4.73337,4.74967,4.40308,4.23924,4.04261,3.2989,3.01659,3.27489,3.16652,3.15789,3.24648,3.25978,3.40685,3.36656 d,3.37341 d,3.37000 d,3.31946 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Belgium,6.27467,6.51912,6.21315,6.04793,3.84333,2.91923,4.09902,3.98348,2.54363,2.11967,2.25902,3.1162,3.12644,3.15297,5.8163,7.10348,8.49111,9.44088,9.81761,9.24054,5.27744,4.53593,4.79163,4.10913,5.65868,7.13319,9.84152,10.60207,6.07689,5.99264,4.7587,5.12837,5.484,3.90692,4.60989,6.93978,6.02111,5.88802,9.28402,10.65978,11.3667,13.42055,10.39283,9.75359,9.83767,12.78033,11.24989,12.04859,11.47644,12.35604,11.71717,10.19533,10.283,8.00121,6.97207,7.47087,8.70637,9.89374,9.78859,9.53424,9.11744,8.76418,7.62359,7.58652,7.90511,6.75978,6.16098,5.71902,6.82422,5.56055,5.22652,5.04239,4.77319,4.64593,5.23859,5.48478,6.03789,6.54516,7.25054,8.16587,8.46056,8.23538,8.46489,8.04207,9.67411,9.17264,9.22337,9.46348,9.55,9.55857,9.53739,8.82707,8.643,7.50912,9.87163,8.6813,6.71311,5.45593,4.9038,4.94707,5.31544,4.70934,4.3888,3.97652,3.43582,3.25659,3.12457,3.01337,3.18967,3.17967,3.50043,3.56141,3.55144 d,3.58352 d,3.47391 d,3.44326 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,5.63,5.84637,5.03435,5.53033,5.14868,6.42681,6.48022,6.39641,6.17811,6.07473,4.61109,3.7887,3.37622,3.52989,3.57467,3.63185,3.33478,3.63692,3.44674,3.43,3.29297,4.24769,4.71043,4.56804,4.51867,3.94132,3.14359,2.90348,2.80067,2.78,2.82239,3.26924,3.47789,3.6,3.94598,4.20663,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Germany,:,:,:,:,:,:,:,:,:,:,:,:,6.51656,11.00659,12.08163,11.25283,10.42856,7.50286,9.30761,8.28641,5.64844,5.03088,3.43033,3.54837,3.50483,3.6111,4.34011,4.0912,4.49089,4.24835,4.10098,3.71761,3.42267,3.54,3.37859,3.10467,3.70322,5.33143,6.19337,8.25424,8.31209,9.63187,9.33065,8.97902,10.48333,11.69154,11.98315,10.89761,9.99456,9.19901,8.59674,6.87511,5.69867,5.00703,5.17402,5.57,5.54022,5.51692,5.54326,5.58076,5.71456,5.63044,4.83261,4.59652,4.69333,4.48132,4.49783,4.62185,3.97467,3.68341,3.74033,3.49272,3.22802,3.42857,4.62587,4.75141,5.58178,6.2145,6.85946,7.69163,7.68733,7.77934,8.02663,8.1975,8.659,8.73824,8.94196,9.01641,9.57319,9.61989,9.57946,8.8937,8.557,7.90604,7.03717,6.45359,6.11667,5.38637,4.92793,4.9525,4.91767,4.62374,4.39207,4.08022,3.4456,3.34648,3.2113,3.09337,3.13344,3.05286,3.11685,3.43304,3.45211 d,3.42978 d,3.44967 d,3.32228 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,3.76,4.32,4.68,5.09852,4.49111,4.1333,3.9225,3.17761,2.99378,3.06989,3.07967,3.0025,2.71111,2.36495,1.99022,2.0,2.0,2.0,2.0,2.0,2.0,1.96648,1.95,: m,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.58,16.46,16.92,18.2,20.46,21.92,18.2,18.56,18.99,15.31,12.8,15.42,15.63,15.36,12.59,20.28,19.47,21.41,19.37,20.6,23.64,25.54,17.11,19.83,25.43,19.87,21.18,24.45,24.23,17.46,23.79,28.31,25.99,21.8,23.75,22.37,19.73,38.8,18.64,17.93,16.9,16.16,15.47,14.8,13.83,13.53,12.9,12.96,12.07,11.03,11.44,17.13,13.79,12.39,12.14,12.03,10.6,10.31,10.31,10.41,9.22,8.51,8.05,7.17 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7.85122,13.22791,12.2137,5.17065,6.76233,6.01198,6.26206,7.68022,10.66319,8.43121,13.28511,7.45935,14.41511,9.14055,15.8976,12.93032,4.81,12.31549,32.76282,33.22445,11.394,16.96604,14.3062,9.99239,13.8145,16.97527,14.13783,16.94499,14.53989,16.41099,17.15108,18.16956,14.95244,17.52329,15.02337,21.31999,17.25199,20.42021,21.73793,18.40837,14.37186,11.81791,12.11239,11.98924,11.87756,12.39571,12.25283,9.90533,10.09911,12.08945,12.06522,11.71022,13.05211,18.55802,17.74315,14.95043,12.24582,10.76385,10.47217,11.69359,13.22889,14.10879,15.07076,15.16652,14.96356,14.66,14.66685,14.74043,14.405,13.13703,12.65065,12.61,12.55934,12.30791,12.89859,14.25989,14.93878,13.17835,11.11326,9.80902,8.65189,7.69923,7.46109,7.43359,8.24633,8.89132,9.41424,9.38272,8.84945,7.59736,7.38728,6.75543,6.026,5.47,5.38076,5.06207,4.89044 d,4.41231 d,4.49022 d,3.55261 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.45844,9.30132,8.84446,8.1512,8.32154,8.12022,9.18728,8.17598,8.16144,10.86956,9.335,12.70587,10.37,8.85681,8.86185,14.39815,16.34978,14.28703,13.10087,15.79467,12.17077,15.06253,15.02924,11.03402,9.29322,8.39429,6.66337,6.6488,4.85756,4.17791,4.19804,4.32359,4.77056,5.27429,5.87652,5.03815,4.06022,3.76934,3.53065,3.1687,2.67433,2.83308,2.97576,2.95054,3.02156 d,3.32527 d,3.34424 d,3.34902 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,France,:,:,:,:,:,:,:,:,:,:,:,:,7.46889,7.54516,8.82022,11.03076,12.66944,12.76451,13.72837,12.4612,10.19111,7.72527,7.13228,6.64902,7.06374,7.54626,8.98717,10.61609,9.84033,9.04385,8.48576,8.87565,9.65644,8.10637,7.29435,6.8563,6.69722,7.34176,10.04989,11.86239,12.3778,12.48143,11.57891,10.94891,11.13044,16.06296,17.92162,16.09402,15.19722,16.40011,14.58511,13.32489,12.77344,12.53912,12.49935,12.32957,12.39516,12.10264,11.41391,11.05196,10.62589,10.29198,9.71826,9.11815,8.71111,7.64505,7.14054,7.47196,8.38411,7.98044,7.41054,8.12413,7.53934,7.33341,7.36163,7.8638,8.53122,8.58253,9.0613,10.10793,10.42689,9.82582,9.87087,9.69706,9.58256,9.54176,9.28424,9.52587,9.96769,9.90637,11.13761,10.37913,11.49444,8.47637,8.19946,6.83315,6.39689,5.75,5.32348,5.31337,6.06678,7.55418,6.16587,5.65978,4.25791,3.78956,3.54739,3.32011,3.22411,3.19,3.19,3.35978,3.38000 d,3.38000 d,3.38000 d,3.28228 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
Quarterly,Day-to-day rate,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,12.29911,10.45494,11.27413,13.50543,15.00556,16.53571,12.0,12.19054,14.26667,9.58439,9.74859,11.14413,9.62055,9.64835,11.43717,14.53293,13.08211,7.90879,7.0,5.31359,6.56978,9.52989,10.12391,11.41163,16.37533,17.43824,16.57206,16.11989,21.73099,17.64242,15.22391,13.34293,13.57289,14.36516,18.21466,17.5687,19.38799,19.5668,16.8027,13.42935,20.01233,14.83165,13.27967,12.04511,12.24945,11.44615,12.3362,13.44804,15.03333,12.40495,10.54587,9.83152,14.25711,10.65736,9.54109,12.88,14.06944,11.94967,8.68326,7.71163,7.97275,7.01769,7.63674,8.17935,7.71356,8.26527,10.2337,11.09435,12.779,12.04505,10.92663,10.40228,11.09756,10.57011,9.97913,10.19337,10.39308,9.9544,14.34359,27.73011,39.66733,7.57582,6.37913,6.74065,5.988,5.47352,5.12467,4.71772,5.413,5.72187,5.74196,5.56109,5.08143,5.10286,5.37315,5.33522,5.54,6.09462,6.14946,6.53207,6.40333 d,6.60923 d,6.18163 d,3.91772 d,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:,:,:,:,:,:,:
