Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Albania,:,:,:,:,:,:,:,:,1.0,:
Annual,Rate,Shqipëria,:,:,:,:,:,:,:,:,1.0,:
Annual,Rate,Austria,1.0,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Ostösterreich,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3
Annual,Rate,Burgenland,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7
Annual,Rate,Niederösterreich,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Annual,Rate,Wien,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1
Annual,Rate,Südösterreich,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Rate,Kärnten,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Annual,Rate,Steiermark,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Westösterreich,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8
Annual,Rate,Oberösterreich,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Annual,Rate,Salzburg,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Tirol,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Annual,Rate,Vorarlberg,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3
Annual,Rate,Belgium,1.0,1.0 b,1.0 d,1.0 d,1.0 d,1.0,1.0,1.0 d,1.0 d,1.0 d
Annual,Rate,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2.1,2.2 b,2.2 d,2.1 d,2.1 d,2.0,2.1,2.2 d,2.2 d,2.3 d
Annual,Rate,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2.1,2.2 b,2.2 d,2.1 d,2.1 d,2.0,2.1,2.2 d,2.2 d,2.3 d
Annual,Rate,Vlaams Gewest,0.9,0.9 b,0.9 d,0.9 d,0.9 d,0.9,0.8,0.8 d,0.8 d,0.8 d
Annual,Rate,Prov. Antwerpen,0.8,0.8 b,0.8 d,0.8 d,0.8 d,0.9,0.8,0.8 d,0.8 d,0.8 d
Annual,Rate,Prov. Limburg (BE),0.6,0.6 b,0.6 d,0.6 d,0.6 d,0.6,0.5,0.5 d,0.6 d,0.5 d
Annual,Rate,Prov. Oost-Vlaanderen,1.3,1.2 b,1.1 d,1.2 d,1.1 d,1.2,1.2,1.2 d,1.2 d,1.2 d
Annual,Rate,Prov. Vlaams-Brabant,1.1,1.2 b,1.2 d,1.2 d,1.2 d,0.9,0.9,0.9 d,0.9 d,0.9 d
Annual,Rate,Prov. West-Vlaanderen,0.5,0.5 b,0.4 d,0.5 d,0.5 d,0.5,0.5,0.5 d,0.5 d,0.5 d
Annual,Rate,Région wallonne,0.8,0.9 b,0.9 d,0.9 d,0.9 d,0.9,0.9,0.9 d,0.9 d,0.9 d
Annual,Rate,Prov. Brabant wallon,1.6,1.7 b,1.6 d,1.6 d,1.5 d,1.7,1.5,1.7 d,1.7 d,1.7 d
Annual,Rate,Prov. Hainaut,0.6,0.6 b,0.6 d,0.7 d,0.7 d,0.7,0.7,0.7 d,0.6 d,0.6 d
Annual,Rate,Prov. Liège,1.0,1.0 b,1.0 d,1.1 d,1.0 d,1.1,1.1,1.1 d,1.1 d,1.1 d
Annual,Rate,Prov. Luxembourg (BE),0.3,0.4 b,0.4 d,0.4 d,0.4 d,0.4,0.4,0.4 d,0.3 d,0.3 d
Annual,Rate,Prov. Namur,0.9,0.9 b,0.9 d,0.9 d,0.9 d,0.9,0.9,0.9 d,0.9 d,0.9 d
Annual,Rate,Extra-Regio NUTS 1,:,:,:,: d,: d,:,:,:,:,:
Annual,Rate,Extra-Regio NUTS 2,:,:,:,: d,: d,:,:,:,:,:
Annual,Rate,French Community in Belgium including small German-speaking Community,:,:,:,: d,: d,:,:,:,:,:
Annual,Rate,Flemish Community in Belgium,:,:,:,: d,: d,:,:,:,:,:
Annual,Rate,Bulgaria,1.0,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Severna i Yugoiztochna Bulgaria,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Annual,Rate,Severozapaden,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
Annual,Rate,Severen tsentralen,1.4,1.4,1.4,1.3,1.3,1.2,1.1,1.1,1.1,1.1
Annual,Rate,Severoiztochen,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.1,1.0,1.1
Annual,Rate,Yugoiztochen,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Annual,Rate,Yugozapadna i Yuzhna tsentralna Bulgaria,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Annual,Rate,Yugozapaden,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Annual,Rate,Yuzhen tsentralen,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Annual,Rate,Extra-Regio NUTS 1,: m,: m,: m,: m,: m,:,:,:,:,:
Annual,Rate,Extra-Regio NUTS 2,: m,: m,: m,: m,: m,:,:,:,:,:
Annual,Rate,Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,:,1.0,1.0
Annual,Rate,Schweiz/Suisse/Svizzera,1.0,1.0,0.9,0.9,0.9,0.9,0.9,:,0.9,0.9
Annual,Rate,Région lémanique,1.2,1.2,1.2,1.1,1.2,1.2,1.2,:,1.2,1.2
Annual,Rate,Espace Mittelland,0.9,0.9,0.9,0.9,0.9,0.9,0.9,:,0.9,0.8
Annual,Rate,Nordwestschweiz,0.5,0.5,0.5,0.5,0.5,0.5,0.5,:,0.5,0.4
Annual,Rate,Zürich,1.6,1.6,1.6,1.6,1.6,1.6,1.6,:,1.6,1.6
Annual,Rate,Ostschweiz,0.6,0.6,0.6,0.6,0.6,0.6,0.6,:,0.6,0.6
Annual,Rate,Zentralschweiz,0.7,0.7,0.7,0.7,0.7,0.7,0.7,:,0.8,0.8
Annual,Rate,Ticino,0.6,0.6,0.6,0.6,0.6,0.6,0.6,:,0.6,0.7
Annual,Rate,Cyprus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Kýpros,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Kýpros,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Czechia,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Česko,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Rate,Praha,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.2
Annual,Rate,Střední Čechy,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Rate,Jihozápad,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
Annual,Rate,Severozápad,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3
Annual,Rate,Severovýchod,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5
Annual,Rate,Jihovýchod,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.3
Annual,Rate,Střední Morava,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9
Annual,Rate,Moravskoslezsko,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8
Annual,Rate,Germany,1.0 d,:,1.0 d,:,:,1.0,1.0 bd,1.0,1.0,1.0
Annual,Rate,Baden-Württemberg,1.0 d,1.0 d,1.0 d,:,:,: d,: d,0.9 d,0.9 d,0.9 d
