Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Barley,Palestine*,22.2 e,13.9 e,15.0 e,9.7 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Barley,Tunisia,465.2,354.1,535.2,254.0,854.9,236.9,680.9,724.0,289.1,772.5,364.3,361.2,:,:,:,:,:,:
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Algeria,1.1,2.5,1.6,1.0,0.6,0.4,0.6,1.8,1.2,2.6,2.8,3.7,2.6,5.5,6.3,3.2,18.4,:
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Egypt,7698.0,6908.6,6929.5,7401.4,7686.1,7183.0,6876.5,8093.6,7965.7,8059.9,8523.0,8541.0,9350.0,9154.0,7593.1,8383.6,:,:
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Israel,1.5,1.6,1.6,2.0,2.5,2.5,3.5,3.0,4.2,5.2,5.2,6.2,6.2,6.5,6.5,2.8,5.0,3.3
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Jordan,30.8 e,14.5 e,17.8 e,19.2 e,19.8 e,29.0 e,16.5 e,14.4 e,14.2 e,9.5,26.4 e,29.9,37.2,17.4,20.9,19.0,22.5,22.9
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Lebanon,0.9,3.1,3.1,3.6,4.7,:,:,:,:,:,1.8 e,2.7 e,4.9 e,:,:,:,7.4 e,:
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Libya,:,:,:,:,:,21000.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Morocco,50.1 d,297.4 d,94.9 d,120.9 d,204.5 d,279.2 d,221.3 d,90.2 d,118.1 d,97.4 d,95.0 d,128.8 d,122.4 d,118.4 d,40.5 d,29.9 d,48.6 d,35.8 dp
Annual,Thousand tonnes,Grain maize and corn-cob-mix,Palestine*,11.2 e,16.4 e,14.9 e,12.5 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Rice,Algeria,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Rice,Egypt,6125.3,6755.0,6876.8,7253.4,5520.5,4329.5,5675.0,5911.1,6805.4,5467.4,4818.0,5309.0,4961.0,3124.0,4804.3,4440.9,:,:
Annual,Thousand tonnes,Rice,Israel,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Rice,Lebanon,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.9 e,1.8 e,1.8 e,:,:,:,2.5 e,:
Annual,Thousand tonnes,Rice,Morocco,42.8,34.0,33.2,44.5,50.0,50.5,17.8,69.6,37.7,33.1,63.3,53.4,57.7,63.0,64.6,4.7,50.9,49.1 p
Annual,Thousand tonnes,Rice,Palestine*,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Apples,Algeria,199.7,283.2,190.0,261.0,267.5,378.6,404.1,397.5,455.9,462.8,451.5,500.8,494.2,487.8,558.8,566.8,522.3,:
Annual,Thousand tonnes,Apples,Egypt,578.2,570.3,557.9,550.7,508.8,493.1,455.8,541.2,629.6,623.6,696.0,755.0,716.0,716.0,701.0,751.0,:,:
Annual,Thousand tonnes,Apples,Israel,140.3,121.6,101.2,97.4,114.7,131.5,119.2,113.4,112.1,77.8,108.0,100.0,113.0,102.0,104.0,104.0,104.0,101.0
Annual,Thousand tonnes,Apples,Jordan,45.6 e,46.4 e,31.5 e,34.9 e,31.1 e,28.8 e,39.7 e,36.4 e,40.6 e,39.9,56.6 e,55.2,24.5,20.5,21.1,19.6,17.0,15.7
Annual,Thousand tonnes,Apples,Lebanon,114.8,121.5,125.2,133.1,138.1,:,:,:,:,:,300.6 e,344.5 e,316.2 e,:,:,:,228.7 e,:
Annual,Thousand tonnes,Apples,Morocco,315.3,373.8,426.8,404.4,422.3,445.3,517.6,485.6,583.2,536.2,674.1,687.2,820.5,696.9,809.8 e,778.9,889.7,922.8 p
