Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Olives for oil,Jordan,90.5 e,117.5 e,100.0 e,75.3 e,112.6 e,137.3 e,105.5 e,124.5 e,102.5 e,124.6,160.7 e,90.7,113.4,97.6,169.2,135.4,119.5,129.2
Annual,Thousand tonnes,Olives for oil,Libya,69347.0,:,99450.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives for oil,Morocco,358.5 e,428.9 e,438.3 e,496.3 e,602.5 e,1083.2 e,1053.9 e,986.8 e,886.3 e,1179.9 e,858.2 e,1062.1 e,779.3 e,1171.1 e,1434.2 e,:,:,:
Annual,Thousand tonnes,Olives for oil,Palestine*,27.3 de,159.1 d,36.0 de,76.4 de,19.9 d,102.2 d,93.6 d,104.8 d,65.8 d,108.4 d,95.1 d,84.1 d,87.8 d,59.3 d,177.6 d,:,:,:
Annual,Thousand tonnes,Olives for oil,Tunisia,650.0,1050.0,900.0,1000.0,800.0,750.0,600.0,962.7,1100.0 p,400.0,1700.0,700.0,500.0,:,:,:,:,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Algeria,2156.5,2181.0,1506.9,2171.1 p,2636.1,3300.3,3862.2,4219.5,4886.5,4673.5,4539.6,4759.7,4606.4,4653.7,5020.2,4659.5,4360.8,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Egypt,2167.4,2312.8,2760.5,3567.1,3659.3,3634.2,4338.4,4758.0,4265.2,4611.0,4955.0,4113.0,4841.0,4960.0,5200.0,6786.5,:,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Israel,593.9,588.2,658.8,661.5,613.5,544.7,621.1,565.6,590.5,627.7,576.1,597.7,522.4,526.9,524.0,528.0,522.9,488.2
Annual,Thousand tonnes,Potatoes (including seed potatoes),Jordan,172.1 e,160.0 e,98.9 e,139.8 e,118.7 e,174.9 e,216.5 e,141.6 e,103.2 e,204.1,188.3 e,273.9,155.6,153.2,173.7,147.9,189.4,144.8
Annual,Thousand tonnes,Potatoes (including seed potatoes),Lebanon,511.4,398.0,514.6,385.4,425.0,:,:,:,:,:,607.7 e,632.0 e,651.9 e,:,:,:,532.1 e,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Libya,:,:,1820.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Morocco,1478.5,1569.1,1437.2,1536.6,1629.4,1434.1,1721.4,1656.9,1928.6,1951.0,1924.4,1743.6,1924.9,1869.1,1864.0,1707.0,1641.8,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Palestine*,54.8 e,65.5 e,62.8 e,69.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Tunisia,310.0,365.0,357.0,370.0,324.0,370.0,367.0,340.0,385.0,390.0,400.0,440.0,:,:,:,:,:,:
Annual,Thousand tonnes,Sugar beet (excluding seed),Egypt,3429.5,3905.0,5458.2,5135.3,5333.5,7840.3,7486.1,9126.1,10044.3,11046.0,11983.0,11209.0,10861.0,10377.0,:,10284.1,:,:
Annual,Thousand tonnes,Sugar beet (excluding seed),Israel,:,:,:,:,:,:,:,:,:,31.8,40.7,38.3,36.6,42.7,35.5,32.8,:,:
Annual,Thousand tonnes,Sugar beet (excluding seed),Lebanon,79.2,35.0,30.9,1.0,1.0,:,:,:,:,:,:,:,:,:,:,:,1.8 e,:
Annual,Thousand tonnes,Sugar beet (excluding seed),Morocco,3301.5,2551.7,2484.0,2925.7,2753.4,2435.9,3035.1,1626.7,2142.2,3208.6,3875.6,4218.9,3741.4,3710.5,3692.9,3631.5,2574.0,1898.0 p
Annual,Thousand tonnes,Sugar beet (excluding seed),Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,34.0,78.0,76.4,:,:,:,:,:,:,:
Annual,Thousand tonnes,Strawberries,Egypt,157.4,262.4,174.4,200.3,242.8,338.4,240.3,242.3,262.4,283.5,435.0,379.0,319.0,445.0,545.0,438.4,:,:
Annual,Thousand tonnes,Strawberries,Israel,17.3,17.8,19.5,26.9,23.6,22.1,20.6,24.2,25.6,26.9,22.1,24.0,22.4,20.8,24.6,27.1,24.3,31.6
Annual,Thousand tonnes,Strawberries,Jordan,:,:,:,:,:,:,:,:,:,:,:,8.4,3.0,1.1,2.5,5.9,6.9,4.1
Annual,Thousand tonnes,Strawberries,Lebanon,3.3,2.7,2.6,2.8,3.0,:,:,:,:,:,17.9 e,3.2 e,3.2 e,:,:,:,4.1 e,:
Annual,Thousand tonnes,Strawberries,Morocco,118.6,112.0,105.0,130.0,117.3,140.6,110.7,139.7,145.2,137.4,141.1,136.9,161.8,143.4,167.8,167.0,4.0 p,:
Annual,Thousand tonnes,Strawberries,Palestine*,6.0 e,5.3 e,:,3.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Strawberries,Tunisia,8.9,7.4,7.6,8.4,9.2,11.4,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Citrus fruits,Algeria,627.4,680.3,689.5,697.4,844.5,788.1,1106.8,1087.8,1204.9,1271.0,1341.8,1203.2,1344.2,1477.4,1583.5,1564.3,1513.4,:
Annual,Thousand tonnes,Citrus fruits,Egypt,3030.2,3211.7,3134.2,3233.5,3510.9,3523.0,3730.7,3980.2,4098.6,4402.2,4647.0,4273.0,4453.0,4331.0,4247.0,4344.0,:,:
Annual,Thousand tonnes,Citrus fruits,Israel,652.4,586.0,648.0,541.5,592.1,563.5,476.7,671.8,586.4,574.3,617.2,534.4,584.1,497.2,539.3,518.4,433.7,562.2
Annual,Thousand tonnes,Citrus fruits,Jordan,136.3 e,139.2 e,90.4 e,91.7 e,105.2,118.6 e,107.6 e,111.7 e,98.7 e,95.2,127.1 e,125.3,108.4,116.1,123.9,104.8,106.5,122.9
Annual,Thousand tonnes,Citrus fruits,Lebanon,392.0,374.2,392.5,343.4,346.4,:,:,:,:,:,344.2 e,333.8 e,279.2 e,:,:,:,358.8 e,:
Annual,Thousand tonnes,Citrus fruits,Libya,:,:,64986.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Citrus fruits,Morocco,1230.8,1630.4,1253.6,1245.8,1735.1,1602.8,1708.0,1872.6,1463.0,2226.8,1896.8,2034.9,2362.5,2275.4,2619.1 e,1775.8,2346.0,2429.7 p
Annual,Thousand tonnes,Citrus fruits,Palestine*,61.7 e,66.5 e,58.2 e,65.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Citrus fruits,Tunisia,243.0,262.9,246.7,297.6,296.9,307.9,352.0,360.0,330.0,355.0,400.0,380.0,560.0,:,:,:,:,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Algeria,5926.5,5929.1,5524.3,6068.1,7291.3,8640.4,9569.2,10402.3,11868.2,12297.7,12469.3,13082.7,13020.3,13657.1,14670.0,15070.3,14558.6,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Egypt,20557.6,30521.5,21089.2,21635.1,23247.4,21323.9,21304.5,22630.2,21160.3,21838.0,21349.0,20035.0,19459.0,19838.0,19910.0,:,:,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Israel,1452.8,1489.7,1533.9,1358.0,1536.1,1447.0,1529.4,1495.8,1468.3,1568.3,1408.6,1459.5,1391.7,1338.5,1284.9,1244.8,1290.8,1187.8
Annual,Thousand tonnes,Fresh vegetables (including melons),Jordan,1560.8 e,1445.7 e,1403.9 e,1432.1,1508.8 e,1615.2 e,1711.8 e,1566.2 e,1742.0 e,1726.0,1859.1 e,2036.0,1578.4,1669.9,1424.6,1471.1,1783.2,1577.9
Annual,Thousand tonnes,Fresh vegetables (including melons),Morocco,6272.0,7252.0,6877.8,6913.1,7331.3,7491.7,7548.6,7685.2,7954.6,7759.7,7673.2,6467.8,7268.8,7911.3,7348.8,:,:,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Palestine*,594.1 e,646.0 e,645.2 e,696.5 e,:,:,280.5,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Tunisia,2256.0,2293.0,2478.0,2693.0,2707.0,2834.0,2654.0,2945.0,3067.0,3324.0,3638.3,3252.4,:,:,:,:,:,:
Annual,Thousand tonnes,Grapes,Algeria,334.0,398.0,245.0,402.0,492.5,560.6,402.6,543.2,570.8,518.0,568.1,571.3,566.5,503.0,549.8,554.2,630.0,:
Annual,Thousand tonnes,Grapes,Egypt,1391.7,1432.0,1485.0,1531.4,1370.2,1360.3,1320.8,1378.8,1434.7,1596.2,1687.0,1691.0,1734.0,1641.0,1595.0,1184.0,:,:
Annual,Thousand tonnes,Grapes,Israel,125.7,125.4,112.9,140.9,140.8,144.3,138.2,150.2,143.4,125.6,106.1,117.5,120.0,111.0,105.8,100.7,109.5,123.5
Annual,Thousand tonnes,Grapes,Jordan,34.5 e,32.2 e,27.6 e,26.4 e,34.5 e,29.7 e,38.4 e,35.7 e,35.2 e,34.6,62.3 e,62.3,53.5,59.8,53.9,43.0,39.4,46.1
Annual,Thousand tonnes,Grapes,Lebanon,110.6,112.3,118.9,105.9,108.0,:,:,:,:,:,149.7 e,118.8 e,77.4 e,:,:,:,130.9 e,:
Annual,Thousand tonnes,Grapes,Libya,:,:,19065.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Grapes,Morocco,207.6,240.3,198.9,219.3,211.6,261.6,292.8,277.1,345.2,359.0,418.4,364.9,378.1,451.2,459.5,396.9,420.1,320.0 p
Annual,Thousand tonnes,Grapes,Palestine*,66.2 e,52.5 e,64.8 e,55.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Grapes,Tunisia,122.0,132.7,95.0,122.0,133.0,129.0,146.7,151.0,168.0,174.5,183.8,167.0,182.5,:,:,:,:,:
