Time frequency,Price adjustment,Unit of measure,product,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Annual,Nominal index,"Index, 2000=100",220000.0,AT,99.1,97.0,96.8,100.0,101.9,101.6,103.6,107.0,108.4,111.4,118.6,128.9
Annual,Nominal index,"Index, 2000=100",220000.0,BE,97.7,94.4,93.8,100.0,102.6,103.1,103.2,103.5,107.6,110.4,121.9,139.9
Annual,Nominal index,"Index, 2000=100",220000.0,CY,:,:,:,100.0,:,:,:,142.8,154.1,157.3,172.5,200.0
Annual,Nominal index,"Index, 2000=100",220000.0,CZ,97.5,96.9,90.7,100.0,104.7,103.3,101.7,108.4,107.8,108.6,115.7,128.5
Annual,Nominal index,"Index, 2000=100",220000.0,DE,97.7,94.9,94.4,100.0,104.1,103.6,103.9,107.6,108.0,111.2,119.1,115.6
Annual,Nominal index,"Index, 2000=100",220000.0,DK,100.3,98.8,97.1,100.0,105.8,107.0,105.7,109.1,110.8,112.6,122.3,146.0
Annual,Nominal index,"Index, 2000=100",220000.0,EL,91.3,93.1,94.9,100.0,102.1,105.0,109.1,117.3,123.3,128.2,136.3,152.8
Annual,Nominal index,"Index, 2000=100",220000.0,ES,96.7,96.2,94.9,100.0,102.8,103.7,105.1,109.2,111.3,115.0,121.6,143.1
Annual,Nominal index,"Index, 2000=100",220000.0,FI,97.5,96.2,95.0,100.0,102.2,102.8,104.2,107.1,110.8,116.1,127.2,139.5
Annual,Nominal index,"Index, 2000=100",220000.0,FR,98.9,96.9,95.9,100.0,103.1,103.6,105.0,108.8,110.9,114.0,120.4,135.8
Annual,Nominal index,"Index, 2000=100",220000.0,HU,72.9,78.6,86.1,100.0,111.8,112.9,119.8,129.4,129.3,136.7,156.0,178.2
Annual,Nominal index,"Index, 2000=100",220000.0,IE,94.4,93.1,94.5,100.0,104.5,106.2,108.7,112.5,117.0,121.7,129.0,149.6
Annual,Nominal index,"Index, 2000=100",220000.0,IT,106.9,100.6,96.3,100.0,104.5,105.8,108.9,114.1,111.9,115.3,123.4,137.0
Annual,Nominal index,"Index, 2000=100",220000.0,LT,:,:,:,:,:,:,:,:,:,:,:,153.8
Annual,Nominal index,"Index, 2000=100",220000.0,LU,95.8,95.9,96.3,100.0,103.6,104.8,106.2,110.9,112.2,112.1,119.4,133.1
Annual,Nominal index,"Index, 2000=100",220000.0,LV,95.1,98.2,98.7,100.0,101.6,102.3,106.6,115.2,135.9,147.8,165.2,199.0
Annual,Nominal index,"Index, 2000=100",220000.0,MT,:,:,:,100.0,100.7,101.7,97.3,102.7,105.9,108.7,115.5,138.3
Annual,Nominal index,"Index, 2000=100",220000.0,NL,97.2,94.8,94.4,100.0,106.1,107.2,109.1,110.8,112.5,119.0,128.2,139.2
Annual,Nominal index,"Index, 2000=100",220000.0,PL,72.1,79.9,88.0,100.0,106.5,109.0,112.3,120.8,123.6,124.0,133.9,149.3
Annual,Nominal index,"Index, 2000=100",220000.0,PT,98.9,96.2,96.3,100.0,104.5,104.3,105.6,110.1,113.8,115.5,123.6,135.9
Annual,Nominal index,"Index, 2000=100",220000.0,RO,:,:,:,100.0,:,:,:,:,:,:,:,:
Annual,Nominal index,"Index, 2000=100",220000.0,SE,97.9,96.3,96.2,100.0,105.0,107.1,109.3,113.4,115.6,119.0,127.6,146.3
Annual,Nominal index,"Index, 2000=100",220000.0,SI,88.3,87.5,88.8,100.0,111.9,115.4,120.9,131.7,133.4,138.2,150.9,179.1
Annual,Nominal index,"Index, 2000=100",220000.0,SK,84.6,88.0,91.6,100.0,:,:,:,115.3,116.3,122.5,128.7,143.0
Annual,Nominal index,"Index, 2000=100",220000.0,UK,104.5,99.5,98.4,100.0,103.6,103.2,105.9,112.7,115.0,119.6,130.2,162.9
Annual,Real index,"Index, 2000=100",220000.0,AT,102.4,99.4,98.7,100.0,99.6,97.6,98.2,99.6,98.8,99.9,104.0,109.5
Annual,Real index,"Index, 2000=100",220000.0,BE,102.4,98.0,96.3,100.0,100.2,99.1,97.7,96.2,97.6,97.9,106.1,116.5
Annual,Real index,"Index, 2000=100",220000.0,CY,:,:,:,100.0,:,:,:,128.6,136.0,135.8,145.7,161.9
Annual,Real index,"Index, 2000=100",220000.0,CZ,113.2,102.5,94.4,100.0,100.1,97.4,96.0,99.8,97.7,96.4,99.7,104.2
