Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Balance for values/ratio for indices,Total - all products,Extra-euro area - 20 countries (from 2023),Trade value in million euro (SA),Euro area – 20 countries (from 2023),13768.5,26341.0,15858.7,16193.8,17988.3,10956.0,15893.9,12859.5,9343.0,13120.9,6980.5,12856.1
Monthly,Balance for values/ratio for indices,Total - all products,Extra-EU27 (from 2020),Trade value in million euro (SA),European Union - 27 countries (from 2020),10881.0,24540.5,14416.7,14860.2,16353.8,7513.5,14250.5,9775.8,7041.4,10174.4,4202.5,10702.3
